Benchmark,None,DCUI,DCUP,L2A,L2P,All
600.perlbench_s.1,0.10,0.10,0.10,0.10,0.15,0.20
600.perlbench_s.2,0.81,0.82,0.84,0.94,1.12,1.23
600.perlbench_s.3,0.76,0.76,0.76,0.84,1.32,1.73
602.gcc_s.1,80.99,81.06,81.73,82.11,88.08,90.69
602.gcc_s.2,4.28,4.41,4.48,4.63,5.34,5.87
602.gcc_s.3,5.59,5.81,5.95,6.14,7.02,7.57
605.mcf_s.1,150.49,151.07,152.17,154.88,165.46,168.50
620.omnetpp_s.1,25.99,26.30,34.08,28.90,37.42,50.83
623.xalancbmk_s.1,1.46,1.65,1.51,1.60,3.11,4.91
625.x264_s.1,2.85,2.95,2.92,2.92,3.00,3.24
625.x264_s.2,0.61,0.65,0.64,0.61,0.63,0.73
625.x264_s.3,0.86,0.89,0.88,0.87,0.89,0.96
631.deepsjeng_s.1,7.10,7.12,7.85,7.11,7.10,7.86
641.leela_s.1,0.03,0.03,0.03,0.03,0.03,0.03
648.exchange2_s.1,0.02,0.02,0.02,0.02,0.02,0.02
