Benchmark,None,DCUI,DCUP,L2A,L2P,All
500.perlbench_r.1,0.07,0.08,0.08,0.08,0.13,0.16
500.perlbench_r.2,0.76,0.77,0.81,0.92,1.10,1.21
500.perlbench_r.3,0.59,0.74,0.73,0.78,1.33,1.79
502.gcc_r.1,7.72,8.06,8.24,8.52,9.78,10.39
502.gcc_r.2,10.10,10.68,10.79,11.28,12.95,13.83
502.gcc_r.3,18.91,19.43,19.40,19.82,21.76,22.44
502.gcc_r.4,51.49,54.04,54.71,58.36,65.68,69.33
502.gcc_r.5,47.64,49.33,49.78,53.09,61.39,63.79
503.bwaves_r.1,64.39,64.65,64.44,64.70,65.38,65.39
503.bwaves_r.2,84.25,84.67,84.37,84.45,85.42,85.69
503.bwaves_r.3,72.70,73.45,72.82,72.92,73.87,74.29
503.bwaves_r.4,68.77,69.25,68.87,68.92,69.65,69.93
505.mcf_r.1,133.60,133.94,135.33,136.98,146.63,149.34
507.cactuBSSN_r.1,39.85,40.06,40.03,40.05,40.54,41.65
508.namd_r.1,3.05,3.09,3.06,3.05,3.18,3.23
510.parest_r.1,4.12,4.27,4.20,4.17,4.48,4.65
511.povray_r.1,0.02,0.02,0.02,0.02,0.02,0.02
519.lbm_r.1,137.33,137.41,137.34,138.26,139.26,139.42
520.omnetpp_r.1,26.13,26.57,34.25,28.85,37.05,50.11
521.wrf_r.1,12.65,12.85,12.72,12.90,13.88,13.89
523.xalancbmk_r.1,1.22,1.52,1.34,1.51,2.94,4.48
525.x264_r.2,3.19,3.31,3.27,3.27,3.37,3.62
525.x264_r.3,0.72,0.76,0.75,0.72,0.74,0.86
525.x264_r.4,0.93,0.96,0.95,0.94,0.96,1.06
526.blender_r.1,4.09,4.15,4.22,4.20,4.80,4.95
527.cam4_r.1,8.99,9.10,9.03,9.07,9.85,10.02
531.deepsjeng_r.1,2.69,2.72,3.55,2.69,2.69,3.56
538.imagick_r.1,0.13,0.13,0.13,0.13,0.19,0.19
541.leela_r.1,0.03,0.03,0.03,0.03,0.03,0.03
544.nab_r.1,2.94,2.99,2.95,2.98,3.40,3.48
548.exchange2_r.1,0.02,0.02,0.02,0.02,0.02,0.02
549.fotonik3d_r.1,191.37,215.08,198.98,198.53,203.84,243.16
554.roms_r.1,43.09,44.56,43.73,44.32,68.69,69.54
557.xz_r.1,10.75,10.99,12.18,10.84,10.85,12.26
557.xz_r.2,1.39,1.44,1.43,1.41,1.45,1.53
557.xz_r.3,4.09,4.36,4.43,4.13,4.19,4.75
