,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
603.bwaves_s.1,0.51,0.52,0.45,0.45,0.45,3.54,3.54,3.53,3.53,3.53
603.bwaves_s.2,0.49,0.49,0.43,0.43,0.43,3.23,3.23,3.22,3.22,3.22
607.cactuBSSN_s.1,1.49,1.45,0.93,0.93,0.93,8.20,8.18,8.16,8.15,8.14
619.lbm_s.1,2.28,2.27,1.87,1.86,1.86,35.35,35.33,35.33,35.30,35.23
621.wrf_s.1,1.49,1.47,1.30,1.27,1.26,2.20,2.20,1.67,1.24,1.05
625.x264_s.1,0.39,0.38,0.38,0.37,0.37,0.59,0.59,0.52,0.44,0.40
625.x264_s.2,0.33,0.33,0.33,0.33,0.32,0.19,0.19,0.16,0.12,0.09
625.x264_s.3,0.33,0.33,0.33,0.33,0.33,0.18,0.18,0.16,0.13,0.11
627.cam4_s.1,0.76,0.76,0.73,0.73,0.73,4.93,4.93,4.79,4.63,4.55
628.pop2_s.1,0.77,0.77,0.74,0.73,0.72,4.06,4.05,3.65,3.38,3.22
638.imagick_s.1,2.70,2.72,2.69,2.67,2.62,0.09,0.09,0.05,0.03,0.02
644.nab_s.1,0.90,0.93,0.83,0.83,0.83,0.58,0.60,0.42,0.42,0.41
649.fotonik3d_s.1,2.44,2.48,2.15,2.15,2.14,24.39,24.43,24.13,24.03,24.01
654.roms_s.1,1.31,1.31,1.25,1.22,1.20,16.84,16.84,15.28,14.10,13.45
657.xz_s.1,0.91,0.90,0.79,0.77,0.76,1.91,1.91,1.63,1.44,1.33
657.xz_s.2,1.72,1.72,1.38,1.36,1.35,6.77,6.77,6.33,5.97,5.76
