,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
603.bwaves_s.1,0.52,0.52,0.35,0.35,0.35,0.07,0.07,0.06,0.06,0.06
603.bwaves_s.2,0.52,0.52,0.35,0.35,0.35,0.07,0.07,0.06,0.06,0.06
607.cactuBSSN_s.1,1.45,1.45,0.85,0.85,0.85,5.67,5.67,5.67,5.66,5.66
619.lbm_s.1,2.25,2.25,1.32,1.32,1.32,6.64,6.63,6.62,6.61,6.58
621.wrf_s.1,1.34,1.31,1.19,1.19,1.19,0.29,0.29,0.23,0.19,0.17
625.x264_s.1,0.34,0.34,0.34,0.34,0.34,0.14,0.14,0.12,0.11,0.08
625.x264_s.2,0.32,0.32,0.32,0.32,0.32,0.05,0.05,0.04,0.03,0.03
625.x264_s.3,0.32,0.32,0.32,0.32,0.32,0.04,0.04,0.04,0.03,0.03
627.cam4_s.1,0.76,0.75,0.67,0.67,0.67,1.77,1.76,1.65,1.57,1.53
628.pop2_s.1,0.54,0.54,0.52,0.52,0.52,0.66,0.65,0.55,0.52,0.51
638.imagick_s.1,2.80,2.74,2.73,2.72,2.71,0.02,0.02,0.01,0.01,0.01
644.nab_s.1,1.03,0.91,0.80,0.80,0.80,0.11,0.11,0.02,0.01,0.01
649.fotonik3d_s.1,1.41,1.50,1.11,1.11,1.10,2.70,2.79,2.78,2.73,2.69
654.roms_s.1,0.67,0.67,0.62,0.61,0.60,1.51,1.51,1.28,1.12,1.03
657.xz_s.1,0.88,0.87,0.76,0.74,0.72,1.60,1.59,1.34,1.15,1.06
657.xz_s.2,1.94,1.91,1.38,1.35,1.34,6.33,6.33,5.96,5.65,5.47
