Benchmark,Instr,Lect,Escr,MPKI1,MPKI2,MPKI3,CPI
603.bwaves_s.1,47551,31%,6%,5.57,0.05,0.04,0.35
603.bwaves_s.2,48959,31%,5%,4.82,0.06,0.04,0.35
607.cactuBSSN_s.1,9301,49%,11%,124.53,5.12,4.92,0.85
619.lbm_s.1,5873,19%,12%,55.93,0.14,0.08,1.32
621.wrf_s.1,25391,27%,7%,11.54,0.43,0.05,1.18
627.cam4_s.1,16412,19%,10%,11.37,0.37,0.11,0.67
628.pop2_s.1,22192,27%,10%,21.15,0.25,0.12,0.52
638.imagick_s.1,4748,24%,9%,10.58,0.67,0.00,2.70
644.nab_s.1,21297,34%,9%,7.76,0.16,0.01,0.80
649.fotonik3d_s.1,6266,57%,12%,29.36,2.89,2.67,1.10
654.roms_s.1,23491,33%,10%,27.33,0.92,0.51,0.62
657.xz_s.1,5084,23%,8%,8.95,1.57,0.90,0.72
657.xz_s.2,3308,23%,8%,14.29,6.51,5.38,1.34
AVG,17284,30%,9%,24.12,1.37,1.06,0.95
