,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
600.perlbench_s.1,0.44,0.44,0.40,0.38,0.38,0.49,0.48,0.11,0.01,0.01
600.perlbench_s.2,0.40,0.39,0.40,0.40,0.39,0.13,0.13,0.12,0.11,0.10
600.perlbench_s.3,0.71,0.69,0.56,0.48,0.43,1.54,1.52,0.76,0.25,0.08
602.gcc_s.1,4.86,4.86,4.26,3.60,3.31,20.81,20.81,16.06,11.72,9.99
602.gcc_s.2,0.97,0.96,0.81,0.76,0.75,2.67,2.65,1.16,0.65,0.49
602.gcc_s.3,0.98,0.97,0.82,0.77,0.75,2.92,2.92,1.43,0.86,0.66
605.mcf_s.1,2.41,2.41,1.88,1.82,1.81,36.97,36.97,20.57,19.11,18.66
620.omnetpp_s.1,1.64,1.63,1.42,1.24,1.10,11.05,11.00,7.90,5.24,3.24
623.xalancbmk_s.1,1.02,1.01,0.80,0.72,0.73,4.34,4.33,1.23,0.34,0.17
625.x264_s.1,0.39,0.38,0.38,0.37,0.37,0.59,0.59,0.52,0.44,0.40
625.x264_s.2,0.33,0.33,0.33,0.33,0.32,0.19,0.19,0.16,0.12,0.09
625.x264_s.3,0.33,0.33,0.33,0.33,0.33,0.18,0.18,0.16,0.13,0.11
631.deepsjeng_s.1,0.59,0.59,0.59,0.59,0.59,0.93,0.93,0.90,0.89,0.89
641.leela_s.1,0.83,0.83,0.82,0.82,0.82,0.20,0.20,0.02,0.00,0.00
648.exchange2_s.1,0.54,0.54,0.54,0.54,0.54,0.00,0.00,0.00,0.00,0.00
