,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
400.perlbench.1,0.44,0.44,0.40,0.38,0.37,0.49,0.50,0.16,0.02,0.01
400.perlbench.2,0.35,0.35,0.35,0.35,0.35,0.03,0.03,0.03,0.02,0.02
400.perlbench.3,0.34,0.34,0.32,0.31,0.31,0.20,0.20,0.10,0.05,0.04
401.bzip2.1,0.76,0.76,0.67,0.66,0.66,0.98,0.95,0.11,0.07,0.07
401.bzip2.2,0.64,0.64,0.48,0.47,0.46,2.21,2.37,0.12,0.03,0.03
401.bzip2.3,0.74,0.75,0.48,0.46,0.46,3.58,3.43,0.12,0.02,0.01
401.bzip2.4,0.56,0.56,0.52,0.51,0.51,0.54,0.55,0.10,0.06,0.06
401.bzip2.5,0.68,0.68,0.55,0.54,0.54,0.99,1.00,0.09,0.05,0.04
401.bzip2.6,0.74,0.74,0.64,0.64,0.63,1.12,1.13,0.11,0.07,0.06
403.gcc.1,1.05,1.06,0.85,0.72,0.70,3.95,3.95,1.94,0.87,0.54
403.gcc.2,0.88,0.88,0.74,0.69,0.69,2.00,1.99,0.95,0.62,0.51
403.gcc.3,0.78,0.79,0.66,0.62,0.61,2.57,2.59,0.89,0.56,0.45
403.gcc.4,0.76,0.75,0.63,0.60,0.58,1.97,1.94,0.77,0.54,0.44
403.gcc.5,0.75,0.76,0.65,0.62,0.61,3.16,3.13,1.15,0.77,0.65
403.gcc.6,0.82,0.82,0.69,0.65,0.64,3.77,3.59,1.23,0.84,0.71
403.gcc.7,0.93,0.94,0.80,0.73,0.70,4.57,4.54,2.24,1.54,1.19
403.gcc.8,0.97,0.99,0.76,0.72,0.70,5.17,5.04,1.56,1.02,0.81
403.gcc.9,0.80,0.80,0.70,0.67,0.67,1.20,1.20,0.53,0.34,0.28
410.bwaves.1,0.44,0.44,0.44,0.44,0.44,0.18,0.18,0.17,0.17,0.17
416.gamess.1,0.36,0.36,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00
416.gamess.2,0.33,0.33,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00
416.gamess.3,0.30,0.30,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00
429.mcf.1,3.81,3.81,2.59,2.27,2.22,41.17,41.10,24.96,18.53,17.55
433.milc.1,1.42,1.42,1.41,1.40,1.40,12.36,12.36,12.09,11.84,11.69
434.zeusmp.1,0.54,0.54,0.53,0.53,0.52,1.73,1.73,1.65,1.58,1.54
435.gromacs.1,0.46,0.45,0.45,0.45,0.45,0.03,0.03,0.01,0.00,0.00
436.cactusADM.1,0.84,0.83,0.66,0.63,0.63,2.74,2.72,1.41,1.16,1.12
437.leslie3d.1,0.42,0.43,0.40,0.38,0.38,1.47,1.49,1.20,0.96,0.81
444.namd.1,0.48,0.48,0.48,0.48,0.48,0.03,0.03,0.02,0.01,0.01
445.gobmk.1,0.79,0.79,0.78,0.77,0.76,0.38,0.38,0.24,0.13,0.08
445.gobmk.2,0.76,0.76,0.74,0.73,0.73,0.32,0.32,0.20,0.10,0.06
445.gobmk.3,0.71,0.72,0.70,0.70,0.69,1.24,1.24,0.95,0.60,0.35
445.gobmk.4,0.78,0.78,0.77,0.75,0.75,0.46,0.46,0.32,0.18,0.11
445.gobmk.5,0.73,0.73,0.72,0.71,0.71,0.27,0.27,0.18,0.10,0.06
447.dealII.1,0.49,0.49,0.47,0.47,0.47,0.84,0.82,0.28,0.22,0.19
450.soplex.1,1.44,1.53,1.27,1.06,0.91,13.49,13.53,6.61,2.85,1.36
450.soplex.2,0.84,0.83,0.78,0.76,0.75,4.31,4.30,2.90,2.35,2.22
453.povray.1,0.41,0.41,0.41,0.41,0.41,0.00,0.00,0.00,0.00,0.00
454.calculix.1,0.50,0.50,0.50,0.50,0.50,0.06,0.06,0.04,0.03,0.03
456.hmmer.1,0.37,0.37,0.36,0.36,0.36,0.03,0.03,0.00,0.00,0.00
456.hmmer.2,0.38,0.37,0.37,0.37,0.37,0.01,0.01,0.00,0.00,0.00
458.sjeng.1,0.57,0.57,0.57,0.56,0.56,0.41,0.41,0.36,0.31,0.29
459.GemsFDTD.1,0.66,0.66,0.65,0.64,0.64,3.02,3.03,2.93,2.85,2.80
462.libquantum.1,0.63,0.63,0.61,0.60,0.58,3.94,3.89,3.46,2.85,2.45
464.h264ref.1,0.35,0.34,0.33,0.33,0.33,0.19,0.19,0.02,0.00,0.00
464.h264ref.2,0.41,0.41,0.40,0.40,0.40,0.08,0.08,0.01,0.00,0.00
464.h264ref.3,0.39,0.40,0.39,0.39,0.38,0.10,0.10,0.01,0.01,0.01
465.tonto.1,0.45,0.45,0.44,0.44,0.43,0.27,0.28,0.10,0.03,0.01
470.lbm.1,0.66,0.66,0.61,0.60,0.60,5.85,5.84,3.60,3.06,3.01
471.omnetpp.1,2.23,2.23,1.96,1.65,1.43,17.64,17.68,11.81,7.47,5.12
473.astar.1,1.49,1.51,1.26,1.05,1.01,8.53,8.61,3.75,1.01,0.40
473.astar.2,1.04,1.04,0.93,0.93,0.91,1.51,1.51,0.18,0.01,0.01
481.wrf.1,0.42,0.42,0.42,0.42,0.41,0.54,0.54,0.45,0.39,0.37
482.sphinx3.1,0.59,0.59,0.47,0.44,0.43,1.44,1.44,0.25,0.02,0.00
483.xalancbmk.1,0.79,0.78,0.62,0.57,0.55,3.73,3.69,1.81,0.89,0.59
