Benchmark,None,DCUI,DCUP,L2A,L2P,All
400.perlbench.1,0.1,0.11,0.1,0.11,0.14,0.17
400.perlbench.2,0.82,0.83,0.82,0.82,0.93,0.95
400.perlbench.3,1.77,1.77,1.79,1.86,2.07,2.14
401.bzip2.1,1.07,1.08,1.09,1.07,1.09,1.09
401.bzip2.2,0.39,0.4,0.39,0.39,0.4,0.4
401.bzip2.3,0.2,0.2,0.2,0.2,0.2,0.2
401.bzip2.4,0.94,0.94,0.94,0.94,0.94,0.94
401.bzip2.5,0.69,0.7,0.7,0.7,0.71,0.71
401.bzip2.6,0.97,0.98,0.98,0.98,0.99,0.99
403.gcc.1,9.31,10.3,11.63,12.6,16.58,22.8
403.gcc.2,7.23,8.09,8.66,8.38,10.25,13.07
403.gcc.3,8.58,9.27,10.24,10.87,13.45,15.77
403.gcc.4,8.31,9.2,10.14,10.03,13.9,16.45
403.gcc.5,12.45,13.5,15.36,16.52,20.37,24.3
403.gcc.6,13.86,15.06,16.97,18.03,22.62,27.3
403.gcc.7,19.55,22.1,27.19,36.97,53.81,62.02
403.gcc.8,14.89,16.07,18.4,20.39,26.67,34.38
403.gcc.9,4.13,4.67,4.73,4.55,5.43,6.52
410.bwaves.1,110.17,111.37,110.3,111.07,112.17,112.64
416.gamess.1,0.01,0.01,0.01,0.01,0.01,0.01
416.gamess.2,0.01,0.01,0.01,0.01,0.01,0.02
416.gamess.3,0.01,0.01,0.01,0.01,0.01,0.01
429.mcf.1,221.5,233.99,222.11,223.43,230.47,241.31
433.milc.1,166.99,166.99,193.38,175.78,205.83,241.59
434.zeusmp.1,36.99,37.48,37.18,37.07,37.65,38.43
435.gromacs.1,0.02,0.02,0.02,0.02,0.02,0.02
436.cactusADM.1,22.86,22.87,22.88,22.76,22.05,22.14
437.leslie3d.1,79,79.66,79.97,79.07,85.18,86.53
444.namd.1,0.14,0.14,0.15,0.14,0.15,0.16
445.gobmk.1,1.11,1.14,1.14,1.11,1.19,1.2
445.gobmk.2,0.9,0.9,0.91,0.92,0.94,0.96
445.gobmk.3,4.51,4.52,4.52,4.51,4.63,4.67
445.gobmk.4,1.51,1.51,1.55,1.52,1.61,1.62
445.gobmk.5,0.84,0.87,0.87,0.85,0.9,0.9
447.dealII.1,19.54,19.61,19.54,19.62,20.54,20.73
450.soplex.1,16.43,20.58,18.75,17.46,30.8,36.89
450.soplex.2,171.4,176.66,174.25,175.92,187.99,190.84
453.povray.1,0.01,0.01,0.01,0.02,0.02,0.02
454.calculix.1,1.17,1.18,1.17,1.18,1.26,1.28
456.hmmer.1,0.05,0.05,0.05,0.06,0.06,0.06
456.hmmer.2,0.01,0.01,0.01,0.01,0.01,0.01
458.sjeng.1,2.3,2.31,2.47,2.31,2.31,2.48
459.GemsFDTD.1,128.66,144.36,131.17,132.06,139.56,150
462.libquantum.1,121.69,118.1,117.83,117.59,118.51,129.6
464.h264ref.1,0.04,0.05,0.04,0.05,0.05,0.06
464.h264ref.2,0.02,0.02,0.02,0.02,0.02,0.02
464.h264ref.3,0.28,0.31,0.29,0.29,0.34,0.38
465.tonto.1,0.21,0.21,0.22,0.22,0.22,0.22
470.lbm.1,134.25,134.73,134.27,136.93,137.11,137.19
471.omnetpp.1,29.51,34.31,40.54,34.43,52.11,79.51
473.astar.1,4.25,6.46,6.48,4.46,4.67,8.47
473.astar.2,0.1,0.11,0.11,0.1,0.12,0.14
481.wrf.1,32.18,32.18,32.28,32.35,33.67,33.71
482.sphinx3.1,0.04,0.06,0.04,0.04,0.1,0.16
483.xalancbmk.1,4.4,5.02,4.74,4.87,8.09,10.75
