,No Prefetch,,,,,,,,,,,Prefetch,,,,,,,,,
,CPI,,,,,MPKI,,,,,,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB,,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
500.perlbench_r.3,0.71,0.71,0.58,0.47,0.44,1.54,1.53,0.76,0.23,0.08,,0.65,0.64,0.54,0.47,0.43,1.25,1.24,0.68,0.27,0.11
502.gcc_r.5,2.16,2.16,1.57,1.43,1.36,19.08,18.85,7.53,5.93,5.13,,1.31,1.31,1.05,0.98,0.95,9.08,9.08,2.86,2.16,1.87
503.bwaves_r.3,0.75,0.75,0.75,0.75,0.74,9.74,9.74,9.56,9.28,9.09,,0.46,0.46,0.45,0.45,0.45,0.16,0.16,0.15,0.15,0.15
505.mcf_r.1,1.97,1.96,1.69,1.66,1.64,25.72,25.65,18.23,17.11,16.59,,1.5,1.5,1.34,1.31,1.3,12.03,11.96,7.45,6.86,6.61
507.cactuBSSN_r.1,1.02,1.02,0.94,0.91,0.89,8.38,8.38,6.4,5.2,4.91,,0.9,0.9,0.84,0.81,0.81,5.64,5.63,3.9,2.84,2.62
510.parest_r.1,1.34,1.34,0.83,0.68,0.67,12.51,12.49,2.41,0.62,0.51,,0.6,0.6,0.52,0.51,0.5,1.02,1.02,0.16,0.06,0.05
511.povray_r.1,0.42,0.42,0.42,0.42,0.42,0,0,0,0,0,,0.43,0.43,0.43,0.42,0.43,0,0,0,0,0
519.lbm_r.1,1.59,1.59,1.47,1.39,1.38,29.06,29.06,22.16,17.83,16.92,,0.7,0.7,0.66,0.64,0.64,5.36,5.35,3.79,3.03,2.9
520.omnetpp_r.1,1.84,1.83,1.56,1.36,1.18,11.27,11.25,7.84,5.22,3.25,,1.8,1.8,1.55,1.38,1.24,10.95,10.95,7.5,5.44,3.92
521.wrf_r.1,1.26,1.26,1.18,1.1,1.06,4.69,4.69,3.14,2.04,1.55,,0.89,0.89,0.89,0.88,0.88,0.49,0.49,0.35,0.26,0.21
523.xalancbmk_r.1,1.11,1.11,0.83,0.76,0.75,4.45,4.45,1.2,0.34,0.16,,0.82,0.82,0.72,0.67,0.65,2.18,2.18,0.91,0.32,0.16
525.x264_r.2,0.39,0.39,0.38,0.38,0.37,0.59,0.59,0.52,0.44,0.4,,0.35,0.35,0.35,0.34,0.34,0.14,0.14,0.12,0.11,0.1
526.blender_r.1,0.68,0.68,0.64,0.63,0.62,1.5,1.5,0.98,0.68,0.51,,0.63,0.63,0.6,0.59,0.59,0.67,0.67,0.31,0.19,0.15
527.cam4_r.1,0.73,0.72,0.66,0.65,0.64,3.04,2.96,1.35,1.18,1.12,,0.64,0.64,0.6,0.59,0.59,1.18,1.17,0.31,0.25,0.24
549.fotonik3d_r.1,2.06,2.06,2,1.98,1.96,27,27,24.63,23.78,23.64,,0.72,0.71,0.7,0.69,0.69,4.05,4.04,3.93,3.84,3.78
554.roms_r.1,1.07,1.06,0.93,0.88,0.85,10.87,10.82,6.9,5.83,5.35,,0.52,0.52,0.49,0.47,0.47,1.43,1.42,1.05,0.87,0.8
557.xz_r.1,1.34,1.34,1.17,1.05,1,4.33,4.32,2.66,1.75,1.34,,1.33,1.33,1.17,1.06,0.99,4.08,4.07,2.55,1.68,1.27
s,,,,,,,,,,,,,,,,,,,,,
