#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100101117 54935157 371146 146240 
200028175 81670749 371250 146275 
300028421 108376728 371369 146307 
400008065 136335334 382012 154010 
500006240 244459589 935451 343732 
600013581 322510558 1463684 509784 
700008021 383236644 2016316 685666 
800012637 446419850 2781624 929192 
900015640 506997760 3310125 1098271 
1000011846 570815097 4104112 1351126 
1100016575 640025498 4634348 1518875 
1200038615 708928648 5436094 1777689 
1300034317 736639237 5436207 1777707 
1400029478 766036199 5436482 1777814 
1500037924 818518780 5721526 1890079 
1600040050 845401302 5721624 1890120 
1700040789 872288239 5721707 1890162 
1800041461 899112093 5721802 1890207 
1900010877 991858920 6023166 2006842 
2000013745 1091909106 6551978 2174369 
2100015330 1170922571 7345653 2426730 
2200031650 1245353092 7874783 2594483 
2300008307 1323204368 8626868 2831466 
2400016799 1398472250 9193573 3011588 
2500011319 1475000594 9847262 3219555 
2600008567 1552427717 10689678 3490531 
2700037974 1585015219 10781523 3519836 
2800035590 1612816192 10781674 3519864 
2900040200 1666442691 11066951 3630542 
3000040891 1693266355 11067062 3630586 
3100039771 1720096070 11067142 3630620 
3200036171 1746930746 11067235 3630660 
3300009127 1814614182 11369297 3747076 
3400014858 1929156352 11898677 3914683 
3500017011 2003843346 12428253 4081999 
3600009169 2080299124 13071679 4286435 
3700015620 2157335472 13749305 4500180 
3800016928 2231912857 14279573 4668851 
3900014859 2310965179 15075348 4920225 
4000009880 2388498072 15747662 5134220 
4100038040 2433954011 16137147 5259255 
4200036179 2461682776 16137296 5259278 
4300031809 2501269884 16141554 5263279 
4400039932 2542949720 16435609 5377334 
4500039454 2569780185 16435702 5377380 
4600033778 2596589268 16435804 5377428 
4700009443 2639052489 16739725 5494481 
4800009721 2755293360 17005839 5578784 
4900016473 2838494409 17538447 5748452 
5000014972 2918028124 18340620 6003501 
5100014813 2991357147 18874915 6172089 
5200014194 3070915838 19677397 6426833 
5300016435 3146344250 20212408 6597012 
5400011030 3225453664 21015500 6853356 
5500040967 3285163926 21557150 7029067 
5600038563 3312641146 21557278 7029086 
5700012844 3345076638 21557676 7029304 
5800039437 3395259078 21842659 7140428 
5900039381 3422041671 21842763 7140473 
6000040621 3448815550 21842855 7140506 
6100040698 3475620906 21842953 7140539 
6200010479 3581529380 22204769 7275211 
6300014671 3678476393 22934058 7504633 
6400015893 3752785828 23463356 7671830 
6500007482 3829365335 24138252 7885980 
6600016293 3905562049 24782113 8089617 
6700016006 3979993120 25311803 8257456 
6800013668 4058944005 26106842 8511431 
6900026915 4133157918 26910989 8770671 
7000039152 4161147090 26911099 8770679 
7100025395 4189204717 26911354 8770807 
7200038873 4242666678 27197079 8882968 
7300040021 4269559707 27197184 8883017 
7400040324 4296434798 27197265 8883063 
7500039504 4323260835 27197366 8883111 
7600010280 4404083551 27499132 8999077 
