#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100014804 83244 36454 
200002503 175715 70469 
300013124 231220 102984 
400009098 318351 157420 
500016386 434956 226114 
600019082 548508 296569 
700012573 651671 368897 
800014396 746220 440602 
900014352 833087 509364 
1000015956 918343 578122 
1100021947 1006181 649566 
1200021403 1088059 719274 
1300014734 1167895 786254 
1400014623 1247463 853605 
1500018753 1323332 918985 
1600023647 1398614 982561 
1700025404 1473417 1048683 
1800026634 1550386 1116103 
1900024073 1625841 1184488 
2000018728 1698445 1248993 
2100113972 1773843 1316963 
2200021319 1845440 1381454 
2300027118 1918910 1446721 
2400012935 1993146 1513661 
2500015952 2067729 1579951 
2600021941 2142362 1647438 
2700012245 2217896 1715361 
2800021285 2289060 1779713 
2900019455 2363442 1847566 
3000015921 2435318 1912518 
3100072899 2508240 1979653 
3200021259 2580219 2045122 
3300019163 2651527 2109539 
3400011895 2722222 2174279 
3500015618 2794246 2240193 
3600022432 2879004 2314311 
3700021701 2948499 2378543 
3800021314 3017452 2442042 
3900025097 3086018 2504829 
4000019382 3154459 2567972 
4100016856 3222786 2630820 
4200025102 3286829 2689054 
4300022789 3355747 2752715 
4400022845 3424853 2816263 
4500015421 3490894 2876534 
4600005580 3561897 2942022 
4700017365 3629431 3004753 
4800025408 3699637 3069415 
4900022471 3765439 3129484 
5000014659 3836063 3194983 
5100022514 3902948 3256920 
5200023180 3968301 3316679 
5300022154 4036032 3380325 
5400012229 4105037 3444028 
5500023419 4171752 3505963 
5600023252 4237177 3566032 
5700137444 4303831 3627906 
5800010427 4373929 3692580 
5900014491 4439034 3752781 
6000023259 4505733 3814948 
6100024000 4571448 3876912 
6200018228 4637362 3939099 
6300022874 4702994 4000980 
6400017510 4772907 4066293 
6500026718 4837970 4127332 
6600016492 4903128 4188229 
6700023303 4968131 4249003 
6800017674 5027363 4303969 
6900027445 5093199 4365788 
7000023802 5160301 4428935 
7100021925 5227757 4491975 
7200010256 5293534 4552743 
7300025812 5360686 4615909 
7400013285 5422699 4674439 
7500025076 5489417 4737055 
7600003443 5554481 4796956 
7700024041 5618009 4857060 
7800022488 5683272 4918193 
7900024746 5750019 4980451 
8000025231 5816554 5042894 
8100023309 5877121 5099272 
8200018095 5943505 5161363 
8300015412 6006482 5220766 
8400025052 6071746 5281654 
8500025007 6137067 5341768 
8600023917 6198744 5400158 
8700025405 6265172 5462233 
8800026752 6326388 5519940 
8900026091 6393563 5582388 
9000020340 6451575 5635781 
9100023793 6517075 5697409 
9200022944 6578640 5755311 
9300023635 6644233 5816552 
9400025336 6705935 5874497 
9500020197 6767257 5931040 
9600020712 6834637 5994509 
9700030333 6897492 6053910 
9800020635 6964491 6116599 
9900026495 7027572 6176310 
10000024360 7088966 6232642 
10100016262 7151773 6292330 
10200023970 7217844 6354552 
10300013780 7279711 6413252 
10400021368 7346135 6475564 
10500014190 7406423 6531327 
10600016288 7468098 6589769 
10700026516 7529121 6647334 
10800018169 7595202 6709469 
10900024466 7657378 6767857 
11000018800 7718072 6825305 
11100019343 7777301 6879747 
11200024030 7838401 6937693 
11300019158 7899207 6994824 
11400019785 7965212 7056685 
11500024364 8026846 7115103 
11600024539 8086026 7169936 
11700020648 8147049 7227880 
11800018278 8207720 7285153 
11900024389 8267815 7342009 
12000020407 8329442 7399813 
12100024528 8394399 7460831 
12200012976 8449162 7511567 
12300023116 8513672 7572353 
12400022088 8574507 7629599 
12500017253 8635350 7687018 
12600017322 8696566 7744454 
12700011840 8755996 7800435 
12800021378 8815464 7855454 
12900021283 8877115 7913778 
13000023646 8939281 7972177 
13100022861 9000783 8030237 
13200022096 9062565 8088406 
13300021556 9123686 8146216 
13400024459 9185403 8203066 
13500018987 9246192 8260734 
13600015724 9307507 8318513 
13700018362 9368205 8375851 
13800022985 9429616 8433487 
13900021637 9490608 8490949 
14000021244 9550451 8546253 
14100018087 9610556 8603249 
14200022188 9670582 8659768 
14300017708 9730515 8716440 
14400025600 9790769 8773112 
14500010819 9850894 8829923 
14600021884 9906385 8881267 
14700023863 9966897 8938615 
14800023518 10027744 8995663 
14900022612 10087979 9052369 
15000020398 10147901 9108450 
15100022812 10207459 9164486 
15200018533 10265899 9218604 
15300018359 10325993 9275283 
15400018906 10387057 9332754 
15500012565 10443669 9386602 
15600019741 10502708 9442303 
15700021896 10564457 9500297 
15800021399 10625468 9557668 
15900023274 10684903 9612919 
16000003952 10745078 9669724 
16100015049 10805209 9726417 
16200012993 10860352 9778722 
16300011071 10919925 9834784 
16400021022 10980310 9891750 
16500021503 11037980 9945255 
16600023716 11096747 10001499 
16700016498 11150238 10052702 
16800024109 11210569 10110047 
16900024762 11270794 10167165 
17000020666 11330812 10223681 
17100020853 11390413 10279970 
17200018552 11441685 10327763 
17300023181 11502101 10385081 
17400019566 11562151 10441726 
17500021655 11620863 10497267 
17600019238 11674045 10547792 
17700022321 11734989 10605237 
17800015090 11794558 10661425 
17900017754 11849201 10712486 
18000011193 11908068 10768432 
18100022952 11969740 10826697 
18200025284 12029919 10883731 
18300005019 12089343 10939854 
18400019478 12144403 10992106 
18500021424 12205416 11049784 
18600023275 12265285 11105074 
18700022470 12319503 11156998 
18800029648 12380874 11215213 
18900022055 12440771 11271952 
19000016519 12495212 11323763 
19100023454 12554293 11379547 
19200021295 12614410 11436449 
19300010515 12709636 11527103 
19400021630 12776980 11591112 
19500020031 12843358 11653820 
19600013786 12908198 11715437 
19700020670 12968639 11773015 
19800014209 13035789 11836542 
19900019483 13101329 11898662 
20000022223 13156284 11950105 
20100019807 13222707 12013264 
20200021311 13288936 12075790 
20300014964 13351679 12135343 
20400017993 13413477 12194323 
20500021501 13479956 12257167 
20600016443 13544983 12318944 
20700019474 13602516 12373124 
20800020967 13668939 12436354 
20900021712 13733661 12497585 
21000019746 13793534 12554898 
21100015964 13859760 12617701 
21200021982 13924427 12678805 
21300020247 13983620 12735363 
21400022405 14051914 12799680 
21500013836 14115333 12860912 
21600018965 14175719 12919237 
21700021466 14242926 12983735 
21800022834 14308135 13046348 
21900021292 14370443 13106205 
22000019925 14438258 13171083 
22100004968 14501712 13231597 
22200006923 14563065 13290493 
22300019382 14629530 13354093 
22400023029 14690635 13412578 
22500012212 14758527 13477371 
22600015247 14822987 13538655 
22700024313 14885833 13598837 
22800018374 14953244 13662849 
22900005799 15005104 13711439 
23000020388 15073345 13776198 
23100020979 15135437 13835592 
23200020133 15205465 13901836 
23300022223 15266828 13960395 
23400016422 15337296 14027401 
23500022351 15405934 14092440 
23600024449 15465163 14148749 
23700018186 15533423 14213574 
23800012312 15592360 14269856 
23900016713 15661101 14335078 
24000018667 15728876 14399466 
24100015621 15791452 14459274 
24200017747 15860361 14524771 
24300021434 15920310 14582071 
24400020127 15987350 14644418 
24500026709 16048503 14703109 
24600018148 16118680 14769531 
24700017292 16178398 14826664 
24800019832 16247775 14892671 
24900020684 16312544 14954101 
25000019471 16376541 15015236 
25100011312 16439778 15074725 
25200021404 16498825 15130322 
25300020920 16558697 15187841 
25400017565 16628347 15253853 
25500018170 16688266 15311356 
25600018365 16757651 15377511 
25700021410 16817327 15434478 
25800019444 16886813 15500815 
25900018476 16946411 15557879 
26000023846 17011849 15619200 
26100021439 17072603 15677566 
26200020688 17140319 15741840 
26300018770 17201010 15800044 
26400010775 17268536 15864188 
26500021136 17331041 15923868 
26600019031 17399706 15989117 
26700020546 17462423 16049113 
26800021904 17519296 16101937 
26900006515 17589337 16168595 
27000019734 17650489 16227182 
27100012331 17719964 16293140 
27200019905 17781397 16351837 
27300019059 17850001 16416791 
27400020993 17911704 16475850 
27500013087 17978540 16539462 
27600020700 18039295 16596750 
27700020640 18098817 16653884 
27800016603 18167734 16719532 
27900019494 18229138 16778202 
28000018890 18296909 16842851 
28100014792 18358191 16901659 
28200022996 18423235 16963332 
28300019171 18487265 17024656 
28400016221 18547029 17081730 
