#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100011239 415242 411617 
200005433 1519944 1511835 
300003414 2598114 2586319 
400003765 3661841 3646885 
500011133 4397961 4381761 
600009621 5027025 5010679 
700006375 6249873 6232992 
800008825 7427898 7409735 
900009238 8426492 8401393 
1000030812 9606449 9578719 
1100008842 10850798 10819601 
1200008883 12074230 12036758 
1300015558 13081441 13039396 
1400016282 13312665 13270593 
1500013173 13954174 13910409 
1600013384 13992828 13948874 
1700012733 14031466 13987340 
1800013781 14070117 14025813 
1900012917 14108786 14064294 
2000012509 14147438 14102767 
2100013498 14186068 14141223 
2200012948 14224718 14179675 
2300030347 14265890 14220648 
2400029881 14313997 14268745 
2500030293 14362096 14316661 
2600030206 14410096 14364580 
2700030664 14458402 14412798 
2800031306 14507002 14461365 
2900030698 14555204 14509472 
3000028863 14603510 14557679 
3100029094 14651830 14605817 
3200031023 14699772 14653206 
3300027368 14747815 14701162 
3400027540 14796025 14749340 
3500030266 14844291 14797598 
3600030268 14892446 14845672 
3700033183 14940676 14893862 
3800031805 14988824 14941930 
3900030665 15036858 14989899 
4000029036 15085106 15037956 
4100028252 15133316 15085999 
4200011579 15274321 15226732 
4300002837 15511065 15463123 
4400011987 16577059 16528770 
4500009408 18105644 18054358 
4600004393 18884937 18833518 
4700010847 20583526 20529369 
4800004655 22128019 22071002 
4900010468 23020630 22963486 
5000009868 24265158 24205213 
5100010385 24686201 24625939 
5200006110 25678995 25618579 
5300009319 26571884 26510871 
5400009736 27246090 27184194 
5500006798 28176423 28112662 
5600007498 28997336 28930643 
5700009697 29847788 29777667 
5800009717 31000417 30927144 
5900008039 31932811 31856788 
6000010329 33021708 32943007 
6100008874 34033672 33951107 
6200008403 34903323 34813791 
6300010320 35996465 35904708 
6400008639 37173772 37078843 
6500009191 38114943 38014120 
6600008990 39306250 39202786 
6700007255 40089802 39981912 
6800009513 40990800 40877946 
6900008234 42206828 42089500 
7000007308 43072067 42951228 
7100009979 43988108 43864627 
7200009127 44801248 44673656 
7300034176 45207876 45078014 
7400009905 46131591 45998628 
7500009446 47295882 47157260 
7600009267 48213086 48068970 
7700008437 49373212 49226741 
7800008878 50264940 50112414 
7900009072 51205801 51045352 
8000004258 52479053 52314854 
8100010308 53234226 53066432 
8200009951 54142052 53970623 
8300008616 55153223 54977175 
8400008761 55953706 55769914 
8500009192 56951185 56763487 
8600010011 58102654 57909806 
8700032326 58954505 58755509 
8800010585 60031134 59828603 
8900009975 60683412 60476402 
9000010364 61248080 61038140 
9100004397 62209334 61995153 
9200009227 63266514 63045692 
9300008808 64268927 64043164 
9400007363 65368282 65136686 
9500008213 66204397 65965458 
9600009185 67154401 66910592 
9700007817 68305416 68056454 
9800008867 69034653 68782721 
9900009567 70076315 69821244 
10000012925 71112281 70852286 
10100008510 71443610 71181678 
10200010416 72241024 71974702 
10300008916 73135536 72865281 
10400009683 73719950 73447933 
10500020030 74439137 74165696 
10600007845 75239632 74961967 
10700009192 76131335 75847413 
10800009370 77336082 77048041 
10900008942 78229249 77937452 
11000008928 79280936 78985440 
11100009885 80279766 79980507 
11200009880 81067491 80759394 
11300008803 82056227 81745774 
11400008576 83199708 82885703 
11500009928 84077429 83756387 
11600009003 85265157 84942107 
11700008472 85991332 85647549 
11800009185 86796752 86435429 
11900005370 87981834 87612505 
12000007424 88808836 88433301 
12100010332 89714335 89334608 
12200011361 90605062 90218593 
12300009251 91103784 90715486 
12400008646 91782265 91392600 
12500010553 92864861 92469379 
12600009572 93720814 93318833 
12700009763 94748717 94344107 
12800009107 95619345 95207492 
12900010059 96471016 96051368 
13000004230 97565094 97140588 
13100009614 98341818 97913693 
13200009193 99046683 98615826 
13300008649 99894860 99460407 
13400009344 100637001 100196384 
13500009984 101602337 101156390 
13600009430 102726109 102275176 
13700010266 103549722 103093718 
13800010713 104579903 104119773 
13900009757 105322638 104858068 
14000009156 105873621 105407027 
14100004607 106604786 106134507 
14200009800 107723668 107247607 
14300009159 108618454 108137782 
14400007008 109627557 109141304 
14500007112 110395477 109902843 
14600009656 111254347 110755750 
14700009749 112347170 111842767 
14800007850 112975002 112468101 
14900010265 113774556 113265852 
15000105645 114898593 114384432 
15100008388 115497441 114975274 
15200009896 116426466 115901467 
15300007935 117390624 116861260 
15400010246 117978341 117444890 
15500010342 118698263 118162502 
15600008984 119300030 118758358 
15700010747 119963624 119415555 
15800004395 121088481 120536407 
15900009754 121971657 121413763 
16000009543 123000570 122438761 
16100010907 124029564 123463218 
16200008826 124850449 124275264 
16300010657 125791085 125213195 
16400007652 126869308 126286640 
16500009571 127545242 126956105 
16600008432 128596909 128005470 
16700007902 129337701 128678382 
16800009918 130086539 129359372 
16900005047 131183083 130447682 
17000008239 131949599 131206360 
17100011353 132671954 131924595 
17200007628 133483181 132729165 
17300008065 134007980 133244824 
17400009883 134669569 133902938 
17500008862 135750729 134978969 
17600010912 136647351 135869702 
17700008490 137625578 136843634 
17800009152 138480893 137692703 
17900011413 139332022 138533713 
18000004932 140420682 139617713 
18100007826 141342633 140534886 
18200010763 142047257 141234300 
18300006309 142946757 142130087 
18400008387 143778233 142955282 
18500009264 144740386 143911862 
18600009240 145901411 145067761 
18700009371 146727655 145889654 
18800008420 147732506 146889880 
18900008149 148527368 147678950 
19000010148 149062039 148204295 
19100008913 149785116 148925123 
19200008148 150806425 149940648 
19300010669 151551195 150679601 
19400007498 152537248 151660427 
19500009094 153099061 152216761 
19600010480 153801667 152913029 
19700008804 154895964 154001059 
19800008016 155540573 154641210 
19900010712 156305698 155403588 
20000007256 157471251 156562952 
20100007465 158144037 157227780 
20200007943 159131032 158211843 
20300007145 160211201 159288010 
20400007399 160924025 159996057 
20500008257 161755315 160825203 
20600007389 162531195 161594843 
20700010062 163306945 162363417 
20800007045 164359772 163412214 
20900006817 165411322 164457741 
21000008582 166402977 165445602 
21100008495 167402363 166440299 
21200006446 168283784 167313549 
21300010448 169246839 168272709 
21400006606 170399960 169421114 
21500008051 171229191 170245893 
21600010315 172227475 171241273 
21700007605 173068077 172077042 
21800009564 173897577 172899611 
21900005351 175054978 174053670 
22000007649 176057507 175051282 
22100007733 176875148 175865989 
22200006591 177784570 176771170 
22300007007 178421374 177402150 
22400008008 179184491 178161164 
22500007612 180320947 179292442 
22600008489 181301277 180268164 
22700008464 182410938 181374134 
22800007928 183380988 182339465 
22900009830 184232895 183182762 
23000011062 185168300 184115471 
23100008502 186211508 185154480 
23200007555 187005110 185943854 
23300006636 188002592 186937377 
23400007239 188991568 187921820 
23500010328 189995251 188920195 
23600006855 191184372 190104496 
23700007658 192103023 191019304 
23800009160 193058690 191972426 
23900007469 193912706 192821944 
24000008577 194542395 193443804 
24100008312 195392425 194292116 
24200007667 196493556 195387881 
24300009591 197317666 196207542 
24400008197 198368693 197256525 
24500006765 199136217 198017855 
24600009259 199952596 198827645 
24700030753 201152042 200021687 
24800007657 201897556 200763167 
24900008810 202772664 201635802 
25000014325 203571357 202430111 
25100005344 204048767 202900081 
25200029350 205227812 204065241 
25300026122 205274377 204111785 
25400029774 205320546 204157935 
25500028748 205367060 204204438 
25600029574 205413386 204250738 
25700028468 205459649 204296986 
25800029294 205505877 204343199 
25900030294 205552252 204389565 
26000029994 205598584 204435881 
26100032019 205644772 204482053 
26200031014 205690985 204528249 
26300030102 205737059 204574303 
26400030676 205783476 204620703 
26500032333 205829571 204666782 
26600027530 205875699 204712889 
26700027086 205921809 204758996 
26800031581 205968330 204805508 
26900030488 206014215 204851369 
27000028900 206060398 204897533 
27100009607 206936836 205773406 
27200005045 207936447 206772847 
27300011195 209235400 208069435 
27400010820 210825551 209656274 
27500008926 211608915 210439540 
27600009721 213399746 212227486 
27700030295 214890520 213715480 
27800012812 215146463 213971252 
27900008808 215963902 214788232 
28000008104 217026257 215849997 
28100007601 217579383 216402435 
28200008810 218436720 217256791 
28300007229 219296289 218113809 
28400010334 220142719 218954413 
28500009958 221170288 219979290 
28600009898 222340601 221145780 
28700009089 223304008 222106631 
28800006681 224413603 223212435 
28900008655 225256699 224050694 
29000010192 226235820 225024659 
29100007978 227487753 226272588 
29200007545 228422091 227202711 
29300008087 229511287 228287849 
29400008250 230480178 229252198 
29500009937 231264311 230029809 
