#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100075690 3385 1102 
200017981 3394 1111 
300024274 3396 1113 
400023907 3396 1113 
500018459 166190 163140 
600031296 210301 205006 
700031049 214631 208533 
800032054 216602 210163 
900030526 217964 211322 
1000031425 219337 212495 
1100034098 266138 259162 
1200038869 461994 454934 
1300037665 576236 569142 
1400029703 629368 622239 
1500038225 742258 735069 
1600037997 851402 844173 
1700037355 905543 898266 
1800035959 906833 899415 
1900035063 908400 900875 
2000031247 1074299 1066362 
2100032604 1077996 1069080 
2200035676 1116843 1106238 
2300000069 1121048 1109763 
2400029256 1123427 1111475 
2500028472 1146369 1131107 
2600029195 1179559 1161133 
2700029147 1183828 1164529 
2800024524 1198512 1177965 
2900023327 1389766 1351753 
3000021815 1586766 1548695 
3100025334 1865460 1825687 
3200023010 2156776 2115356 
3300027028 2408317 2365432 
3400032927 2440208 2396976 
3500028072 2466249 2418456 
3600026690 2521958 2461839 
3700035116 2579182 2507353 
3800011708 3027612 2878663 
3900023708 3192116 3042672 
4000021132 3428467 3277793 
4100019241 3729233 3575819 
4200026374 3984443 3829522 
4300034545 4141318 3985842 
4400034480 4147049 3991399 
4500035110 4192399 4026438 
4600028961 4247169 4069083 
4700034838 4304950 4114435 
4800037459 4410860 4206996 
4900027367 4543503 4337738 
5000018848 4756384 4543942 
5100024525 5056688 4839278 
5200022546 5322320 5102682 
5300032762 5531984 5312076 
5400036474 5536887 5316831 
5500021717 5575742 5347161 
5600028435 5635334 5389197 
5700027894 5696342 5433111 
5800027511 5754659 5485520 
5900011169 5800720 5518239 
6000018050 6082331 5789272 
6100017082 6373292 6078693 
6200018081 6664788 6368295 
6300026411 6900977 6600848 
6400028633 7119217 6814929 
6500019411 7337676 7029201 
6600025387 7556215 7243469 
6700025875 7774507 7457757 
6800017857 7997484 7676621 
6900017726 8289221 7966979 
7000017704 8580244 8256744 
7100022228 8863669 8538954 
7200023136 9052817 8727177 
7300024839 9240520 8914179 
7400026112 9428591 9101299 
7500023806 9616348 9288200 
7600013137 9804458 9475328 
7700030287 10040724 9702436 
7800024908 10147157 9797353 
7900028524 10261198 9896421 
8000022184 10372910 9992317 
8100031647 10485267 10088974 
8200024815 10598508 10186669 
8300030649 10709110 10280997 
8400027751 10824278 10379893 
8500029348 10934286 10474401 
8600030350 11049688 10573945 
8700020804 11178329 10691843 
8800023716 11311499 10814518 
8900018643 11444749 10936932 
9000027374 11576873 11058402 
9100017581 11709369 11180134 
9200025745 11842288 11302375 
9300020193 11975142 11424262 
9400015905 12108387 11546855 
9500026340 12241838 11669228 
9600019479 12357057 11776353 
