#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100009392 3509 1525 
200011343 51800 46642 
300029372 78384 70644 
400018625 99990 89568 
500021539 141113 111223 
600020044 206253 171295 
700025945 226481 189124 
800019888 260884 209200 
900027723 331926 270230 
1000018532 349297 285289 
1100018964 373864 304532 
1200023204 440440 352676 
1300026242 472968 382287 
1400029573 494266 401035 
1500022897 535657 422665 
1600032443 612763 494216 
1700027477 638044 517103 
1800024561 678988 544041 
1900034335 763666 616365 
2000035871 787388 637471 
2100022603 820639 665010 
2200023548 892467 715339 
2300034009 936250 755983 
2400034741 966966 783770 
2500026662 1015159 809920 
2600028092 1091817 881325 
2700025791 1118132 905111 
2800027088 1157536 930939 
2900024254 1243087 1004412 
3000035679 1265851 1024416 
3100026430 1297016 1051480 
3200026886 1371256 1102313 
3300036513 1414450 1142406 
3400033171 1443297 1168713 
3500022569 1489663 1194638 
3600027889 1565874 1265845 
3700027233 1592167 1289395 
3800022099 1630615 1315755 
3900026684 1718039 1388852 
4000024580 1741894 1409737 
4100025930 1774352 1438563 
4200032636 1847770 1489376 
4300033675 1892360 1530723 
4400030152 1922445 1558159 
4500027388 1969999 1584737 
4600030713 2047131 1656290 
4700032432 2074820 1680985 
4800025600 2113198 1708039 
4900030349 2200219 1781077 
5000015614 2222308 1800417 
5100015196 2253338 1828441 
5200008332 2295041 1849444 
5300031222 2372904 1921285 
5400029998 2399769 1945615 
5500019844 2445231 1971203 
5600026492 2522994 2042570 
5700029801 2549879 2066537 
5800018051 2587947 2094402 
5900030932 2676956 2167650 
6000015216 2698927 2186893 
6100015835 2729682 2214871 
6200029800 2772698 2236324 
6300026366 2851447 2309719 
6400026558 2877860 2333701 
6500024308 2919475 2360457 
6600028148 3003341 2433976 
6700027160 3028606 2456546 
6800018390 3061790 2482815 
6900023040 3131440 2532156 
7000039388 3173262 2571097 
7100031946 3203173 2598518 
7200025642 3249864 2624572 
7300025154 3326610 2695857 
7400021868 3354386 2720874 
7500027623 3395771 2747445 
7600033512 3478355 2818638 
7700022561 3501524 2839203 
7800030147 3532908 2865266 
7900025037 3604943 2915942 
8000034429 3648240 2956202 
8100035532 3677744 2983104 
8200021644 3724261 3009171 
8300028347 3800106 3079962 
8400024789 3825899 3103205 
8500023496 3866556 3130227 
8600031862 3950974 3202152 
8700024303 3974535 3223114 
8800022348 4003956 3247814 
8900025065 4075878 3297994 
9000036874 4118449 3337704 
9100031751 4146591 3363368 
9200026612 4195317 3390168 
9300032312 4272323 3462167 
9400026587 4298946 3486333 
9500027697 4337414 3512327 
9600028531 4423453 3585463 
9700022712 4445959 3605248 
9800025924 4477268 3633071 
9900026010 4551966 3684728 
10000034549 4594412 3724016 
10100034216 4623332 3750218 
10200022767 4670452 3776508 
10300028369 4746172 3847392 
10400033333 4772441 3871065 
10500024638 4810233 3897436 
10600029654 4897443 3970254 
10700024846 4921677 3991676 
10800022589 4950730 4017939 
10900028492 5025331 4068582 
11000035450 5069551 4109622 
11100027555 5098818 4136101 
11200023853 5143717 4161980 
11300030546 5219991 4232394 
11400029093 5244692 4254400 
11500028499 5280904 4279434 
11600130859 5369971 4353066 
11700019651 5392289 4372793 
11800020330 5420921 4398974 
11900024410 5462730 4420526 
12000026490 5540306 4492313 
12100034211 5568850 4518428 
12200023999 5615047 4544884 
12300028870 5693522 4616483 
12400026163 5718764 4639025 
12500020316 5754045 4664944 
12600014222 5843159 4737552 
12700016151 5864793 4756482 
12800016220 5894711 4783617 
12900028224 5938932 4805817 
13000032608 6016956 4878313 
13100027173 6045055 4903508 
13200025569 6086735 4930382 
13300029381 6170739 5002943 
13400025954 6195702 5025185 
13500023664 6227500 5050978 
13600024769 6297747 5101614 
13700036021 6340360 5141177 
13800031667 6370842 5168893 
13900026538 6418506 5194659 
14000029151 6495651 5266414 
14100021619 6524001 5291929 
14200026696 6565736 5319540 
14300027323 6651467 5393466 
14400020604 6675909 5415058 
14500030030 6706122 5440633 
14600025951 6779339 5491816 
14700037573 6822576 5531918 
14800021042 6853398 5559696 
14900024360 6900594 5585978 
15000029579 6976437 5656673 
15100026921 7002519 5680185 
15200028066 7041890 5706354 
15300029003 7128247 5779279 
15400021837 7152607 5800788 
15500025894 7182704 5826709 
15600023851 7255096 5877397 
15700035362 7299517 5918825 
15800034352 7331083 5947664 
15900026490 7378594 5974517 
16000029301 7453420 6044390 
