#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100046562 3595 1335 
200028154 3601 1337 
300027927 4248 1708 
400020091 4252 1708 
500019655 4628 1895 
600027787 27093 8358 
700028754 27106 8358 
800032225 27429 8560 
900004668 28361 9219 
1000028487 28366 9220 
1100028496 28375 9224 
1200035068 29471 9854 
1300028682 30492 10598 
1400027053 30514 10603 
1500027620 30853 10770 
1600028717 30860 10770 
1700003820 31130 10915 
1800031018 37319 13256 
1900031078 44283 15232 
2000019558 46666 16064 
2100029029 46668 16064 
2200030163 47165 16369 
2300028941 47335 16477 
2400028912 47338 16477 
2500030832 47730 16650 
2600013851 58926 22101 
2700013718 66962 27501 
2800007236 74779 33373 
2900018943 167149 107502 
3000019280 167155 107504 
3100025520 167415 107686 
3200031340 168721 108868 
3300029090 169579 109575 
3400014887 170716 110384 
3500024031 200522 117994 
3600019120 212343 120975 
3700019814 212353 120979 
3800030533 213917 121913 
3900029844 215016 122309 
4000028088 216102 123050 
4100028769 216110 123050 
4200019255 216356 123187 
4300028407 216535 123272 
4400028853 216557 123275 
4500030403 219492 125035 
4600030487 230021 129108 
4700030034 236904 131773 
4800033239 241058 132906 
4900030253 247044 134447 
5000032422 253895 136216 
5100027792 256262 137430 
5200028490 256282 137430 
5300040081 256791 137777 
5400028629 257010 137903 
5500028290 257016 137905 
5600029124 257201 137996 
5700017420 258612 138754 
5800015213 286315 153835 
5900011117 293981 159800 
6000014723 308950 171886 
6100014889 316536 178313 
6200028145 459552 304181 
6300029033 459566 304188 
6400010213 460130 304647 
6500030790 461309 305744 
6600031031 462278 306486 
6700029887 463872 307321 
6800032184 466012 308245 
6900011493 471122 311596 
7000026399 529030 327825 
7100027910 596396 345148 
7200028235 596461 345169 
7300014513 596909 345437 
7400028820 598749 346483 
7500030915 599255 346728 
7600019109 600281 347444 
7700019435 600610 347620 
7800016955 600689 347650 
7900028424 601055 347847 
8000029405 601061 347847 
8100019144 601467 348066 
8200030893 612026 353158 
8300022123 618463 355447 
8400025479 623824 357268 
8500029781 628923 359144 
8600033603 634815 361211 
8700136796 639534 362879 
8800029794 643891 364525 
8900019280 649316 366880 
9000019631 649322 366881 
9100028950 649341 366883 
9200018789 649929 367256 
9300028537 650092 367361 
9400028291 650132 367364 
9500026512 650327 367447 
9600029586 650658 367650 
9700008398 674495 379313 
9800013490 689064 389525 
9900009601 703484 401639 
10000011008 721057 416236 
10100015069 728543 422481 
10200019896 909146 585994 
10300019919 909149 585996 
10400040069 909429 586210 
10500030827 910881 587571 
10600031225 912415 588733 
10700010564 914066 589685 
10800031872 915878 590506 
10900030820 917777 591575 
11000031339 918946 592357 
11100012499 928100 598110 
11200024290 1049942 639780 
11300029439 1105457 659107 
11400028677 1105469 659111 
11500030307 1106765 659990 
11600030607 1107627 660532 
11700031050 1108461 660770 
11800030401 1108610 660903 
11900019919 1109876 661766 
12000026468 1110256 661945 
12100026990 1110270 661950 
12200028342 1110657 662165 
12300028704 1110701 662180 
12400022540 1111007 662337 
12500028780 1114196 663999 
12600029738 1119535 665802 
12700031455 1125058 667501 
12800029753 1132137 669617 
12900028628 1138390 671707 
13000030957 1145863 673966 
13100028860 1151898 675725 
13200031457 1158872 677810 
13300030714 1164505 679495 
13400031630 1170968 681291 
13500029244 1173431 682119 
13600028515 1182002 684476 
13700028531 1182016 684476 
13800030191 1182461 684748 
13900031002 1182630 684854 
14000027961 1182865 684980 
14100026608 1182875 684984 
14200028241 1183292 685211 
14300014898 1184275 685822 
14400007157 1222267 706208 
14500010781 1250347 727951 
14600014106 1274016 749341 
14700012955 1281430 755410 
14800014428 1289414 761629 
14900017149 1538670 990724 
15000026747 1538681 990729 
15100028334 1538684 990731 
15200031432 1539732 991688 
15300031665 1540913 992622 
15400041214 1542362 993470 
15500031235 1544239 994469 
15600031593 1546007 995441 
15700033381 1548105 996761 
15800028005 1550798 998311 
15900031633 1552760 999519 
16000032204 1553569 1000241 
16100022152 1586347 1018836 
16200025076 1757104 1074788 
16300019589 1827418 1098000 
16400025098 1827435 1098002 
