#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100087240 29477191 62028 52193 
200022857 57747883 138170 126384 
300035139 87067963 266871 253968 
400036121 116394654 392798 377838 
500036288 145702896 519821 503890 
600032725 174970969 642644 624911 
700037509 204398774 769741 750832 
800036000 233896551 894774 873942 
900036453 264764727 1019039 995639 
1000035697 296353454 1143940 1117212 
1100037977 339698995 1261781 1224815 
1200034882 388191389 1380940 1333794 
1300035422 455382966 1496573 1433868 
1400008846 541968069 1615183 1531800 
1500004940 594994618 1731211 1638609 
1600007709 737449914 1851009 1746555 
1700037467 802937037 1953509 1827950 
1800006701 940189676 1995034 1869346 
1900008752 1065666813 2147943 2010043 
2000007290 1187874932 2277049 2127752 
2100019115 1264522135 2309030 2146820 
2200009439 1332010994 2309047 2146825 
2300017616 1399069674 2309065 2146830 
2400010332 1472939906 2309084 2146837 
2500020016 1546037811 2309100 2146839 
2600009114 1614766883 2309119 2146847 
2700019191 1689541285 2309134 2146851 
2800009218 1757977961 2309150 2146857 
2900015319 1834061844 2309166 2146861 
3000014526 1891660988 2309177 2146864 
3100021059 1957431145 2309193 2146866 
3200015636 2026302841 2309212 2146871 
3300009191 2087337227 2309229 2146876 
3400017456 2153307003 2309247 2146880 
3500019369 2216888254 2309268 2146887 
3600016463 2286642523 2309284 2146891 
3700014318 2346134126 2309294 2146893 
3800017986 2421340029 2309310 2146898 
3900015892 2485181873 2309322 2146901 
4000021293 2551961751 2309335 2146905 
4100019513 2617219720 2309349 2146908 
4200010106 2680662184 2309361 2146913 
4300016477 2742949213 2309375 2146915 
4400017548 2808603782 2309387 2146918 
4500014610 2868669738 2309405 2146924 
4600016478 2929650593 2309417 2146924 
4700032185 2963462913 2309420 2146926 
4800034392 2993971088 2309420 2146926 
4900018270 3031793471 2309425 2146927 
5000022648 3098828566 2309436 2146927 
5100025081 3164817588 2309450 2146934 
5200017640 3235089699 2309466 2146939 
5300009656 3307229065 2309476 2146943 
5400025231 3371458431 2309489 2146947 
5500017244 3444405104 2309501 2146951 
5600020147 3513417771 2309518 2146954 
5700010466 3587148526 2309535 2146958 
5800016952 3658200584 2309552 2146963 
5900020340 3730251056 2309567 2146966 
6000018855 3800939712 2309587 2146974 
6100010384 3874251358 2309608 2146982 
6200022006 3944920552 2309621 2146984 
