#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100112830 34454753 3271 39 
200030803 68802876 5625 43 
300031593 102725579 7568 61 
400032409 138086263 9393 70 
500012032 174497458 11223 82 
600033099 211313446 12954 113 
700033791 248832040 15097 153 
800038647 287140696 17793 193 
900030166 325671891 20503 260 
1000028190 365251060 23341 390 
1100026937 405500127 26189 519 
1200009309 446889003 28940 726 
1300032454 489335509 31868 1040 
1400007778 533270478 35171 1424 
1500006713 579228388 39307 2131 
1600027703 627541526 44324 3235 
1700006959 677625163 49149 4328 
1800037702 730403027 54609 5680 
1900006332 785644462 60671 7417 
2000005739 843824497 67187 9384 
2100004847 905352276 74899 12340 
2200031251 972182031 83703 15792 
2300005546 1040689069 92227 19099 
2400004467 1113535158 101661 23148 
2500004907 1188055418 110865 26778 
2600004153 1266552129 120576 30906 
2700001615 1348230378 130667 35433 
2800033254 1431705540 140833 40141 
2900004800 1518710911 150888 44912 
3000003320 1608572957 161385 50023 
3100004057 1701068980 172244 55233 
3200004308 1795656870 182714 60688 
3300004315 1892571421 193510 66457 
3400032514 1991072531 204599 72594 
3500030793 2091551386 215366 78356 
3600003820 2194436830 226071 84442 
3700003944 2299544654 236701 90657 
3800032885 2407578126 248208 97652 
3900033188 2517388595 259563 104179 
4000032012 2627735393 270549 111141 
4100003737 2743522907 282225 118324 
4200003710 2857223044 293656 125635 
4300003513 2975633947 304649 132231 
4400003795 3093580554 315736 139595 
4500003823 3211668688 326732 146934 
4600003827 3335689563 337602 153951 
4700003797 3457327435 348944 162065 
4800031537 3582541296 359878 168794 
4900003563 3829964710 363592 171332 
5000004317 4123774172 364070 171714 
5100003971 4417148478 364596 172089 
5200003267 4709787542 365147 172556 
5300003468 5001161596 365688 173032 
5400003788 5291434048 366214 173480 
5500003805 5580797628 366752 173984 
5600003712 5869641962 367303 174505 
5700006223 6157531706 367877 175025 
5800003677 6465012781 368478 175522 
5900003683 6754447656 369125 176023 
6000003115 7042863033 369767 176545 
6100003536 7331660014 370354 177076 
6200003437 7620582007 370952 177639 
6300004093 7910151814 371552 178148 
6400003531 8198912193 372149 178663 
6500003511 8488727732 372723 179166 
6600003539 8778948963 373244 179628 
6700015542 9015834147 373954 180172 
6800037122 9049253528 375138 180548 
6900003807 9096790918 377023 181426 
7000029197 9220160621 382513 184986 
7100033202 9341919043 387862 188453 
7200037708 9457416606 392994 191754 
7300005317 9543912964 397093 194118 
7400003081 9632641351 401277 196628 
7500003658 9721069444 405450 199076 
7600003332 9808934871 409686 201619 
7700003495 9896910126 413885 204075 
7800003177 9985102976 418230 206622 
7900003793 10072997394 422385 209073 
8000003597 10161006598 426587 211588 
8100004035 10248835560 430814 213944 
8200033072 10337328453 435074 216470 
8300033991 10423130900 439161 218753 
8400033539 10508696608 443215 221054 
8500032521 10594175962 447270 223258 
8600031135 10679554398 451367 225599 
8700003930 10766294527 455483 228030 
8800003627 10852947217 459687 230420 
8900003438 10940134277 463931 232806 
9000003738 11026953596 468166 235346 
9100003341 11113708696 472414 237881 
9200003446 11200646278 476620 240367 
9300003651 11287197985 480739 242784 
9400003493 11373847260 484909 245306 
9500003580 11460157479 489164 247781 
9600038928 11546326564 493204 250076 
9700018939 11630641416 497243 252390 
9800035497 11715107807 501418 254773 
9900011537 11799142893 505469 257021 
10000003458 11885087931 509635 259376 
10100003553 11970620204 513798 261829 
10200003887 12056364306 518041 264252 
10300003552 12142157780 522172 266459 
10400003643 12227511865 526293 268805 
10500004175 12312950365 530456 271104 
10600033610 12398553292 534654 273353 
10700037166 12484243828 538824 275660 
10800003168 12587859339 542930 278175 
10900035657 12673593275 547128 280559 
11000034140 12757390349 551207 282947 
11100029634 12841069012 555266 285165 
11200003378 12930466364 559820 287876 
11300032704 13024255344 564623 290558 
11400003676 13110476810 569017 292883 
11500032780 13204238741 573952 295552 
11600004020 13289487435 578358 297903 
11700003669 13382600281 583242 300519 
11800003513 13467450151 587557 302789 
11900003894 13560282776 592417 305315 
12000036725 13649799946 596974 307857 
12100034536 13739477933 601503 310212 
12200030705 13830941390 606243 312810 
12300004157 13917088047 610666 315027 
12400003859 14009577565 615621 317751 
12500004275 14094347437 619865 319997 
12600003652 14186575455 624674 322512 
12700020705 14271195046 628993 324732 
12800033823 14363761736 633857 327290 
12900040011 14451000162 638363 329686 
13000033066 14541372078 643045 332123 
13100032529 14631487666 647713 334714 
13200033817 14718892234 652139 336891 
13300030877 14811695600 656923 339374 
13400003646 14895256236 661254 341635 
13500003529 14986637840 666109 344207 
13600037153 15071117835 670333 346406 
13700003678 15163172690 675066 349013 
13800033817 15248132504 679335 351328 
13900003624 15340408068 684189 354195 
14000039185 15428168609 688724 356884 
14100003673 15518479579 693321 359485 
14200038797 15605255540 697707 362013 
14300033901 15687507451 701826 364359 
14400003312 15776788275 706343 366787 
14500037676 15862227750 710508 369118 
14600034944 15948138597 714777 371570 
14700003389 16034206032 719047 373934 
14800003709 16120096135 723430 376528 
14900003553 16213298863 728093 379151 
15000035234 16296842890 732188 381464 
15100040337 16379021225 736222 383738 
15200012164 16467551206 740836 386391 
15300003850 16556475806 745328 388888 
15400008761 16643394332 749621 391390 
15500003753 16728977009 753904 393788 
15600003838 16814716666 758154 396180 
15700003703 16931356934 763123 399120 
15800003636 17207838258 771113 404866 
15900004011 17483184474 779149 411009 
16000004161 17758523204 787482 417757 
16100003509 18032682671 795719 424028 
16200003928 18305678466 803891 430141 
16300004024 18577214468 812143 436614 
16400003572 18846205930 820193 442385 
16500003850 19113157224 828307 448297 
16600003933 19378921701 836440 454138 
16700004142 19642230530 844474 460122 
16800003306 19903907505 852642 466341 
16900003697 20163911583 860807 472449 
17000003901 20421861186 868827 478226 
17100003732 20678911423 877135 484638 
17200003107 20933769599 885357 490838 
17300003136 21187095775 893562 497220 
17400008108 21439696840 901872 503706 
17500004773 21691048878 910197 509613 
17600002807 21941528803 918545 515642 
17700005794 22190584426 926938 521932 
17800003433 22439772481 935388 528167 
17900003018 22688127971 943845 534974 
18000004821 22935529763 952348 541434 
18100003376 23182994347 960894 547730 
18200003955 23448648649 969403 553949 
18300002943 23694979239 977762 559841 
18400004120 23941326884 986266 566341 
18500003954 24186724655 994837 572774 
18600003956 24432335492 1003391 579502 
18700004234 24677759664 1012115 586075 
18800004414 24924150638 1020832 592463 
18900004394 25171531420 1029531 599318 
19000003785 25420441868 1038319 606335 
19100012167 25671814244 1047016 612761 
19200004444 25924805511 1055524 619481 
19300003307 26179723607 1064094 625966 
19400003258 26436455996 1072586 632440 
19500004238 26694969505 1080978 639029 
19600004535 26955492924 1089364 645425 
19700004096 27217441028 1097762 651772 
19800003348 27481511304 1106187 658116 
19900003300 27748043912 1114583 664711 
20000004135 28016162468 1123073 671028 
20100003709 28285840009 1131520 677570 
20200004136 28558165459 1140154 683977 
20300003220 28831907767 1148653 690111 
20400003459 29107526646 1157155 696369 
20500003580 29382032147 1165810 703324 
20600003779 29659637548 1174150 710366 
20700003376 29938623146 1182665 717238 
20800003739 30217261472 1191122 723570 
20900003952 30496467541 1199463 730080 
21000006295 30772273249 1229196 755847 
21100002402 31021750563 1529299 1020934 
21200005977 31262789780 1831110 1285052 
21300004746 31505965446 2131658 1541332 
21400003894 31746840479 2424995 1793392 
21500005049 31992113682 2725228 2048584 
21600003900 32240601244 3036625 2311307 
21700002449 32494944268 3356513 2581093 
21800004176 32745117466 3674789 2855466 
21900004149 32995236512 3998395 3135086 
22000001772 33245664980 4317888 3413972 
22100003843 33493123228 4631855 3682939 
22200003694 33737254496 4936963 3936754 
22300003907 33982472452 5248018 4197713 
22400003568 34219936086 5533737 4436024 
22500004762 34458586234 5823319 4670889 
22600005251 34671136372 6040439 4846515 
22700003497 34889301140 6273110 5027518 
22800004853 35103811323 6510021 5206867 
22900006090 35330353897 6742585 5394299 
23000004731 35550773834 6964434 5572493 
23100004560 35786696030 7227118 5800386 
23200004761 36017853624 7486760 6016400 
23300005310 36254567828 7754001 6245901 
23400004322 36491023603 8016593 6466034 
23500004101 36728766021 8277867 6690894 
23600004002 36970087756 8550453 6924823 
23700003107 37204965203 8820271 7155049 
23800005831 37447336072 9095240 7385580 
23900005439 37685289501 9362145 7617275 
24000005109 37926002656 9637446 7855371 
24100003844 38161450931 9905834 8083599 
24200004822 38406539863 10189169 8329822 
24300005194 38618978561 10424147 8516845 
24400004480 38832406962 10661796 8702824 
24500001886 39067335322 10930806 8936749 
24600006021 39307920263 11215155 9186124 
24700003512 39542944368 11487702 9420769 
24800004598 39772771011 11749706 9640860 
24900005249 39995922221 12000718 9843538 
25000005439 40233408279 12267645 10076320 
25100007174 40464395985 12538669 10304362 
25200006314 40701475291 12809503 10532572 
25300003016 40938399162 13083558 10748737 
25400004964 41179410613 13370767 10986614 
25500005647 41422303301 13657857 11230431 
25600005937 41676547571 13929188 11460402 
25700003885 41927927907 14217138 11712720 
25800006008 42154202137 14480898 11929763 
25900003416 42393326575 14765414 12170846 
26000002857 42628389516 15030519 12394618 
26100003471 42868302730 15306216 12632768 
26200004670 43108497352 15587184 12871942 
26300004487 43342256825 15864877 13108546 
26400003439 43575376608 16128371 13337348 
26500004141 43815456218 16405022 13577621 
26600004323 44056345747 16681959 13814711 
26700004426 44286037029 16945555 14032404 
26800005036 44522637499 17222502 14270697 
26900004981 44762304004 17493006 14502984 
27000004933 45005716249 17766396 14736599 
27100003731 45241288548 18044058 14967245 
27200004208 45483589749 18323120 15213555 
27300004511 45718861433 18598561 15451001 
27400003858 45958848656 18863472 15679208 
27500002517 46197439893 19142987 15923588 
27600008011 46435448755 19420750 16166680 
27700006023 46655911618 19672029 16367616 
27800003819 46895344992 19950093 16602671 
27900004968 47125706669 20211937 16820479 
28000004407 47364574358 20485861 17056854 
28100003980 47601602635 20749677 17284808 
28200005787 47836167927 21025637 17521538 
28300004055 48073346296 21291583 17745791 
28400004995 48319841182 21567554 17971914 
28500003687 48564177209 21845215 18209341 
28600003593 48808636472 22132978 18462224 
28700004810 49050614232 22409067 18700358 
28800004230 49293358092 22690157 18944267 
28900003844 49536082777 22977522 19197559 
29000006378 49778949026 23253034 19435893 
29100004781 50021739197 23541139 19689347 
29200004709 50264436059 23839209 19937523 
29300005433 50501856932 24125984 20187763 
29400005575 50740949617 24404254 20424006 
29500005213 50984031190 24697996 20683697 
29600003772 51231332735 24987404 20943241 
29700004161 51462409990 25250753 21165711 
29800005355 51704896721 25537190 21415483 
29900000525 51945989387 25823307 21662208 
30000004480 52187747727 26106361 21900296 
30100001230 52426405910 26380059 22127101 
30200006306 52663102855 26651777 22358228 
30300004084 52905881406 26937836 22598799 
30400005046 53142944565 27214630 22834137 
30500004014 53377206676 27491103 23067261 
30600003428 53603210158 27742982 23272814 
30700004191 53840139170 28015027 23501987 
30800005567 54083800010 28293884 23745555 
30900005490 54326227739 28570127 23982716 
31000005754 54570252508 28853260 24225174 
31100003828 54813466778 29130865 24466387 
31200003974 55061614501 29433445 24726513 
31300006353 55290995069 29703275 24945244 
31400004586 55524822365 29976836 25179235 
31500004647 55764204467 30259484 25414082 
31600005085 56003014387 30537911 25648510 
31700004772 56251631425 30834009 25913331 
31800002176 56493569183 31118649 26159625 
31900003391 56735428893 31398894 26397551 
32000014007 56977401968 31675968 26633993 
32100003773 57222833700 31961472 26885486 
32200000902 57464936432 32250541 27138380 
32300001458 57705709500 32536497 27381451 
32400005677 57940845992 32804956 27594186 
32500003869 58186237360 33093356 27839170 
32600004599 58429649635 33366981 28068037 
32700006179 58678851316 33654988 28307954 
32800004220 58922594880 33946444 28556390 
32900004385 59166077480 34237837 28800175 
33000003935 59414348350 34541146 29059566 
33100004808 59659978666 34833969 29308787 
33200003245 59899227644 35113200 29542541 
33300005501 60144810574 35416997 29801101 
33400004439 60391974277 35714014 30061746 
33500005356 60636456116 36004692 30314328 
33600000573 60880678999 36295952 30562611 
33700005913 61092940047 36527243 30738414 
33800003031 61327972373 36806154 30973478 
33900005471 61564450802 37083781 31209683 
34000002562 61799915540 37358262 31445577 
34100007180 62035453787 37632283 31678922 
34200004278 62274152617 37906959 31913460 
34300005978 62520692146 38187551 32153485 
34400004074 62769131577 38468440 32398159 
34500004553 62989182538 38719799 32594125 
34600004350 63232307770 39009330 32845313 
34700003983 63469418877 39291509 33087071 
34800003528 63711508747 39567411 33329587 
34900003396 63957393460 39853904 33581527 
35000003596 64200835436 40131169 33823117 
35100004205 64452313183 40423929 34075601 
35200004221 64695676032 40710172 34313422 
35300001310 64938171619 40996790 34557570 
35400003459 65181308193 41281045 34807588 
35500004100 65422994035 41566648 35061056 
35600005363 65666191628 41858322 35316493 
35700005805 65901886012 42126658 35538969 
35800004544 66147927316 42417318 35789185 
35900003160 66393470684 42709406 36040724 
36000004729 66638972970 43003619 36292476 
36100005808 66882760495 43297506 36553395 
36200004711 67124281818 43581480 36797079 
36300003153 67365076362 43858404 37033263 
36400004268 67607226169 44144044 37281055 
36500005049 67838069015 44402924 37498588 
36600004593 68079666862 44693201 37753951 
36700020963 68324140376 44986576 38007593 
36800004168 68568607209 45283123 38267261 
36900003986 68813161214 45575188 38521609 
37000002665 69058843709 45870576 38776933 
37100005364 69306004675 46172249 39030987 
37200004277 69550168818 46446862 39255393 
37300004601 69800077107 46731038 39498127 
37400007350 70048586692 47027264 39759620 
37500004155 70288257577 47313156 40004709 
37600001213 70527985694 47596915 40249611 
37700001173 70758072056 47870076 40478159 
37800001347 71028357236 48165955 40732947 
37900004350 71274497069 48458179 40984387 
38000002994 71515273582 48739024 41227447 
38100003607 71758960462 49018966 41464910 
38200005391 72003553268 49305353 41712327 
38300005528 72246861433 49585031 41953725 
38400006129 72493311579 49872272 42202630 
38500005048 72735180932 50161445 42458674 
38600004701 72976278405 50431974 42695861 
38700003324 73216429354 50718435 42944172 
38800004941 73461245847 51000960 43193252 
38900007214 73697826160 51285931 43432940 
39000007808 73941904341 51567078 43674995 
39100003893 74189781241 51855643 43925179 
39200004478 74436894771 52146443 44177788 
39300003524 74686356182 52446173 44435054 
39400004432 74925595215 52736416 44681459 
39500004416 75171412349 53018030 44915347 
39600003813 75413448296 53312604 45168545 
39700004741 75659491485 53611962 45427336 
39800004191 75903479240 53906317 45682738 
39900007012 76131671885 54171638 45898958 
40000006112 76377039526 54453146 46143289 
40100004006 76621428780 54743875 46394294 
40200004586 76867901609 55028601 46637760 
40300000836 77109180395 55311812 46867857 
40400000820 77351935200 55607800 47115835 
40500003136 77590103430 55890329 47357826 
40600005799 77834818221 56181166 47604075 
40700005255 78085172017 56482319 47865206 
40800004133 78325117545 56768790 48107443 
40900003333 78567569301 57061227 48362491 
41000005058 78812858553 57346502 48607957 
41100003714 79054515784 57621206 48831416 
41200006124 79295961353 57904422 49059132 
41300004150 79531362048 58178074 49286963 
41400002495 79775055612 58470844 49544649 
41500003875 80014290520 58757248 49787760 
41600003157 80248613030 59030859 50007786 
41700002705 80495104231 59319003 50251412 
41800004224 80732668470 59593676 50480929 
41900001016 80975669388 59886702 50739252 
42000004275 81216099815 60169753 50984564 
42100004772 81442112399 60435840 51198012 
42200004362 81686175299 60726714 51442972 
42300002733 81936280732 61011161 51679253 
42400003792 82179203116 61285062 51916072 
42500004535 82415079960 61558350 52140128 
42600003018 82658260110 61845089 52378957 
42700005887 82899755448 62126514 52618442 
42800005618 83141076698 62403466 52852991 
42900004992 83365396569 62656975 53054786 
43000004756 83608218341 62955588 53312580 
43100008253 83849421294 63249174 53564362 
43200003837 84064954969 63489787 53753860 
43300004594 84309631308 63781821 54012262 
43400004896 84549437742 64059211 54246477 
43500006403 84791904258 64342230 54483239 
43600005543 85027015827 64617296 54714092 
43700004157 85275832356 64913579 54968165 
43800004929 85522144096 65207025 55219178 
43900000868 85759804255 65491367 55459695 
44000005952 86002487455 65776320 55708688 
44100006105 86244230168 66056565 55950673 
44200005008 86488222273 66337587 56195342 
44300004699 86732204868 66629338 56450831 
