#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100024292 42239043 299666 205906 
200022221 78759213 305729 207570 
300024660 111862246 308997 207949 
400025423 146106065 314378 211254 
500016215 178908625 317098 212183 
600008563 210918084 319378 212928 
700025044 243542014 321792 213766 
800004726 277314375 328520 218475 
900025836 307574392 329852 218849 
1000005867 338450557 331555 219368 
1100024062 368563916 332892 219707 
1200024684 398596806 334168 220066 
1300025413 430579999 336488 220765 
1400024498 462408573 338666 221419 
1500025966 491509513 339229 221469 
1600026216 520250557 339708 221497 
1700024861 548836986 340152 221522 
1800026348 577994852 340928 221592 
1900003348 612086783 415452 293571 
2000004562 643023953 416964 293725 
2100021874 673749881 418480 293845 
2200025402 705422606 420840 294038 
2300006123 740756681 423544 295256 
2400026327 772329662 425670 295663 
2500021658 802679755 427091 296016 
2600000920 832803161 428373 296239 
2700038027 864707083 430650 296848 
2800037694 894763028 431709 297102 
2900037929 924030808 432644 297296 
3000007564 957102968 435401 298253 
3100036369 988779019 436965 298730 
3200036778 1020322907 438071 298950 
3300037892 1051182789 439513 299174 
3400036727 1081506316 440646 299343 
3500006953 1111193524 441364 299491 
3600035344 1140550536 442002 299556 
3700347965 1170015400 442677 299683 
3800038694 1199048413 443278 299811 
3900038238 1227925147 443640 299863 
4000039164 1256817197 444028 299926 
4100038421 1285700573 444475 299971 
4200037560 1315584837 445505 300122 
4300037138 1347397461 447855 300539 
4400037242 1383395703 452424 301445 
4500012324 1485029936 622147 470285 
4600006809 1613736813 718408 566178 
4700007829 1760096765 784394 631464 
4800004757 1945661000 833788 680084 
4900008977 2184165423 1433993 1269983 
5000006727 2313370833 1593676 1429410 
5100005479 2463484345 1681423 1516436 
5200004814 2637105862 1747979 1582562 
5300009264 2826938197 1826421 1658772 
5400010580 2937079777 1840298 1672574 
5500014187 3029076225 1890930 1722278 
5600011045 3117756585 1944846 1773307 
5700009628 3205277408 1999042 1824777 
5800009201 3338062580 2368653 2192254 
5900008330 3458357877 2379464 2203031 
6000009639 3577259432 2390522 2214052 
6100008943 3696648705 2401538 2224996 
6200002789 3829855687 2630319 2450790 
6300010341 4047165043 2812614 2623589 
6400010663 4174089076 3077576 2879853 
6500006325 4310411013 3221093 3022782 
6600006753 4446638363 3307342 3108590 
6700004863 4608775161 3388172 3188880 
6800007428 4811741100 3651207 3448157 
6900010675 4925488763 3663948 3460892 
7000008871 5039135591 3675992 3472922 
7100008711 5152909513 3688201 3485125 
7200007119 5267635576 3701181 3498051 
7300013801 5435275525 3886938 3675882 
7400008950 5549943944 4081800 3864654 
7500007769 5672880547 4095579 3878396 
7600007813 5795455687 4108667 3891441 
7700006119 5918060078 4121950 3904684 
7800009674 6046368538 4229910 4010234 
7900010862 6157289678 4307747 4087992 
8000010801 6281236278 4913927 4691158 
8100008496 6416640842 5110494 4886931 
8200008670 6560083990 5243059 5018458 
8300006383 6697333112 5327108 5102358 
8400005688 6866626450 5407710 5182708 
8500009285 7065527388 5473451 5247234 
8600010844 7186198117 5672629 5441394 
8700002011 7309482276 5711533 5479675 
8800011470 7430718532 5747131 5514966 
8900009045 7543749383 5760267 5528048 
9000007832 7663324029 5864006 5627007 
9100007306 7766924862 6010097 5770581 
9200007611 7917223158 6111511 5867839 
9300007777 8066972237 6117934 5871306 
9400006530 8212991143 6123808 5874481 
9500006261 8357505314 6130614 5877951 
9600007365 8509678821 6137895 5882421 
9700005651 8656006532 6145296 5886796 
9800006639 8801230596 6148694 5889021 
9900007394 8944629183 6152519 5891322 
10000006242 9093220446 6158957 5894939 
10100007804 9243589532 6166026 5899414 
10200007513 9395404234 6173467 5903615 
10300007029 9548724772 6180089 5907618 
10400009743 9702589448 6188685 5912197 
10500007806 9847070453 6192533 5914492 
10600007774 9995590163 6197541 5917695 
10700008759 10145036523 6205494 5921789 
10800007634 10292767228 6209433 5924007 
10900008654 10439636158 6214038 5927179 
11000005860 10599240376 6226439 5932972 
11100007050 10743769090 6231803 5936380 
11200007016 10890793552 6237129 5939447 
11300005949 11036518450 6243579 5942947 
11400009450 11181168776 6247596 5945861 
11500006645 11325363392 6252203 5948274 
11600006823 11469965878 6255535 5950498 
11700008246 11613749349 6260969 5953638 
11800005919 11761407803 6267195 5956960 
11900009992 11906113069 6272208 5960263 
12000006945 12052375423 6278180 5963938 
12100007124 12197652531 6283261 5966815 
12200007694 12344906868 6286911 5968836 
12300009123 12487767767 6290995 5971553 
12400008287 12630762970 6294325 5973689 
12500008379 12774981137 6298197 5976220 
12600007049 12916756175 6302215 5978694 
