#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100000025 52608617 4772 632 
200010141 103822631 11602 1181 
300010049 157309824 22170 2588 
400009109 213723297 36562 5318 
500009937 274543564 51351 9021 
600011667 337746024 67632 13092 
700014075 404114585 83482 17876 
800007139 474277249 100596 23086 
900010700 545193405 118383 28509 
1000008388 617398241 135498 34552 
1100009751 694092253 152364 40829 
1200005457 769533589 170736 47047 
1300012817 851348858 190208 54957 
1400007086 932517949 210245 62481 
1500004440 1019116674 229529 69928 
1600019067 1118730564 250541 78615 
1700012845 1225935363 270690 87353 
1800004497 1329127193 290514 96580 
1900014198 1438700224 311619 106336 
2000005639 1553676148 332057 116087 
2100005504 1666386682 353516 126491 
2200005104 1784567028 374599 136640 
2300012409 1901714014 395732 147533 
2400006459 2023849030 418334 158403 
2500006208 2148528039 439557 169368 
2600004772 2277873037 461429 181243 
2700011493 2404209691 483550 193185 
2800004962 2533906252 506613 205626 
2900015475 2672438673 529743 218640 
3000004325 2810182809 551946 231159 
3100004883 2951080519 574702 244205 
3200006174 3091014956 597775 257718 
3300005073 3237274815 620115 271379 
3400009289 3381473260 643483 285615 
3500005135 3527776488 666884 300309 
3600004717 3675959417 689971 314637 
3700010541 3828588868 713079 330069 
3800152394 3982386796 737518 345547 
3900009990 4134351381 759481 359428 
4000009218 4294055468 781783 374471 
4100004070 4451349202 803086 388463 
4200003407 4611082638 824573 403513 
4300004276 4768622620 848606 419398 
4400015060 4924998208 872009 435267 
4500010920 5085324955 893927 450272 
4600011266 5251077718 916671 466784 
4700009267 5410666598 938366 482472 
4800024791 5575054968 960885 499107 
4900005923 5742443545 983795 515948 
5000003725 5907734646 1007622 532620 
5100009122 6078501993 1029245 549409 
5200003877 6249182936 1051011 565358 
5300004461 6419085351 1073196 582398 
5400005060 6595083292 1095534 599859 
5500007938 6769799237 1116890 616250 
5600025043 6943011902 1139289 632903 
5700004391 7116686934 1161205 649709 
5800006390 7294583556 1183313 666552 
5900005298 7466436466 1205792 683373 
6000005523 7645191060 1227415 699913 
6100004326 7825027063 1250813 717579 
6200009137 8003758854 1271642 733076 
6300004043 8183385666 1292603 747748 
6400003283 8373169753 1313686 763800 
6500003195 8557664727 1334995 781003 
6600016805 8737620875 1356744 796947 
6700006861 8923238243 1377396 812778 
6800003260 9103110931 1397049 826683 
6900007818 9285555152 1419856 844251 
7000005249 9467520576 1441226 860800 
7100003725 9653225740 1461230 875247 
7200003153 9834508062 1483341 892506 
7300003705 10024272551 1501960 905926 
7400003366 10216321327 1522726 921654 
7500005477 10406152933 1543730 938341 
7600003799 10598241458 1564349 953451 
7700005904 10790086407 1586247 970458 
7800008183 10986142766 1606830 986659 
7900003413 11182484167 1625276 1000011 
8000004215 11378292282 1646673 1016862 
8100003655 11578591981 1667580 1033290 
8200004204 11774263978 1687520 1048249 
8300003878 11972717440 1708276 1063709 
8400003643 12176085254 1725711 1077401 
8500003707 12369815596 1748654 1095621 
8600004494 12567065175 1769368 1111657 
8700004180 12755408339 1788365 1125506 
8800015665 12948504510 1807996 1140174 
8900003697 13153179607 1826346 1154507 
9000006206 13354432222 1845832 1168672 
9100009398 13547215769 1864931 1182948 
9200011493 13741399382 1884012 1197387 
9300004480 13939245083 1903529 1212141 
9400003853 14139509816 1922498 1226840 
9500007484 14342922905 1939324 1239060 
