#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100036456 8159 2871 
200018669 36474 8786 
300018859 156324 30109 
400019258 345094 71742 
500009245 644812 144631 
600006123 999592 239629 
700018484 1436333 360776 
800022097 1961004 521810 
900024848 2521349 686063 
1000010925 3128498 865511 
1100019387 3838372 1095857 
1200018949 4567394 1317614 
1300022757 5368328 1608887 
1400008953 6230348 1896324 
1500005610 7135664 2206025 
1600074410 8112861 2534097 
1700009295 9161018 2930546 
1800004435 10165789 3297836 
1900003331 11251122 3720701 
2000006168 12428809 4187548 
2100006221 13581690 4647104 
2200018737 14826596 5142155 
2300011685 16007204 5663039 
2400005904 17293153 6215246 
2500010239 18615382 6796131 
2600003222 20026987 7425641 
2700016547 21373816 8043013 
2800004198 22738880 8696619 
2900005926 24233749 9415987 
3000005108 25718380 10150289 
3100003676 27236941 10914623 
3200004196 28740097 11678607 
3300006958 30309152 12501937 
3400016762 31871209 13308910 
3500018853 33431480 14151375 
3600004731 35040809 15008234 
3700004301 36717326 15902350 
3800003712 38405937 16824768 
3900004546 40083829 17743245 
4000007183 41859350 18725228 
4100043967 43543948 19713130 
4200004608 45239692 20710555 
4300006879 46950903 21708887 
4400005281 48639654 22687875 
4500003856 50364299 23715334 
4600004657 52180545 24789892 
4700006535 53872617 25817993 
4800004350 55667026 26907945 
4900018545 57540631 28023322 
5000014563 59216271 29071120 
5100005485 61086684 30211637 
5200003612 62973061 31383443 
5300003523 64832796 32540984 
5400007773 66700853 33740487 
5500011102 68609317 34930327 
5600014541 70524569 36115354 
5700003700 72448365 37330682 
5800011412 74434511 38575103 
5900018557 76308732 39766145 
6000006553 78308071 41044099 
6100003636 80308884 42334136 
6200013695 82233981 43593561 
6300013768 84252894 44888423 
6400014335 86369876 46271040 
6500004667 88429850 47619777 
6600004081 90409723 48922216 
6700003334 92458247 50283540 
6800011613 94401828 51600612 
6900003880 96403507 52945257 
7000003714 98370291 54289389 
7100004370 100488376 55693256 
7200009230 102503113 57026936 
7300003705 104587013 58457441 
7400016409 106728213 59892649 
7500003706 108855371 61336554 
7600007430 111029555 62811618 
7700010596 113214749 64299345 
7800004337 115419529 65797579 
7900008131 117617283 67327656 
8000003896 119839655 68860154 
8100004216 122103313 70428285 
8200005016 124255424 71947797 
8300004350 126472787 73485019 
8400003550 128724204 74940701 
8500012997 130864716 76439647 
8600003733 133067708 77989928 
8700004092 135143555 79441513 
8800009470 137274908 80954721 
8900004913 139585735 82567679 
9000013019 141848937 84167910 
9100003732 143950708 85653305 
9200031447 146074499 87198423 
9300044878 148244481 88758934 
9400003720 150456419 90317437 
9500003717 152709754 91932501 
9600005728 154959327 93571928 
9700021187 157179977 95179941 
9800003524 159357782 96771979 
9900004484 161510462 98328958 
10000004879 163898187 100076786 
10100003712 166295636 101820456 
10200019651 168564286 103491763 
10300004336 170849292 105196780 
10400003241 173058351 106808105 
10500003896 175483160 108609530 
10600010043 177820893 110317710 
10700004731 180027071 111982810 
10800003861 182288043 113676952 
10900003486 184636054 115399167 
11000003712 186837331 117065958 
11100002954 189101371 118773813 
11200003522 191387955 120494395 
11300003597 193748698 122278111 
11400005336 196073290 124020377 
11500003580 198418616 125807149 
11600003673 200687633 127533625 
11700005011 202997811 129286291 
11800003794 205285302 131028772 
11900003662 207675358 132856899 
12000002466 210158967 134768366 
12100014315 212581403 136580052 
12200003170 214985718 138429921 
12300003089 217428055 140282708 
12400003335 219811510 142103993 
12500017636 222220580 143957396 
12600006284 224692866 145858890 
12700003849 226986559 147639706 
12800003346 229328206 149454753 
12900003923 231892866 151441358 
13000003341 234335926 153337263 
13100005889 236792517 155238025 
