#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100013294 46075 16451 
200021241 61603 23985 
300019691 67045 26179 
400021014 68301 26661 
500011433 136646 88637 
600011400 190436 133360 
700013094 245448 176908 
800013676 300051 218753 
900009275 355075 261845 
1000011064 408705 305439 
1100000051 460289 347362 
1200011947 512975 390572 
1300013683 564885 433499 
1400013375 617678 476730 
1500017026 666974 516848 
1600019524 715417 556688 
1700018802 763848 596361 
1800016720 811838 635752 
1900017786 860456 675401 
2000017952 909045 714959 
2100017549 958628 755735 
2200007947 1006645 794855 
2300019574 1055055 834304 
2400018692 1103337 874160 
2500018122 1152486 914491 
2600020707 1201373 954217 
2700017153 1249685 993492 
2800016538 1299079 1033853 
2900015710 1347365 1073646 
3000018110 1396140 1113662 
3100019401 1444985 1153265 
3200017092 1492616 1192021 
3300017651 1541871 1232076 
3400015957 1590389 1271825 
3500018363 1640634 1312656 
3600019668 1688526 1351654 
3700008466 1737260 1391154 
3800016129 1787292 1431745 
3900018107 1835998 1471278 
4000012695 1886258 1512321 
4100014682 1934663 1551766 
4200010525 1979444 1590767 
4300037433 1994909 1604943 
4400036277 2011689 1619851 
4500036545 2028627 1635404 
4600038262 2047919 1650594 
4700036679 2060095 1661505 
4800020737 2072482 1672494 
4900036970 2085041 1683699 
5000036463 2103129 1697420 
5100307815 2115681 1708825 
5200028791 2128047 1720033 
5300032447 2140251 1731045 
5400027983 2162007 1747907 
5500017202 2291818 1843998 
5600014475 2449903 1986786 
5700014565 2610288 2120427 
5800015256 2768317 2261513 
5900014432 2927942 2392893 
6000015624 3086270 2534034 
6100013671 3245983 2664991 
6200017721 3413545 2807089 
6300016490 3565797 2936813 
6400012434 3725856 3068272 
6500019124 3884038 3208212 
6600016234 4043348 3339919 
6700014336 4201649 3480098 
6800016293 4361343 3612131 
6900013753 4519563 3751837 
7000015225 4681277 3884721 
7100018609 4839422 4024972 
7200017141 4999834 4156579 
7300013971 5158121 4296352 
7400016337 5319029 4427400 
7500013671 5477146 4567785 
7600015127 5637778 4698976 
7700013201 5795879 4839377 
7800020616 5955908 4969311 
7900005329 6118228 5112193 
8000016689 6274509 5240818 
8100019002 6436022 5377264 
8200018326 6593695 5511939 
8300015095 6753992 5643201 
8400016184 6912119 5782096 
8500017980 7073119 5914940 
8600016249 7231346 6054237 
8700016111 7391051 6185438 
8800015304 7549379 6325001 
8900015084 7710249 6457463 
9000014522 7868135 6597290 
9100016912 8029334 6729273 
9200016817 8187390 6869437 
9300015339 8347829 7001465 
9400015824 8506137 7142144 
9500015132 8666892 7273706 
9600010533 8825889 7415044 
9700015076 8985329 7545785 
9800019778 9149628 7685111 
9900012380 9305339 7818545 
10000014063 9465568 7949697 
10100013380 9623799 8089199 
10200014224 9784142 8221719 
10300018713 9942309 8360985 
10400015570 10101890 8491520 
10500011341 10260059 8631364 
10600013921 10421390 8763584 
10700012979 10579420 8904022 
10800019668 10740842 9035806 
10900018452 10899005 9176000 
11000014180 11060222 9307475 
11100019015 11218355 9448053 
11200016759 11378346 9578079 
11300018339 11536568 9719273 
11400012965 11697380 9850624 
11500016971 11866033 9993362 
11600014247 12017324 10123089 
11700015172 12178196 10255709 
11800015528 12336299 10394814 
11900017939 12497262 10527604 
12000014087 12655747 10667372 
12100016589 12816376 10799298 
12200018830 12974506 10939170 
12300015951 13136622 11071942 
12400018410 13294559 11212081 
12500016588 13455994 11344038 
12600014418 13614159 11484281 
12700012215 13775448 11615699 
12800015992 13933555 11756303 
12900015193 14093683 11887120 
13000009571 14253937 12029572 
13100014517 14412557 12159561 
13200019547 14575306 12296306 
13300013430 14733467 12431601 
13400011369 14897246 12565748 
13500016503 15055323 12705295 
