#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100030845 272742538 192982 4814 
200006908 354889707 209105 4846 
300006395 430612858 238455 4852 
400001076 506651072 269332 4880 
500011164 583186672 303579 4884 
600010967 658858920 331477 4914 
700017420 733772517 361484 8641 
800018152 801735105 405913 50443 
900017280 867631319 442320 84356 
1000018530 934448612 479521 119177 
1100018465 1002185572 519150 156032 
1200013014 1074254966 553235 179085 
1300004748 1160551477 582483 179232 
1400019863 1221421372 592974 183399 
1500010410 1292869197 626070 188854 
1600010611 1389692667 630067 192489 
1700010789 1476954123 635186 196550 
1800010952 1568120723 639915 201030 
1900011077 1664835790 643882 204645 
2000010846 1746594455 647659 208233 
2100021202 1840692000 651202 211536 
2200009667 1934663495 656475 216493 
2300011557 2021260085 658914 218817 
2400015186 2103328709 669944 229814 
2500015750 2172658867 701859 261655 
2600015609 2240107966 733431 293181 
2700015659 2309452669 765019 324681 
2800015889 2377255974 796110 355709 
2900015798 2446286982 827039 386586 
3000009616 2514068521 866108 423154 
3100011805 2579212626 901779 456206 
3200014242 2644897399 938148 490230 
3300013195 2711780980 975634 525064 
3400013111 2780259059 1017100 564037 
3500014129 2862799964 1041338 583657 
3600019301 2927617300 1054754 596951 
3700007040 2985527767 1084333 611613 
3800010740 3081104756 1102264 620966 
3900010352 3168494266 1117503 626779 
4000015508 3263687632 1123546 632293 
4100009665 3355572586 1128403 636923 
4200010285 3436022056 1132020 640434 
4300011014 3532449229 1138172 646086 
4400010706 3623001752 1143583 651247 
4500011858 3708963569 1145916 653389 
4600013733 3799600424 1148867 656319 
4700038228 3843432667 1162478 669888 
4800039194 3870975677 1162879 670287 
4900033160 3899389515 1164173 671571 
5000037897 3927216334 1165142 672537 
5100014668 3954184323 1165583 672978 
5200033692 3981157690 1166202 673583 
5300044256 4008308578 1166867 674243 
5400046673 4034998660 1167319 674695 
5500039744 4061694661 1167531 674906 
5600037560 4088759362 1168012 675379 
5700035930 4115536530 1168402 675769 
5800045146 4142682989 1168887 676250 
5900039714 4170065177 1169607 676967 
6000034876 4197330693 1170432 677786 
6100039806 4224086307 1170958 678310 
6200037548 4251364843 1171434 678775 
6300034227 4278265242 1172086 679420 
6400035924 4305518723 1172417 679748 
6500045655 4332221286 1172799 680130 
6600029234 4359062870 1173271 680601 
6700013116 4386371432 1173766 681089 
6800038880 4413379662 1174410 681733 
6900037568 4440641454 1175022 682340 
7000040409 4468066127 1175980 683287 
7100036928 4495018372 1176338 683645 
7200037243 4522471444 1177194 684493 
7300038128 4549465434 1177646 684945 
7400036663 4576871449 1178141 685432 
7500029825 4603843480 1178583 685874 
7600037026 4631254118 1179128 686402 
7700044373 4658268472 1179704 686976 
7800032640 4685646697 1180222 687487 
7900043495 4712638514 1180709 687972 
8000043749 4740040369 1181295 688553 
8100039674 4767009659 1181679 688937 
8200012211 4794418703 1182302 689551 
8300038429 4821347230 1182563 689811 
8400040238 4848812348 1183262 690498 
8500045422 4875780611 1183696 690926 
8600033955 4903149044 1184441 691657 
8700014878 4930182474 1184940 692155 
8800039349 4957546405 1185725 692930 
8900037835 4984598194 1186204 693407 
9000046774 5011975623 1186832 694023 
9100037035 5039026284 1187294 694484 
9200039799 5066360962 1187900 695082 
9300038602 5093408414 1188485 695665 
9400037169 5120764678 1188986 696159 
9500033430 5148161333 1189820 696987 
9600033040 5175115604 1190110 697277 
9700034597 5202548691 1190995 698156 
9800037159 5229450884 1191381 698542 
9900039632 5256817166 1191903 699051 
10000041884 5283621841 1192309 699455 
10100369208 5310490589 1192625 699770 
10200040598 5337607110 1193085 700222 
10300044550 5364638740 1193518 700654 
10400039161 5391897560 1194197 701329 
10500032532 5418682769 1194500 701632 
10600045366 5445934340 1195207 702337 
10700037846 5473193294 1195710 702838 
10800045238 5500399097 1196567 703690 
10900037226 5527278170 1196979 704100 
11000037940 5554492100 1197521 704634 
11100040510 5580977999 1197936 705049 
11200038542 5608043457 1198415 705518 
11300030645 5634864087 1199093 706195 
11400036209 5661962963 1199708 706801 
11500045036 5688804308 1200205 707296 
11600033039 5716081058 1200774 707850 
11700037274 5743604039 1201593 708657 
11800045622 5772004421 1202501 709544 
11900037752 5799821433 1203452 710482 
12000014854 5850931406 1222692 729669 
12100039091 5892523063 1234436 741327 
12200036221 5920067629 1234893 741782 
12300036138 5948940295 1236481 743339 
12400036429 5976336049 1237213 744054 
12500037094 6003693910 1238044 744863 
12600040566 6030447495 1238392 745211 
12700042875 6057723365 1239176 745984 
12800037443 6084414758 1239493 746301 
12900046220 6111151891 1239870 746676 
13000037591 6138354267 1240389 747185 
13100044166 6165144452 1240714 747509 
13200038940 6192393801 1241215 747994 
13300035637 6219810003 1241637 748414 
13400036711 6247191660 1242459 749233 
13500037760 6273979256 1242685 749457 
13600044476 6301321503 1243243 750012 
13700036770 6328320457 1243625 750394 
