#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100026843 13896 8190 
200014750 17738 11444 
300008779 23491 15995 
400002728 30971 22059 
500010220 39019 29274 
600002740 43934 32994 
700018320 49827 37769 
800017991 64396 50296 
900013143 79000 62927 
1000016060 93747 75973 
1100010836 108156 88739 
1200013323 118802 97948 
1300005227 122738 101102 
1400018157 135770 111569 
1500010722 156222 129696 
1600010347 207754 180042 
1700011404 262824 234017 
1800011412 321995 291914 
1900011498 373259 341687 
2000010893 441690 408950 
2100017096 493189 459093 
2200009689 552451 517023 
2300009925 617447 581227 
2400014418 618819 582448 
2500013933 620567 583500 
2600015649 621734 584378 
2700015809 623497 585345 
2800016275 624780 586268 
2900015851 626475 587204 
3000017187 638610 597770 
3100015756 653325 610453 
3200011198 667806 623266 
3300011276 682713 636273 
3400013227 697515 649289 
3500013888 699495 650717 
3600018344 708819 657985 
3700008062 723314 669510 
3800014401 771054 716074 
3900010607 819202 763072 
4000015723 868168 810723 
4100009231 924947 866428 
4200009749 976526 917109 
4300011421 1027308 966372 
4400011035 1081897 1019783 
4500009682 1146643 1083496 
4600015566 1153082 1089723 
4700037522 1153656 1090104 
4800034645 1153670 1090115 
4900033417 1153736 1090139 
5000039277 1153776 1090161 
5100013464 1153790 1090169 
5200039289 1153819 1090180 
5300039095 1153845 1090195 
5400046131 1153859 1090204 
5500045642 1153870 1090212 
5600039507 1153913 1090233 
5700036461 1153930 1090241 
5800044544 1153957 1090255 
5900037404 1154001 1090275 
6000038281 1154061 1090291 
6100040545 1154070 1090294 
6200038958 1154084 1090305 
6300033993 1154173 1090330 
6400031825 1154195 1090340 
6500032966 1154274 1090351 
6600035467 1154286 1090357 
6700035254 1154359 1090370 
6800036220 1154375 1090377 
6900035014 1154439 1090397 
7000033035 1154465 1090409 
7100037846 1154502 1090414 
7200038132 1154531 1090426 
7300040781 1154561 1090433 
7400043659 1154589 1090445 
7500039209 1154623 1090452 
7600038074 1154649 1090465 
7700036448 1154678 1090471 
7800040613 1154697 1090481 
7900038482 1154736 1090486 
8000037048 1154756 1090498 
8100042695 1154802 1090511 
8200037694 1154822 1090520 
8300036255 1154862 1090527 
8400045411 1154892 1090543 
8500037613 1154921 1090546 
8600038293 1154955 1090562 
8700037653 1154992 1090569 
8800038250 1155018 1090579 
8900037455 1155029 1090584 
9000036135 1155080 1090598 
9100036872 1155097 1090608 
9200036393 1155165 1090628 
9300033825 1155180 1090637 
9400033191 1155233 1090647 
9500041704 1155257 1090662 
9600035190 1155298 1090671 
9700037695 1155326 1090686 
9800039378 1155372 1090694 
9900036877 1155408 1090712 
10000038180 1155474 1090723 
10100039158 1155490 1090729 
10200036429 1155502 1090736 
10300038620 1155571 1090745 
10400036091 1155606 1090757 
10500036551 1155637 1090764 
10600038124 1155654 1090777 
10700040720 1155701 1090791 
10800011818 1155724 1090808 
10900036475 1155743 1090814 
11000018962 1155770 1090831 
11100039528 1155780 1090837 
11200035162 1155797 1090847 
11300034041 1155806 1090851 
11400037048 1155843 1090868 
11500046123 1155851 1090873 
11600043259 1155875 1090884 
11700030887 1155924 1090906 
11800031603 1155963 1090929 
11900038817 1156004 1090949 
12000015325 1156652 1091419 
12100035438 1157190 1091777 
12200037971 1157228 1091795 
12300046474 1157300 1091834 
12400045906 1157343 1091852 
12500044842 1157380 1091872 
12600037301 1157402 1091885 
12700036871 1157423 1091899 
12800038707 1157443 1091906 
12900046260 1157451 1091913 
13000037794 1157487 1091930 
13100037676 1157503 1091937 
13200035210 1157532 1091955 
13300037672 1157580 1091975 
13400041566 1157640 1091997 
13500042906 1157654 1092007 
13600036705 1157784 1092071 
13700038306 1157869 1092098 
13800037250 1157906 1092128 
13900037378 1157980 1092141 
14000036416 1157992 1092151 
14100045563 1158072 1092184 
14200040366 1158119 1092220 
14300038613 1158176 1092239 
14400046399 1158227 1092276 
14500037105 1158271 1092291 
14600036409 1158323 1092328 
14700038509 1158364 1092345 
14800044715 1158414 1092379 
14900039456 1158469 1092396 
15000043062 1158514 1092426 
15100029818 1158553 1092445 
15200040289 1158590 1092476 
15300039012 1158643 1092491 
15400037784 1158689 1092524 
15500043686 1158730 1092540 
15600035624 1158788 1092567 
15700036359 1158829 1092581 
15800036483 1158904 1092620 
15900037320 1158931 1092633 
16000036006 1159001 1092666 
16100040834 1159030 1092684 
16200032771 1159105 1092726 
16300018514 1159123 1092742 
16400034176 1159190 1092771 
16500042906 1159206 1092787 
16600043362 1159267 1092819 
16700033938 1159304 1092847 
16800038354 1159339 1092859 
16900037132 1159382 1092893 
17000037235 1159421 1092909 
17100042251 1159474 1092947 
17200046051 1159529 1092966 
17300036532 1159581 1093001 
17400037326 1159656 1093015 
17500033766 1159669 1093025 
17600045645 1159706 1093051 
17700038707 1159797 1093071 
17800036626 1159865 1093105 
17900037364 1159891 1093118 
18000037597 1160036 1093183 
18100036744 1160090 1093209 
18200037585 1160130 1093238 
18300042002 1160157 1093250 
18400036645 1160211 1093285 
18500038784 1160219 1093292 
18600038762 1160261 1093325 
18700044620 1160282 1093340 
18800036437 1160328 1093375 
18900039250 1160348 1093389 
19000035789 1160402 1093426 
19100028534 1160476 1093475 
19200036074 1160554 1093532 
19300035710 1160632 1093589 
19400007949 1162327 1095007 
19500027905 1163255 1095707 
19600030207 1163318 1095744 
19700010195 1163432 1095809 
19800036253 1163500 1095842 
19900036477 1163556 1095880 
20000036980 1163613 1095911 
20100037835 1163629 1095925 
20200044879 1163655 1095939 
20300038692 1163711 1095978 
20400047273 1163737 1095991 
20500040786 1163778 1096017 
20600047001 1163843 1096058 
20700044877 1163918 1096100 
20800035620 1163956 1096118 
20900035922 1164030 1096153 
21000036447 1164072 1096168 
21100038987 1164092 1096177 
21200037739 1164194 1096198 
21300037823 1164233 1096215 
21400037380 1164311 1096222 
21500032607 1164357 1096241 
21600038218 1164406 1096254 
21700038425 1164443 1096272 
21800037871 1164494 1096290 
21900034027 1164519 1096304 
22000040926 1164572 1096317 
22100043061 1164599 1096330 
22200038018 1164769 1096367 
22300036117 1164839 1096382 
22400038269 1164901 1096394 
22500036494 1164925 1096408 
22600025259 1164987 1096416 
22700046094 1165016 1096433 
22800041434 1165066 1096447 
22900036055 1165110 1096463 
23000012299 1165158 1096473 
23100046225 1165209 1096493 
23200038807 1165253 1096505 
23300044375 1165303 1096520 
23400044983 1165336 1096530 
23500042372 1165391 1096546 
23600038145 1165412 1096556 
23700034317 1165458 1096565 
23800044010 1165473 1096574 
23900036975 1165522 1096592 
24000011101 1165549 1096604 
24100037727 1165597 1096619 
24200044507 1165635 1096634 
24300037984 1165677 1096644 
24400045670 1165712 1096661 
24500045328 1165777 1096672 
24600042560 1165801 1096682 
24700040895 1165891 1096700 
24800011190 1165914 1096708 
24900032203 1166017 1096729 
25000036559 1166036 1096735 
25100012725 1166099 1096754 
25200036791 1166152 1096764 
25300043427 1166186 1096784 
25400040013 1166260 1096797 
25500044580 1166286 1096815 
25600038130 1166334 1096829 
25700036834 1166376 1096846 
25800038428 1166390 1096854 
25900040976 1166418 1096863 
26000037092 1166440 1096873 
26100037169 1166462 1096885 
26200044065 1166478 1096896 
26300035469 1166513 1096915 
26400038986 1166536 1096929 
26500037246 1166606 1096969 
26600036294 1166647 1096990 
26700013452 1166683 1097014 
26800000107 1170647 1100593 
26900006896 1192095 1121155 
27000015103 1212943 1140884 
27100017666 1232825 1159764 
27200014002 1250729 1176566 
27300010543 1263086 1188190 
27400014124 1268454 1192377 
27500020901 1284412 1205567 
27600011004 1307378 1226239 
27700010813 1358909 1276677 
27800010514 1405765 1322400 
27900011153 1460053 1375504 
28000010926 1512154 1426063 
28100010118 1563755 1476766 
28200017018 1615003 1526583 
28300010809 1669884 1580307 
28400011642 1723398 1633228 
28500015735 1724695 1634302 
28600409519 1724824 1634367 
28700037825 1724843 1634377 
28800031527 1724874 1634391 
28900027281 1724915 1634413 
29000016110 1724954 1634435 
29100038711 1725001 1634451 
29200038778 1725047 1634480 
29300038201 1725096 1634501 
29400037782 1725122 1634513 
29500037773 1725142 1634520 
29600038131 1725160 1634536 
29700044013 1725231 1634564 
29800035244 1725295 1634584 
29900032990 1725318 1634595 
30000038999 1725393 1634614 
30100036898 1725401 1634618 
30200045736 1725503 1634642 
30300047370 1725517 1634649 
30400036018 1725587 1634661 
30500045636 1725629 1634677 
30600031483 1725729 1634702 
30700042165 1725817 1634721 
30800034333 1725903 1634732 
30900036265 1725966 1634749 
31000037412 1726038 1634769 
31100037835 1726090 1634787 
31200037679 1726295 1634856 
31300039710 1726359 1634879 
31400041715 1726417 1634895 
31500044213 1726479 1634921 
31600045559 1726553 1634942 
31700044268 1726639 1634962 
31800037718 1726700 1634982 
31900031052 1726782 1635000 
32000044777 1726851 1635014 
32100037242 1726932 1635029 
32200034152 1727008 1635048 
32300046051 1727089 1635067 
32400038268 1727120 1635083 
32500037653 1727233 1635101 
32600039053 1727320 1635111 
32700037019 1727341 1635121 
32800046245 1727414 1635130 
32900036444 1727432 1635139 
33000039075 1727450 1635146 
33100035008 1727504 1635152 
33200037715 1727529 1635165 
33300041492 1727569 1635180 
33400037956 1727597 1635199 
33500037362 1727622 1635214 
33600044962 1727638 1635222 
33700040925 1727673 1635234 
33800034645 1727712 1635252 
33900030410 1727751 1635270 
34000038144 1727776 1635285 
34100045587 1727822 1635301 
34200031781 1727863 1635321 
34300037037 1727878 1635332 
34400015714 1727986 1635383 
34500038140 1728942 1636063 
34600030585 1729049 1636114 
34700045295 1729063 1636123 
34800036662 1729107 1636142 
34900043948 1729151 1636165 
35000029275 1729197 1636192 
35100034766 1729240 1636219 
35200036200 1729297 1636250 
35300038806 1729322 1636259 
35400029650 1729350 1636276 
35500038473 1729377 1636290 
35600009385 1729434 1636319 
35700038423 1729499 1636344 
35800034266 1729528 1636357 
35900038711 1729554 1636371 
36000018361 1729621 1636387 
36100028487 1729645 1636402 
36200034654 1729732 1636419 
36300033411 1729751 1636431 
36400022940 1729832 1636446 
36500044789 1729871 1636461 
36600031456 1729959 1636488 
36700037863 1730063 1636510 
36800038036 1730157 1636532 
36900044437 1730221 1636550 
37000043703 1730291 1636563 
37100036559 1730359 1636581 
37200043315 1730427 1636598 
37300030592 1730513 1636622 
37400043804 1730600 1636647 
37500045581 1730678 1636670 
37600037215 1730751 1636694 
37700037290 1730821 1636718 
37800040821 1730862 1636737 
37900038134 1730960 1636761 
38000037158 1731124 1636805 
38100033166 1731221 1636830 
38200046737 1731307 1636852 
38300030725 1731388 1636864 
38400044000 1731473 1636882 
38500038892 1731510 1636898 
38600042400 1731582 1636907 
38700038543 1731606 1636921 
38800045101 1731674 1636928 
38900037556 1731685 1636936 
39000036194 1731716 1636947 
39100032982 1731767 1636951 
39200037958 1731805 1636973 
39300014317 1731863 1636992 
39400030407 1731883 1637003 
39500033824 1731916 1637026 
39600030104 1731948 1637043 
39700039473 1731991 1637067 
39800043117 1732004 1637076 
39900015824 1732043 1637095 
40000036796 1732075 1637116 
40100038576 1732123 1637138 
40200038210 1732168 1637163 
40300033202 1732178 1637169 
40400011050 1732576 1637444 
40500032893 1733416 1637981 
40600037513 1733473 1638002 
40700044908 1733529 1638016 
40800038699 1733571 1638038 
40900030754 1733619 1638059 
41000034849 1733668 1638081 
41100044805 1733708 1638099 
41200034651 1733778 1638127 
41300037144 1733814 1638146 
41400044626 1733838 1638160 
41500032307 1733887 1638186 
41600034171 1733918 1638196 
41700044730 1733994 1638234 
41800038551 1734069 1638261 
41900034742 1734119 1638284 
42000044133 1734140 1638297 
42100034473 1734248 1638330 
42200035680 1734273 1638341 
42300046791 1734378 1638358 
42400030161 1734407 1638373 
42500031754 1734540 1638392 
42600030243 1734646 1638423 
42700038070 1734717 1638444 
42800039336 1734810 1638469 
42900029705 1734883 1638489 
43000039180 1734972 1638510 
43100038674 1735061 1638529 
43200010964 1735131 1638545 
43300038002 1735182 1638567 
43400042792 1735268 1638593 
43500037121 1735371 1638610 
43600043504 1735478 1638633 
43700041723 1735572 1638661 
43800036946 1735660 1638692 
43900035843 1735727 1638713 
44000041920 1735809 1638731 
44100036554 1735896 1638752 
44200034396 1735997 1638772 
44300034227 1736073 1638787 
44400038704 1736143 1638802 
44500043882 1736264 1638822 
44600045353 1736298 1638839 
44700041369 1736414 1638849 
44800037366 1736443 1638869 
44900045769 1736541 1638886 
45000047038 1736560 1638898 
45100045556 1736643 1638915 
45200013153 1736661 1638923 
45300037152 1736703 1638939 
45400038271 1736731 1638956 
45500038015 1736748 1638964 
45600042113 1736792 1638980 
45700044659 1736837 1639005 
45800036479 1736888 1639028 
45900040555 1736925 1639048 
46000032049 1736977 1639070 
46100036956 1737018 1639086 
46200039276 1737037 1639094 
46300036874 1737097 1639125 
46400010350 1737753 1639536 
46500011861 1755656 1656635 
46600009131 1773925 1673983 
46700011327 1792030 1690883 
46800018248 1809859 1707568 
46900013342 1824484 1721251 
47000014920 1826999 1722816 
47100014106 1838942 1732364 
47200010705 1862164 1752978 
47300011108 1914087 1803771 
47400009805 1963540 1851943 
47500011677 2017780 1905056 
47600011892 2070107 1956168 
47700011412 2121600 2006871 
47800011412 2172352 2056400 
47900011082 2227522 2110525 
48000011194 2279083 2161145 
48100010421 2330167 2210918 
48200010832 2385323 2265045 
48300018718 2438186 2316893 
48400016173 2459748 2338136 
48500037477 2460186 2338469 
48600038381 2460211 2338480 
48700039048 2460243 2338494 
48800040092 2460263 2338504 
48900034017 2460289 2338520 
49000036893 2460329 2338537 
49100038686 2460345 2338545 
49200040916 2460370 2338559 
49300035305 2460393 2338566 
49400037543 2460398 2338568 
49500044939 2460424 2338579 
49600038526 2460431 2338583 
49700031922 2460464 2338600 
49800041948 2460478 2338609 
49900038189 2460498 2338618 
50000032188 2460511 2338627 
50100038641 2460536 2338641 
50200038193 2460546 2338649 
50300034615 2460563 2338662 
50400033724 2460578 2338668 
50500041631 2460582 2338671 
50600025341 2460605 2338683 
50700038573 2460619 2338692 
50800036454 2460672 2338711 
50900032677 2460691 2338719 
51000045439 2460761 2338744 
51100039722 2460780 2338753 
51200038037 2460847 2338775 
51300042177 2460874 2338790 
51400038825 2460993 2338821 
51500038556 2461104 2338840 
51600043339 2461125 2338848 
51700037431 2461229 2338857 
51800045954 2461245 2338866 
51900037957 2461257 2338872 
52000038223 2461336 2338882 
52100037811 2461357 2338891 
52200046342 2461367 2338900 
52300043320 2461457 2338909 
52400037621 2461473 2338919 
52500021548 2461544 2338925 
52600036097 2461556 2338932 
52700013697 2461569 2338940 
52800040872 2461647 2338954 
52900041381 2461661 2338966 
53000037380 2461726 2338978 
53100033505 2461734 2338986 
53200043196 2461786 2338997 
53300038045 2461799 2339001 
53400033823 2461809 2339008 
53500038943 2461862 2339015 
53600041782 2461877 2339027 
53700041960 2461936 2339038 
53800038002 2461947 2339048 
53900045734 2462003 2339058 
54000044255 2462014 2339063 
54100044827 2462035 2339073 
54200037331 2462092 2339081 
54300033029 2462100 2339088 
54400038862 2462176 2339097 
54500031246 2462188 2339107 
54600341887 2462241 2339115 
54700040064 2462257 2339126 
54800040849 2462298 2339130 
54900038164 2462359 2339140 
55000032378 2462371 2339150 
55100038077 2462431 2339161 
55200037969 2462445 2339171 
55300036044 2462522 2339179 
55400033723 2462534 2339188 
55500039124 2462566 2339196 
55600036093 2462818 2339246 
55700034619 2462832 2339253 
55800039532 2462911 2339264 
55900045839 2462935 2339271 
56000042914 2462947 2339279 
56100038485 2463055 2339289 
56200043672 2463066 2339294 
56300037984 2463156 2339311 
56400031523 2463192 2339328 
56500036973 2463292 2339346 
56600047733 2463344 2339357 
56700036805 2463360 2339364 
56800036753 2463383 2339377 
56900047602 2463451 2339386 
57000043768 2463468 2339396 
57100034964 2463501 2339410 
57200037185 2463531 2339426 
57300037776 2463545 2339432 
