# Regions based on: /home/agusnt/bin/pinplay/extras/pinplay/scripts/regions.py -f 0 --csv_region --bbv_file t.bb --region_file t.simpoints --weight_file t.weights 
# comment,thread-id,region-id,simulation-region-start-icount,simulation-region-end-icount,region-weight
# Region = 1 Slice = 3385 Icount = 1015500013900 Length = 300000002 Weight = 0.17467
cluster 0 from slice 3385,0,1,1015500013900,1015800013901,0.17467

# Region = 2 Slice = 6584 Icount = 1975200027831 Length = 300000001 Weight = 0.10682
cluster 1 from slice 6584,0,2,1975200027831,1975500027831,0.10682

# Region = 3 Slice = 5993 Icount = 1797900025428 Length = 300000005 Weight = 0.71851
cluster 2 from slice 5993,0,3,1797900025428,1798200025432,0.71851

# Total instructions in 3 regions = 900000008
# Total instructions in workload = 3387000047435
# Total slices in workload = 11290
