#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100024584 151370162 2415 66 
200013262 197695371 3482 1126 
300013536 256060290 3594 1238 
400014219 319740929 482430 458346 
500013154 382395262 985675 937709 
600012261 441843130 1455147 1384746 
700002088 501237773 1923277 1829860 
800012904 565012479 2444464 2326861 
900012768 628990941 2959791 2815421 
1000014891 688408024 3425185 3257560 
1100014639 755686749 3953255 3763475 
1200016327 826545852 4522444 4308851 
1300015528 899896324 5110566 4870211 
1400016132 966689512 5640765 5378623 
1500015455 1033510017 6168562 5882802 
1600015007 1104199437 6737035 6428075 
1700015706 1176811720 7320618 6985413 
1800015879 1244593496 7860294 7500625 
1900016239 1311416526 8388211 8004958 
2000013297 1381772623 8953321 8546623 
2100015200 1452758867 9519823 9088204 
2200014815 1521997483 10074836 9618566 
2300016527 1588785681 10604502 10125319 
2400015733 1655473942 11133024 10629976 
2500015737 1728229254 11721366 11193647 
2600002402 1799913372 12294977 11739734 
2700016360 1866228002 12822352 12243287 
2800016989 1933085430 13351590 12750668 
2900014940 2004570331 13926640 13302366 
3000015483 2077597246 14511501 13860112 
3100015884 2144087367 15039057 14366008 
3200014888 2210888300 15566311 14869732 
3300014748 2281558397 16133707 15414104 
3400016968 2354764185 16723025 15976243 
3500015988 2421881826 17255386 16484220 
3600012916 2488636944 17783626 16989200 
3700016722 2559207398 18350973 17533918 
3800012840 2631069799 18924726 18082627 
3900014910 2699548264 19470423 18604818 
4000013904 2766326766 19998740 19110501 
4100014649 2832707460 20525507 19614567 
4200012703 2906804316 21124217 20187077 
4300013524 2977146810 21688243 20724497 
4400012951 3043965746 22215933 21228600 
4500015017 3110326507 22743459 21734075 
4600016918 3182827301 23325834 22292307 
4700015843 3254705449 23904171 22844482 
4800014495 3321594276 24433908 23352138 
4900015904 3387966821 24960756 23855903 
5000015186 3459359290 25532644 24404235 
5100010335 3532126778 26119945 24964196 
5200017080 3599218501 26648950 25469659 
5300011302 3665693443 27176152 25973697 
