#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100070716 35341 24861 
200014943 204838 194207 
300016455 301765 289418 
400013840 314346 301146 
500016409 320956 306872 
600012509 326591 311870 
700015332 332173 316751 
800006064 339020 322787 
900016565 346178 329099 
1000015570 351789 334047 
1100014416 357383 338932 
1200014579 363945 344878 
1300014226 371450 351584 
1400014392 377277 356598 
1500015730 382884 361454 
1600014590 389266 367105 
1700014899 396286 373269 
1800014106 402100 378368 
1900014620 407732 383153 
2000012007 414090 388772 
2100014063 420780 394594 
2200016124 427101 400145 
2300017151 432732 405054 
2400014843 438287 409713 
2500002563 445341 416071 
2600004265 452126 421995 
2700015766 457737 426870 
2800013531 463501 431763 
2900015125 470473 438016 
3000011675 477734 444393 
3100013565 483405 449349 
3200015979 489187 454406 
3300014444 495755 460262 
3400016567 502960 466616 
3500015398 508711 471521 
3600014918 514161 476219 
3700014170 520604 481799 
3800009904 527500 487904 
3900016301 533717 493307 
4000015676 539386 498365 
4100014207 544998 503192 
4200015435 552211 509569 
4300056970 558825 515371 
4400016364 564255 520063 
4500011649 569730 524661 
4600016531 576634 530743 
4700013872 583678 536897 
4800016153 589278 541789 
4900016497 594863 546680 
5000013875 601390 552490 
5100008074 608519 558747 
5200013586 614113 563670 
5300015923 619669 568434 
5400009651 626106 574144 
5500015020 633306 580490 
5600014160 639376 585758 
5700013441 644967 590723 
5800013745 651558 596508 
5900015104 658185 602323 
6000017294 664504 607895 
6100016289 670104 612643 
6200014458 675648 617434 
6300012099 683036 623936 
6400016055 689865 630022 
6500017303 695417 634967 
6600015205 701030 639833 
6700015111 707735 645836 
6800015253 714840 652013 
6900015843 720370 656828 
7000015656 725907 661490 
7100015895 732603 667513 
7200013954 740111 674152 
7300014809 746173 679552 
7400014024 751982 684584 
7500017140 758716 690516 
7600016339 765664 696539 
7700012184 790018 720211 
7800012134 816344 745903 
7900009272 842661 771528 
8000010553 877013 805047 
8100015660 885216 812391 
8200014594 890744 817032 
8300015397 896324 821803 
8400015065 903043 827801 
8500013817 910125 833968 
8600015994 915715 838770 
8700014874 921289 843430 
8800015018 927979 849410 
8900014178 935136 855724 
9000015001 940779 860643 
9100016234 946375 865460 
9200016191 952859 871180 
9300004558 959971 877497 
9400015915 965863 882657 
9500015062 971473 887503 
9600015540 977954 893194 
9700015124 984511 898940 
9800011385 996830 910410 
9900011967 1023142 936038 
10000011168 1049603 961878 
10100010427 1062791 974232 
10200016311 1070028 980681 
10300015574 1075637 985445 
10400014310 1081161 990208 
10500015215 1087842 996195 
10600015114 1094990 1002485 
10700014854 1100686 1007461 
10800015939 1106362 1012417 
10900013970 1112841 1018198 
11000014341 1119935 1024415 
11100015314 1125567 1029388 
11200016436 1131148 1034193 
11300015303 1137545 1039800 
11400015713 1144593 1046061 
11500014690 1150755 1051410 
11600015511 1156339 1056413 
11700002211 1161982 1061259 
11800014011 1169179 1067712 
11900015283 1175652 1073405 
12000014313 1181148 1078078 
12100016743 1186726 1082906 
12200016201 1193554 1088945 
12300016904 1200489 1095061 
12400012648 1206239 1100143 
12500014252 1212034 1105227 
12600014673 1218632 1111086 
12700015922 1225827 1117340 
12800014312 1231365 1122178 
12900016063 1236911 1126987 
13000015693 1243342 1132692 
13100015361 1250433 1138850 
13200014992 1256407 1143906 
13300015486 1262096 1148798 
13400008896 1271859 1157872 
13500009168 1301570 1186775 
13600008264 1330031 1214515 
13700011651 1356351 1240240 
13800012829 1370473 1253735 
13900013405 1377582 1260035 
14000016483 1384419 1266046 
14100014772 1389926 1270912 
14200016053 1395461 1275702 
14300012267 1402154 1281594 
14400016402 1409377 1287985 
14500015791 1414919 1292800 
14600016255 1420462 1297545 
14700012086 1426823 1303063 
14800014658 1434006 1309399 
14900015952 1439605 1314273 
15000014327 1445347 1319321 
15100016882 1452036 1325195 
15200014035 1459055 1331294 
15300015994 1465159 1336695 
15400014647 1470663 1341428 
15500014663 1476203 1346280 
15600015136 1483521 1352811 
15700014673 1490040 1358470 
15800014288 1495609 1363341 
15900014364 1501174 1368192 
16000015696 1507942 1374208 
16100014386 1514870 1380270 
16200014514 1520477 1385112 
16300016006 1526072 1389857 
16400015686 1532559 1395628 
16500015136 1539803 1402021 
16600014363 1545376 1406818 
16700016469 1550896 1411608 
16800014760 1557335 1417298 
16900013843 1564314 1423379 
17000011773 1570564 1428942 
17100013034 1576447 1434117 
17200095013 1583283 1440265 
17300001541 1591816 1447975 
17400013706 1607787 1463221 
17500015240 1613405 1468106 
17600015192 1618946 1472919 
17700014258 1625905 1479104 
17800015981 1632567 1484910 
17900013234 1638204 1489700 
18000112700 1643980 1494702 
18100016912 1650654 1500650 
18200015596 1657735 1506900 
18300015493 1663351 1511792 
18400015868 1668965 1516688 
18500015716 1675446 1522526 
18600013103 1682571 1528643 
18700014298 1688241 1533618 
18800015138 1693927 1538483 
18900014933 1700474 1544284 
19000008414 1707506 1550516 
19100016029 1713640 1555869 
19200014879 1719263 1560853 
19300016057 1724860 1565671 
19400016574 1732159 1572089 
19500013430 1738732 1577934 
19600015008 1744217 1582645 
19700015893 1749734 1587507 
19800008345 1756781 1593689 
19900015669 1763740 1599787 
20000015756 1769189 1604582 
20100015806 1774743 1609440 
20200012725 1781236 1615175 
20300010755 1788421 1621332 
20400014552 1794240 1626356 
20500015799 1799911 1631258 
20600016599 1806474 1637015 
20700015357 1813506 1643299 
20800014443 1819298 1648383 
20900015045 1824796 1653189 
21000015475 1831325 1658922 
21100016374 1838065 1664979 
21200013130 1844222 1670383 
21300014082 1849746 1675073 
21400015545 1855430 1680025 
21500014156 1862594 1686421 
21600002378 1869407 1692466 
21700015019 1874971 1697325 
21800014028 1880437 1702062 
21900014933 1887173 1708050 
22000015530 1894255 1714261 
22100013688 1899983 1719361 
22200013423 1905632 1724127 
22300015848 1912209 1729949 
22400014841 1919472 1736347 
22500014712 1925149 1741386 
22600014163 1930649 1746148 
22700012861 1937079 1751812 
22800016080 1943890 1757759 
22900015011 1949977 1763162 
23000012465 1968188 1780712 
23100097731 1994604 1806470 
23200008880 2029209 1840192 
23300011638 2037091 1847322 
23400015911 2042736 1852294 
23500015841 2048310 1857148 
23600014632 2054950 1863016 
23700015333 2061871 1869031 
23800015654 2067485 1873817 
23900016636 2073010 1878543 
24000011161 2079469 1884297 
24100015487 2086664 1890710 
24200014837 2092228 1895643 
24300014466 2097734 1900554 
24400013038 2104289 1906316 
