#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100025879 49062344 4324 662 
200007973 96692870 9355 1499 
300010894 147103688 17229 3371 
400009389 200600675 27317 6506 
500013088 258551205 38770 10625 
600019619 319565513 50192 14922 
700014994 385002317 62356 19800 
800004606 454525329 74967 24943 
900006911 521998390 87419 29921 
1000007758 596956146 100076 35242 
1100015782 668610945 112826 40607 
1200017779 746278985 126532 46713 
1300004399 824624206 140884 53040 
1400008638 906094636 154788 59221 
1500011884 989647671 169806 66190 
1600003492 1077532726 184815 73210 
1700012903 1162599715 199333 79792 
1800004798 1253414829 213773 86474 
1900005534 1347630566 228658 93409 
2000004404 1443096986 243258 100329 
2100003994 1540019303 258225 107152 
2200004173 1637073966 273499 114145 
2300008653 1739934649 289119 121600 
2400004605 1844867880 303617 128280 
2500006439 1967617334 319661 135706 
2600005583 2093258658 335789 143527 
2700003779 2223842769 353022 151717 
2800003774 2355167817 368954 158951 
2900024878 2488191294 386018 167334 
3000004453 2627762401 403088 175807 
3100007298 2768821792 419763 183939 
3200005328 2911656104 437129 192628 
3300004087 3051185075 454222 201028 
3400005327 3199040920 471634 209664 
3500004410 3345814160 489556 218775 
3600005234 3492563942 506727 227362 
3700004829 3647038064 523304 235774 
3800004848 3798627726 539582 244302 
3900020429 3952755888 556108 253106 
4000019756 4104376786 573732 262745 
4100002279 4253138514 590631 271453 
4200004229 4405063317 607029 280255 
4300004201 4562640337 623229 288633 
4400021868 4717074630 638831 296988 
4500020090 4876063316 655164 305825 
4600006006 5027573588 671943 314930 
4700005302 5195806004 687730 323697 
4800003577 5361499786 703228 332395 
4900005943 5528394273 719625 341535 
5000006702 5698395220 735673 350939 
5100004454 5864869011 751281 360002 
5200005509 6032682798 766982 368848 
5300003897 6198924626 782945 377960 
5400005451 6370054519 798704 387070 
5500004533 6537594703 813951 395875 
5600004163 6713094506 829707 405060 
5700005518 6881857423 845484 414018 
5800006210 7057214748 860258 422322 
5900004320 7235639642 876088 431401 
6000005168 7416535810 891379 440345 
6100003764 7590141680 906527 449179 
6200004220 7772510100 920990 457657 
6300019631 7948973632 935463 466236 
6400016041 8125893775 949621 474371 
6500003668 8301595937 964066 482932 
6600004943 8483255565 978830 491745 
6700003470 8657380766 992670 500316 
6800004616 8844611697 1007043 508973 
6900015275 9029855906 1021561 517561 
7000004097 9217042029 1035783 526293 
7100004447 9404823623 1050378 534827 
7200005271 9593679972 1064336 543082 
7300019904 9785438471 1078123 551202 
7400003995 9982068369 1091694 558879 
7500003489 10173201067 1105723 566900 
7600003790 10367170965 1119547 575056 
7700019457 10561734833 1133146 583590 
7800002079 10750562891 1146371 591609 
7900005365 10935558247 1160913 600001 
8000000432 11129548824 1174366 607897 
8100003944 11324591556 1187109 615811 
8200005986 11516571110 1199592 623175 
8300005186 11713150202 1213009 630668 
8400003462 11906236236 1226107 638391 
8500021691 12093196642 1239431 646056 
8600020319 12288739291 1251849 653228 
8700003250 12484884859 1265178 660680 
8800002223 12686320358 1277838 668328 
8900004081 12886530537 1290627 675316 
9000003862 13087470915 1303131 682288 
9100004919 13284882532 1315975 689913 
9200004310 13479129767 1328553 697323 
9300004814 13691559951 1341015 704542 
9400004144 13899814560 1353023 711350 
9500011880 14105244584 1365056 718125 
9600019774 14305086367 1376843 724727 
9700015648 14512218568 1388635 731537 
9800005288 14724765939 1400604 738628 
9900010620 14925292644 1413419 746154 
10000004085 15130288291 1425709 753576 
10100004696 15340392861 1438674 761441 
10200003292 15543987111 1450182 767825 
10300005402 15746924853 1462401 774894 
10400004143 15948315573 1474417 781698 
10500007221 16155302405 1486165 788554 
10600003333 16366610504 1497917 795437 
10700019171 16574952466 1509871 801599 
10800024324 16778255622 1521989 808316 
10900005698 16990910849 1533930 815142 
11000003670 17199519600 1545337 822082 
11100003659 17420146434 1556639 828758 
11200003711 17636932527 1567645 835057 
11300003356 17851278391 1580113 842721 
11400003795 18068105970 1590767 848505 
11500003683 18281365219 1602152 854954 
11600003160 18497547007 1612977 860871 
11700003505 18713645183 1625252 867488 
11800003897 18927371910 1636597 873583 
11900004599 19139837904 1647565 879522 
12000004206 19369637172 1658135 885477 
12100003699 19589087298 1668995 891588 
12200004217 19807015740 1680036 897924 
12300005818 20024823405 1690715 903971 
12400004033 20242782210 1701541 909738 
12500015100 20457079116 1712367 915588 
12600004642 20674295703 1723297 921284 
12700003250 20906914047 1734476 927634 
12800003806 21131478501 1745386 933600 
12900003443 21348433957 1756453 939484 
13000003170 21575082775 1767365 945072 
13100003330 21801039463 1778226 950841 
13200005679 22023530806 1788601 956360 
13300003965 22245182278 1798856 962146 
13400003869 22475382603 1809708 968461 
13500004633 22691820890 1821167 974797 
13600015961 22912480962 1832621 980812 
13700003104 23145209449 1843201 986556 
13800002228 23376128244 1853948 992117 
13900005569 23600831392 1864611 997616 
14000003648 23824775732 1875405 1003360 
14100003802 24058170676 1885955 1008881 
14200005536 24290672953 1896433 1014438 
14300005029 24526390816 1906789 1019671 
14400003304 24753764606 1916879 1025180 
14500003719 24986194632 1926913 1030483 
14600003516 25220113665 1937429 1036092 
14700003788 25448233164 1948397 1042075 
14800016569 25683156309 1958600 1047228 
14900003518 25909303108 1968752 1052419 
15000004356 26143173746 1979703 1057796 
15100013653 26373073805 1990672 1063155 
15200002949 26609882788 2000040 1067541 
15300005284 26835870556 2009989 1072290 
15400005909 27065656622 2020327 1077412 
15500003697 27308217190 2030475 1082309 
15600002992 27546736273 2040667 1087082 
15700003322 27780574152 2050700 1092035 
15800003416 28021133682 2060934 1097291 
15900003236 28255470508 2070566 1102354 
16000003665 28495843378 2080153 1107264 
16100003927 28730603049 2090414 1112830 
16200004710 28966537127 2100956 1118237 
16300003650 29202622422 2111109 1123510 
16400003348 29447812232 2120209 1128135 
16500003601 29683813550 2130084 1132718 
16600003355 29914680116 2140515 1137647 
16700005488 30153134008 2150224 1142285 
16800004643 30396692711 2160010 1147136 
16900003206 30635066159 2169848 1152160 
17000003480 30872216584 2180003 1157222 
17100023662 31108148682 2189920 1162131 
17200003273 31344578705 2199393 1166960 
17300003180 31584552811 2208981 1172000 
17400003274 31815093217 2219234 1177420 
17500017613 32055165800 2228474 1181954 
17600004007 32299827585 2237886 1186794 
17700018207 32543977759 2247205 1190966 
17800003269 32785525573 2257194 1195880 
17900003373 33022355221 2266747 1200250 
18000003507 33271684022 2275665 1204008 
18100003863 33524613337 2284533 1208321 
18200003189 33764313405 2293943 1213579 
18300003477 34006505580 2302852 1218025 
18400003560 34249185262 2312237 1222770 
18500002488 34480810116 2321708 1227676 
18600003554 34714445252 2331313 1232448 
18700003859 34965530338 2340659 1236613 
18800003407 35200279489 2349769 1240895 
18900003582 35449702408 2359186 1245635 
19000019403 35694336436 2368535 1250161 
19100009727 35932475169 2377386 1254386 
19200003745 36176910607 2385849 1257830 
19300006244 36423616960 2395463 1262022 
19400003510 36685764812 2404379 1266124 
19500003353 36934003784 2412876 1270921 
19600003511 37183015016 2422263 1275509 
