#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100392804 33028 2852 
200033072 82091 6398 
300035478 129095 10357 
400006233 181233 14769 
500049975 227196 18713 
600039381 274952 22953 
700039916 328057 27022 
800021599 374618 31123 
900052893 420396 35297 
1000034243 467540 39881 
1100030443 472812 43896 
1200037055 477147 47903 
1300037639 482083 50026 
1400032182 491959 54574 
1500035651 496670 56772 
1600036936 501113 58660 
1700033899 505363 60005 
1800036172 509784 63575 
1900034771 514914 66559 
2000034791 518767 68325 
2100035770 522101 69996 
2200036855 526597 72670 
2300035266 530912 74444 
2400034820 535147 75475 
2500035952 540513 79484 
2600031961 545947 82587 
2700034825 550379 84486 
2800034150 554821 87712 
2900034726 560248 89016 
3000034835 564454 90780 
3100034908 570001 94028 
3200037026 574932 97684 
3300033629 579529 99701 
3400033043 584918 101899 
3500034713 590058 103658 
3600034324 594872 105930 
3700033734 600078 110228 
3800035235 605104 112900 
3900034149 609391 114485 
4000034759 615650 117319 
4100035115 620448 119016 
4200034779 625438 122374 
4300032299 630578 125908 
4400033859 636051 128760 
4500033819 641551 131005 
4600033833 646660 132748 
4700034827 651344 134438 
4800033027 656590 139058 
4900033910 661578 141773 
5000034982 666156 143542 
5100035177 672338 146389 
5200033263 677424 148167 
5300032308 681864 150808 
5400035517 687000 154579 
5500035791 692150 157137 
5600036262 697204 159055 
5700034636 702902 161325 
5800034523 707632 163025 
5900043961 712233 166790 
6000038736 716949 169223 
6100033312 721452 170859 
6200035851 727501 173044 
6300035117 732316 174683 
6400032166 736467 176872 
6500036964 739693 179252 
6600035093 743706 182143 
6700036624 748222 185420 
6800032354 753027 187891 
6900035997 757541 189528 
7000036323 763161 193316 
7100032803 771184 198351 
7200031008 776067 200462 
7300038100 778788 201533 
7400035833 788708 202366 
7500035820 796184 204298 
7600035613 806905 205480 
7700035108 815852 207761 
7800031630 825673 209916 
7900033520 835756 212327 
8000035679 843886 215272 
8100035789 854805 218313 
8200031770 861787 221361 
8300392366 873465 225792 
8400033675 881107 229274 
8500035243 892451 234345 
8600032392 901434 238559 
8700032073 911158 243672 
8800037217 919260 247957 
8900036611 931191 253624 
9000014166 936132 256233 
9100028976 937505 257477 
9200026480 938907 258742 
9300025899 940161 259876 
9400036126 953239 262943 
9500034539 957108 265247 
9600035796 966777 268260 
9700016198 975736 272799 
9800021287 984800 278720 
9900038312 998924 284986 
10000019974 1012231 290999 
10100020861 1022456 296884 
10200020722 1044085 305415 
10300040708 1072804 315858 
10400030291 1080867 319953 
10500037607 1084963 322612 
10600032526 1088948 323658 
10700034559 1093625 326269 
10800034877 1098242 327640 
10900033457 1102279 328575 
11000036750 1108153 332640 
11100033566 1117498 337481 
11200035671 1124597 340070 
11300036072 1132733 344769 
11400033072 1139745 349898 
11500022207 1146612 354601 
11600026471 1153209 359091 
11700049631 1172320 366227 
11800003422 1183645 372443 
11900037530 1203093 379882 
12000018121 1213865 385690 
12100025195 1235821 394301 
12200029482 1256146 402408 
12300033422 1260635 405816 
12400037193 1269908 410744 
12500033491 1275493 414241 
12600034916 1279090 415445 
12700035799 1283157 416909 
12800033335 1287334 417682 
12900034047 1292796 420579 
13000035802 1299344 421912 
13100032029 1309819 428271 
13200036075 1320049 429979 
13300035499 1332638 434647 
13400016264 1337356 438119 
13500036001 1342717 442204 
13600000071 1357448 446871 
13700074136 1365719 452527 
13800020956 1384739 460663 
13900020462 1406177 470272 
14000033416 1423454 476421 
14100033547 1428072 478662 
14200038697 1431200 479944 
14300035683 1435389 481334 
14400036458 1440448 483380 
14500040009 1446613 484560 
14600033689 1451075 487159 
14700035854 1455901 487633 
14800033822 1467155 494798 
14900037397 1476475 497209 
15000017178 1481654 500092 
15100028917 1483918 501955 
15200032500 1486227 503855 
15300032491 1488499 505717 
15400049572 1502616 509823 
15500021128 1509106 514304 
15600024209 1528304 522977 
15700021845 1548850 532175 
15800037007 1562875 535613 
15900034777 1568353 538537 
16000035901 1573891 542409 
16100035379 1582302 544975 
16200032389 1588660 547596 
16300036835 1593164 548546 
16400034831 1600324 553204 
16500034991 1609780 556786 
16600045612 1620644 562326 
16700015275 1623568 564748 
16800016596 1626661 567264 
16900022992 1630061 570169 
17000044232 1645414 575560 
17100034015 1657811 580806 
17200029827 1676973 588813 
17300031923 1698760 596054 
17400035352 1703986 600432 
17500033727 1709299 603267 
17600033843 1713707 604660 
17700033348 1720119 606626 
17800034910 1725084 607614 
17900035954 1732215 611743 
18000034659 1743309 616743 
18100036869 1750552 620244 
18200023492 1755865 623794 
18300033293 1758479 625965 
18400018276 1761390 628369 
18500027898 1769806 631552 
18600020471 1782475 637712 
18700020873 1798931 643783 
18800006665 1819055 651718 
18900031417 1838633 659070 
19000035045 1843941 663289 
19100035580 1849335 666225 
19200027328 1853821 667808 
19300033740 1860626 670058 
19400032263 1865529 670930 
19500037059 1874405 677350 
19600035770 1885942 682164 
19700036589 1893695 686178 
19800029757 1896500 688497 
19900022559 1899239 690723 
20000024596 1902570 693499 
20100035287 1918065 699607 
20200039855 1927246 706308 
20300019865 1946697 715213 
20400019949 1967675 724267 
20500035977 1984308 730301 
20600034585 1989545 734202 
20700034358 1994546 736468 
20800030017 2000341 738588 
20900034674 2005360 739706 
21000016556 2009469 740275 
21100034879 2021534 748421 
21200036069 2029528 751732 
21300036681 2034838 754956 
21400028416 2037858 757362 
21500033074 2041838 760645 
21600021204 2059343 767536 
21700039669 2068786 774647 
21800020622 2090048 784057 
21900019341 2112869 794479 
22000034886 2128709 800343 
22100034903 2133790 803906 
22200034083 2138446 805951 
22300033486 2144574 808227 
22400035075 2149508 809237 
22500037312 2155726 811940 
22600031633 2166585 818112 
22700036006 2174136 821831 
22800040153 2181080 826275 
22900020158 2188787 831818 
23000038304 2207903 840153 
23100021538 2218326 848053 
23200018167 2239916 858096 
23300021130 2261479 868085 
23400035305 2278894 874326 
23500033021 2290015 880571 
23600036040 2294969 883744 
23700036159 2300267 886292 
23800033732 2304878 888274 
23900035941 2308836 889719 
24000033662 2312710 891862 
24100035510 2320172 893487 
24200036493 2327032 894708 
24300037345 2331522 895802 
24400032510 2339733 898267 
24500033906 2348981 902726 
24600031263 2353878 905372 
24700023647 2354778 906237 
24800026705 2355709 907106 
24900022027 2356651 907988 
25000027601 2357527 908837 
25100033777 2369915 911591 
25200033051 2374554 913034 
25300033710 2380526 913863 
25400035568 2386962 915279 
25500030584 2395870 919657 
25600043487 2401198 923853 
25700019550 2405245 927035 
