#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100083699 2390 687 
200027540 2549 710 
300024819 2804 782 
400025554 2850 794 
500022762 2927 828 
600025562 2996 862 
700023721 3072 902 
800022772 3153 947 
900023350 3238 996 
1000024460 3311 1042 
1100022958 3383 1090 
1200023878 3469 1146 
1300024236 3566 1204 
1400024075 3642 1253 
1500024319 3728 1305 
1600023712 3797 1353 
1700024638 3873 1401 
1800022736 3955 1464 
1900023877 4041 1526 
2000023718 4125 1583 
2100023700 4194 1628 
2200022906 4268 1679 
2300021819 4353 1739 
2400024050 4449 1804 
2500023592 4529 1864 
2600023987 4613 1913 
2700023677 4699 1972 
2800024174 4779 2022 
2900024213 4855 2069 
3000024088 4962 2129 
3100024224 5043 2180 
3200024383 5122 2230 
3300022887 5195 2281 
3400007004 5285 2330 
3500024191 5375 2392 
3600023874 5452 2448 
3700022951 5532 2506 
3800023919 5614 2571 
3900024105 5693 2622 
4000024605 5768 2674 
4100023764 5848 2726 
4200023048 5941 2793 
4300023633 6014 2849 
4400024673 6098 2911 
4500022268 6181 2965 
4600024704 6263 3022 
4700022058 6350 3079 
4800024351 6428 3129 
4900023877 6508 3190 
5000023894 6591 3238 
5100022896 6669 3295 
5200023635 6750 3348 
5300024053 6825 3400 
5400024566 6902 3457 
5500023991 6973 3508 
5600024174 7059 3565 
5700023339 7136 3619 
5800023727 7218 3677 
5900024606 7302 3739 
6000023749 7382 3786 
6100024072 7460 3833 
6200024079 7542 3886 
6300023252 7642 3953 
6400023999 7753 4027 
6500023224 7837 4083 
6600024175 7921 4136 
6700024266 7997 4194 
6800023241 8103 4271 
6900023131 8195 4326 
7000023637 8271 4379 
7100022916 8346 4427 
7200022097 8448 4486 
7300023205 8535 4552 
7400021122 8628 4612 
7500023940 8724 4671 
7600023818 8802 4724 
7700022486 8881 4774 
7800024291 8966 4830 
7900024363 9057 4892 
8000023725 9141 4954 
8100024337 9222 5009 
8200023715 9310 5068 
8300021571 9389 5124 
8400024068 9470 5180 
8500024345 9542 5231 
8600023948 9644 5292 
8700023753 9720 5344 
8800023592 9799 5401 
8900023071 9880 5458 
9000024022 9969 5524 
9100024534 10073 5592 
