#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100030287 167326608 9638 8933 
200017309 232573229 16423 15501 
300006691 297898394 23760 22544 
400016175 363284621 31435 29878 
500015996 429067907 39252 37303 
600016065 494955738 47070 44672 
700016519 561004395 54865 52059 
800018034 627077261 62661 59338 
900017030 693163818 70576 66760 
1000015411 759517271 78745 74321 
1100015869 825922083 86552 81468 
1200016997 892411433 94567 88808 
1300016400 959086675 102648 96237 
1400016554 1025586760 110804 103677 
1500016612 1091845465 118919 111226 
1600016281 1158162938 126872 118642 
1700016550 1224535889 134831 126024 
1800016608 1291137430 142972 133555 
1900009469 1357676534 150994 140916 
2000016151 1424344298 159210 148516 
2100011888 1490931565 167311 156023 
2200016769 1557485010 175397 163471 
2300016083 1624192236 183358 170808 
2400015112 1690840159 191472 178081 
2500017086 1757664517 199843 185669 
2600017888 1824492342 208126 193224 
2700016142 1891249726 216379 200767 
2800016675 1958109418 224705 208290 
2900016426 2024889266 233045 215850 
3000016395 2091683909 241436 223444 
3100015510 2158642352 249882 231124 
3200016439 2225474718 257981 238486 
3300016958 2292405349 266458 246107 
3400012143 2359340516 274940 253749 
3500016132 2426318083 283491 261413 
3600015278 2493427293 292012 268994 
3700016860 2560441764 300614 276659 
3800016475 2627440474 309216 284284 
3900016344 2694367668 317808 291947 
4000016738 2761417272 326427 299667 
4100015048 2828198697 335062 307354 
4200016123 2895136190 343461 314801 
4300016045 2962027276 352011 322402 
4400016834 3028823169 360384 329900 
4500016557 3095889382 368839 337403 
4600016500 3162903141 377213 344900 
4700016197 3230015655 385522 352332 
4800015156 3297073875 394129 359958 
4900013607 3364280985 402625 367485 
5000015780 3431479655 411199 375099 
5100016296 3498583827 419865 382770 
5200017697 3565559069 428473 390421 
5300016312 3632747649 436975 397931 
5400017023 3699867841 445692 405629 
5500016564 3766814272 454324 413206 
5600016929 3833722685 462821 420830 
5700016107 3900705709 471565 428549 
5800007880 3967719276 480018 435986 
5900015712 4034772422 488659 443617 
6000016546 4101819772 497360 451286 
6100016702 4168912376 506099 459016 
6200015462 4236052602 514584 466510 
6300016026 4303241469 523179 474041 
6400015687 4370432634 531807 481628 
6500017077 4437415813 540447 489233 
6600015980 4504288590 549051 496747 
6700016878 4571265731 557652 504183 
6800016143 4638132099 566457 511821 
6900015084 4705179838 575084 519383 
7000016427 4772555044 583670 526955 
7100016887 4839780080 592341 534580 
7200015683 4906878092 600860 542129 
7300015597 4974048697 609551 549736 
7400015858 5041117994 618361 557440 
7500012796 5108226012 627009 565052 
7600017150 5175358694 635635 572647 
7700014608 5242563241 644494 580407 
7800016708 5309539485 652979 587903 
7900016369 5376684151 661637 595539 
8000015949 5443711623 670334 603115 
8100016792 5510843991 679027 610746 
8200016204 5577978460 687748 618416 
8300100371 5645019197 696353 625968 
8400012033 5712017631 705095 633610 
8500015489 5779178363 713774 641261 
8600011451 5850999673 724725 651316 
8700014717 5931933205 739148 665127 
8800016107 6011595436 751781 676873 
8900017070 6084692910 761681 686005 
9000011372 6156543777 772320 695818 
9100019142 6225807529 781744 705120 
9200015269 6295995034 790908 714281 
9300015965 6363268716 798831 722204 
9400016228 6430357075 806699 730072 
9500016972 6496937376 814581 737950 
9600014977 6562508407 822482 745850 
9700016549 6628841769 830654 754022 
9800016366 6695777082 838916 762282 
9900015188 6763049922 847037 770387 
10000013891 6834173351 855017 778365 
10100013048 6903477695 862977 786323 
10200017263 6972156013 871120 794462 
10300017233 7040736368 879185 802523 
10400015030 7108594205 887230 810568 
10500017100 7176250744 895482 818819 
10600013645 7243578607 903611 826944 
10700017218 7310920168 911741 835074 
10800013470 7378226915 920007 843337 
10900015729 7445092123 927847 851175 
11000014871 7511988424 935858 859186 
11100017145 7578989782 943931 867259 
11200015497 7645764850 952148 875476 
11300017036 7712375422 960237 883561 
11400015643 7779450917 968483 891806 
11500016408 7846096314 976834 900155 
11600015140 7913573900 985065 908374 
