#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100027926 20544 8162 
200010663 26255 10666 
300010807 35527 14432 
400011850 45965 19141 
500011896 58793 25448 
600011761 71731 32057 
700015784 85906 39541 
800012182 99944 47372 
900016609 114217 55620 
1000015136 129902 64775 
1100016516 144928 73820 
1200015400 160091 82997 
1300016143 175873 92994 
1400015873 192335 103952 
1500016674 207426 113453 
1600016052 222867 123195 
1700016412 238481 133089 
1800009007 254662 143807 
1900015179 270798 154371 
2000015693 287341 165266 
2100015885 303033 175512 
2200016422 318862 186048 
2300010592 334908 196700 
2400018863 351368 207832 
2500016351 368458 219385 
2600016048 385337 230914 
2700015566 401898 242245 
2800015471 419106 254229 
2900015121 436101 265630 
3000014130 453152 277204 
3100015997 470752 289097 
3200013186 487572 300670 
3300016864 505204 312734 
3400016262 522332 324895 
3500016075 540589 337631 
3600016045 558146 350123 
3700015177 576031 362715 
3800016727 593398 374979 
3900015285 611316 387777 
4000022881 629522 400761 
4100016179 648057 413861 
4200015933 665584 426048 
4300016859 683353 438621 
4400014653 700830 450820 
4500016265 719001 463749 
4600016001 737670 476912 
4700007846 755186 489554 
4800015645 773444 502905 
4900017120 791950 516286 
5000016554 810610 529778 
5100014638 830189 543759 
5200015529 848679 556815 
5300016617 867231 570293 
5400016113 885851 583758 
5500015529 904454 597010 
5600016519 922354 609867 
5700013491 941345 623459 
5800014733 960442 637067 
5900104020 978785 650354 
6000016179 997878 663949 
6100015952 1016885 677707 
6200015482 1035965 691355 
6300014890 1055349 705551 
6400015664 1076371 720505 
6500015796 1097140 735661 
6600015782 1117188 750261 
6700016018 1138941 766306 
6800016062 1160141 781752 
6900013566 1180608 796962 
7000017473 1201746 812657 
7100016931 1221240 827063 
7200015084 1240158 840905 
7300016283 1261308 856560 
7400014974 1281724 871466 
7500015731 1301298 885867 
7600016233 1321115 900443 
7700015930 1340214 914564 
7800016207 1359501 928699 
7900015087 1379443 943445 
8000016831 1399204 957943 
8100016222 1418717 972142 
8200016808 1438514 986682 
8300014509 1457807 1000742 
8400015774 1476671 1014644 
8500011763 1496853 1029289 
8600011790 1512952 1040432 
8700007728 1525148 1046401 
8800013454 1547764 1056844 
8900016943 1568377 1066892 
9000016576 1589348 1077197 
9100018378 1606650 1087735 
9200015006 1626800 1105117 
9300014773 1641049 1118543 
9400014233 1656032 1132194 
9500012863 1669725 1144530 
9600011056 1680775 1154369 
9700016210 1693895 1165923 
9800016892 1707625 1177997 
9900014144 1721157 1189934 
10000140952 1734999 1201963 
10100015890 1749003 1214076 
10200016438 1763139 1226302 
10300016420 1777689 1238797 
10400016342 1791868 1251035 
10500016469 1806691 1263964 
10600016931 1820513 1276121 
10700016865 1833879 1287850 
10800014783 1847414 1299696 
10900016954 1859644 1310369 
11000016150 1872543 1321671 
11100016968 1886876 1334231 
11200016599 1900049 1345996 
11300012367 1912530 1357022 
11400015751 1926315 1369137 
11500016530 1939622 1380930 
11600008428 1954571 1394256 
11700014869 1968989 1407004 
11800015684 1983188 1419609 
11900015748 1996756 1431436 
12000016417 2012822 1445727 
12100015002 2028586 1459700 
12200015817 2043950 1473297 
12300016061 2058506 1486224 
12400016825 2072403 1498626 
12500015904 2086637 1511142 
12600015515 2100277 1523130 
12700016143 2111567 1532923 
12800016290 2122574 1542402 
12900015499 2133895 1552193 
13000015651 2144637 1561788 
13100015958 2155060 1570885 
13200009181 2168288 1582322 
13300016154 2175779 1588948 
13400016051 2186212 1597901 
13500017078 2200159 1610225 
13600016542 2212189 1620696 
13700016014 2227466 1634143 
13800016308 2241941 1646925 
13900014869 2255177 1658577 
14000015288 2270704 1672279 
14100015963 2283517 1683571 
14200016318 2296668 1695148 
14300016669 2312469 1709072 
14400016679 2326257 1721163 
14500007417 2336410 1729928 
14600018904 2339248 1732487 
14700016379 2347352 1739463 
14800016017 2355345 1746354 
14900015073 2367902 1757415 
15000016874 2379772 1767829 
15100015113 2392594 1779158 
15200015505 2404978 1789997 
15300016000 2418993 1802327 
15400016137 2430170 1812163 
15500012261 2442973 1823296 
15600016703 2451163 1830407 
15700012277 2459402 1837536 
15800012031 2471945 1848541 
15900015773 2480045 1855761 
16000015346 2493431 1867638 
16100015656 2501158 1874496 
16200016786 2511097 1883232 
16300016938 2521679 1892706 
16400018032 2531234 1901207 
16500016744 2540684 1909525 
16600015494 2549910 1917602 
16700015398 2566230 1932202 
16800204280 2576994 1941735 
16900016007 2584824 1948491 
17000017387 2591308 1954141 
17100009304 2600320 1962115 
17200016470 2607233 1968240 
17300018133 2619454 1979047 
17400016829 2633161 1991397 
17500017525 2645238 2002195 
17600017355 2650290 2006663 
17700015470 2659336 2014458 
17800016311 2674573 2028079 
17900016532 2687328 2039326 
18000015850 2700745 2050854 
18100167154 2713494 2061873 
18200015313 2725972 2072580 
18300015339 2741264 2085850 
18400017365 2752526 2095532 
18500015763 2768811 2109749 
18600017350 2782429 2121602 
18700016290 2797814 2134891 
18800015723 2813600 2148767 
18900015235 2826924 2160311 
19000015481 2836933 2168993 
19100017195 2848520 2179000 
19200015423 2863225 2191794 
19300014980 2880161 2206843 
