,SpeedUp Max LLC SIZE,SpeedUp Prefetching
500.perlbench_r.3,1.61363636363636,1.09230769230769
502.gcc_r.5,1.58823529411765,1.64885496183206
503.bwaves_r.3,1.01351351351351,1.6304347826087
505.mcf_r.1,1.20121951219512,1.31333333333333
507.cactuBSSN_r.1,1.14606741573034,1.13333333333333
510.parest_r.1,2,2.23333333333333
511.povray_r.1,1,0.976744186046512
519.lbm_r.1,1.15217391304348,2.27142857142857
520.omnetpp_r.1,1.55932203389831,1.02222222222222
521.wrf_r.1,1.18867924528302,1.41573033707865
523.xalancbmk_r.1,1.48,1.35365853658537
525.x264_r.2,1.05405405405405,1.11428571428571
526.blender_r.1,1.09677419354839,1.07936507936508
527.cam4_r.1,1.140625,1.140625
549.fotonik3d_r.1,1.05102040816327,2.86111111111111
554.roms_r.1,1.25882352941177,2.05769230769231
557.xz_r.1,1.34,1.00751879699248
