,No Prefetch,,,,,,,,,,,Prefetch,,,,,,,,,
,CPI,,,,,MPKI,,,,,,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB,,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
401.bzip2.3,0.88,0.91,0.55,0.51,0.51,4.5,4.9,0.28,0.03,0.03,,0.74,0.75,0.48,0.46,0.46,3.58,3.43,0.12,0.02,0.01
403.gcc.7,1.99,2.01,1.53,1.22,1.1,13.03,13.04,6.36,3.51,2.43,,0.93,0.94,0.8,0.73,0.7,4.57,4.54,2.24,1.54,1.19
410.bwaves.1,0.96,0.96,0.96,0.95,0.95,14.62,14.63,14.38,13.97,13.64,,0.44,0.44,0.44,0.44,0.44,0.18,0.18,0.17,0.17,0.17
429.mcf.1,5.08,5.11,3.07,2.81,2.75,58.95,59.23,33.91,28.25,27.69,,3.81,3.81,2.59,2.27,2.22,41.17,41.1,24.96,18.53,17.55
433.milc.1,1.92,1.92,1.88,1.84,1.82,24.36,24.41,23.04,21.64,20.79,,1.42,1.42,1.41,1.4,1.4,12.36,12.36,12.09,11.84,11.69
434.zeusmp.1,0.78,0.77,0.77,0.76,0.75,5.02,5.01,4.84,4.69,4.6,,0.54,0.54,0.53,0.53,0.52,1.73,1.73,1.65,1.58,1.54
436.cactusADM.1,0.91,0.91,0.73,0.72,0.72,4.48,4.49,2.94,2.84,2.84,,0.84,0.83,0.66,0.63,0.63,2.74,2.72,1.41,1.16,1.12
437.leslie3d.1,1.16,1.17,1.09,1.03,0.98,16.96,17.04,14.09,11.57,9.88,,0.42,0.43,0.4,0.38,0.38,1.47,1.49,1.2,0.96,0.81
447.dealII.1,0.72,0.72,0.68,0.66,0.65,3.76,3.47,2.86,2.57,2.41,,0.49,0.49,0.47,0.47,0.47,0.84,0.82,0.28,0.22,0.19
450.soplex.2,2.54,2.54,2.45,2.35,2.29,27.6,27.63,24.69,22.37,21.35,,0.84,0.83,0.78,0.76,0.75,4.31,4.3,2.9,2.35,2.22
459.GemsFDTD.1,1.43,1.42,1.4,1.39,1.39,17.5,17.51,16.21,15.98,15.9,,0.66,0.66,0.65,0.64,0.64,3.02,3.03,2.93,2.85,2.8
462.libquantum.1,1.46,1.46,1.42,1.3,1.22,30.49,30.51,25.37,19.3,14.55,,0.63,0.63,0.61,0.6,0.58,3.94,3.89,3.46,2.85,2.45
470.lbm.1,1.62,1.6,1.46,1.42,1.41,30.2,30.18,20.32,17.04,16.69,,0.66,0.66,0.61,0.6,0.6,5.85,5.84,3.6,3.06,3.01
471.omnetpp.1,2.3,2.28,1.91,1.52,1.28,18.36,18.29,11.67,6.43,3.63,,2.23,2.23,1.96,1.65,1.43,17.64,17.68,11.81,7.47,5.12
473.astar.1,1.61,1.61,1.32,1.08,1.05,9.75,9.76,4.22,1.2,0.54,,1.49,1.51,1.26,1.05,1.01,8.53,8.61,3.75,1.01,0.4
481.wrf.1,0.91,0.9,0.86,0.82,0.79,6.03,6.01,5.14,4.45,4,,0.42,0.42,0.42,0.42,0.41,0.54,0.54,0.45,0.39,0.37
482.sphinx3.1,1.47,1.47,0.77,0.68,0.67,6.85,7.18,0.72,0.03,0.01,,0.59,0.59,0.47,0.44,0.43,1.44,1.44,0.25,0.02,0
483.xalancbmk.1,1.06,1.07,0.74,0.64,0.62,6.07,6.19,2.05,0.86,0.55,,0.79,0.78,0.62,0.57,0.55,3.73,3.69,1.81,0.89,0.59
