,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
500.perlbench_r.1,0.45,0.44,0.40,0.38,0.39,0.49,0.49,0.10,0.01,0.01
500.perlbench_r.2,0.40,0.40,0.40,0.39,0.39,0.13,0.13,0.12,0.10,0.09
500.perlbench_r.3,0.71,0.71,0.58,0.47,0.44,1.54,1.53,0.76,0.23,0.08
502.gcc_r.1,1.10,1.10,0.91,0.83,0.80,4.00,4.00,2.11,1.24,0.95
502.gcc_r.2,1.11,1.11,0.94,0.86,0.82,4.21,4.20,2.46,1.61,1.25
502.gcc_r.3,1.80,1.80,1.32,1.23,1.19,7.23,7.23,3.53,2.64,2.32
502.gcc_r.4,1.85,1.85,1.63,1.45,1.36,11.80,11.80,9.45,7.47,6.37
502.gcc_r.5,2.16,2.16,1.57,1.43,1.36,19.08,18.85,7.53,5.93,5.13
503.bwaves_r.1,0.70,0.70,0.70,0.69,0.69,8.58,8.58,8.42,8.22,8.04
503.bwaves_r.2,0.84,0.84,0.83,0.82,0.82,11.24,11.23,11.03,10.77,10.53
503.bwaves_r.3,0.75,0.75,0.75,0.75,0.74,9.74,9.74,9.56,9.28,9.09
503.bwaves_r.4,0.73,0.73,0.72,0.72,0.72,9.20,9.19,8.99,8.77,8.59
505.mcf_r.1,1.97,1.96,1.69,1.66,1.64,25.72,25.65,18.23,17.11,16.59
507.cactuBSSN_r.1,1.02,1.02,0.94,0.91,0.89,8.38,8.38,6.40,5.20,4.91
508.namd_r.1,0.47,0.47,0.46,0.46,0.46,0.50,0.50,0.44,0.39,0.37
510.parest_r.1,1.34,1.34,0.83,0.68,0.67,12.51,12.49,2.41,0.62,0.51
511.povray_r.1,0.42,0.42,0.42,0.42,0.42,0.00,0.00,0.00,0.00,0.00
519.lbm_r.1,1.59,1.59,1.47,1.39,1.38,29.06,29.06,22.16,17.83,16.92
520.omnetpp_r.1,1.84,1.83,1.56,1.36,1.18,11.27,11.25,7.84,5.22,3.25
521.wrf_r.1,1.26,1.26,1.18,1.10,1.06,4.69,4.69,3.14,2.04,1.55
523.xalancbmk_r.1,1.11,1.11,0.83,0.76,0.75,4.45,4.45,1.20,0.34,0.16
525.x264_r.2,0.39,0.39,0.38,0.38,0.37,0.59,0.59,0.52,0.44,0.40
525.x264_r.3,0.34,0.34,0.33,0.33,0.33,0.19,0.19,0.16,0.12,0.09
525.x264_r.4,0.34,0.34,0.34,0.33,0.33,0.18,0.18,0.16,0.14,0.12
526.blender_r.1,0.68,0.68,0.64,0.63,0.62,1.50,1.50,0.98,0.68,0.51
527.cam4_r.1,0.73,0.72,0.66,0.65,0.64,3.04,2.96,1.35,1.18,1.12
531.deepsjeng_r.1,0.61,0.61,0.60,0.59,0.59,0.43,0.43,0.35,0.34,0.34
538.imagick_r.1,0.32,0.32,0.31,0.31,0.31,0.07,0.06,0.02,0.02,0.02
541.leela_r.1,0.84,0.83,0.83,0.82,0.82,0.20,0.20,0.04,0.00,0.00
544.nab_r.1,0.79,0.79,0.78,0.78,0.78,0.43,0.43,0.40,0.38,0.37
548.exchange2_r.1,0.54,0.54,0.54,0.54,0.54,0.00,0.00,0.00,0.00,0.00
549.fotonik3d_r.1,2.06,2.06,2.00,1.98,1.96,27.00,27.00,24.63,23.78,23.64
554.roms_r.1,1.07,1.06,0.93,0.88,0.85,10.87,10.82,6.90,5.83,5.35
557.xz_r.1,1.34,1.34,1.17,1.05,1.00,4.33,4.32,2.66,1.75,1.34
557.xz_r.2,0.49,0.49,0.46,0.44,0.44,0.52,0.52,0.28,0.20,0.17
557.xz_r.3,0.78,0.78,0.70,0.66,0.65,1.48,1.48,0.86,0.60,0.50
