,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
500.perlbench_r.1,0.43,0.43,0.40,0.38,0.38,0.40,0.40,0.13,0.02,0.01
500.perlbench_r.2,0.39,0.39,0.39,0.39,0.39,0.05,0.05,0.04,0.04,0.03
500.perlbench_r.3,0.65,0.64,0.54,0.47,0.43,1.25,1.24,0.68,0.27,0.11
502.gcc_r.1,0.86,0.86,0.75,0.71,0.70,1.86,1.86,0.90,0.50,0.38
502.gcc_r.2,0.90,0.90,0.78,0.73,0.72,2.26,2.26,1.16,0.71,0.54
502.gcc_r.3,0.91,0.91,0.75,0.71,0.69,1.90,1.90,0.81,0.46,0.35
502.gcc_r.4,1.05,1.05,0.96,0.88,0.84,4.29,4.28,3.36,2.64,2.24
502.gcc_r.5,1.31,1.31,1.05,0.98,0.95,9.08,9.08,2.86,2.16,1.87
503.bwaves_r.1,0.43,0.43,0.43,0.43,0.43,0.13,0.13,0.13,0.13,0.12
503.bwaves_r.2,0.48,0.48,0.48,0.48,0.48,0.18,0.17,0.17,0.17,0.16
503.bwaves_r.3,0.46,0.46,0.45,0.45,0.45,0.16,0.16,0.15,0.15,0.15
503.bwaves_r.4,0.44,0.44,0.44,0.44,0.44,0.14,0.14,0.14,0.13,0.13
505.mcf_r.1,1.50,1.50,1.34,1.31,1.30,12.03,11.96,7.45,6.86,6.61
507.cactuBSSN_r.1,0.90,0.90,0.84,0.81,0.81,5.64,5.63,3.90,2.84,2.62
508.namd_r.1,0.39,0.39,0.39,0.39,0.39,0.04,0.04,0.03,0.02,0.01
510.parest_r.1,0.60,0.60,0.52,0.51,0.50,1.02,1.02,0.16,0.06,0.05
511.povray_r.1,0.43,0.43,0.43,0.42,0.43,0.00,0.00,0.00,0.00,0.00
519.lbm_r.1,0.70,0.70,0.66,0.64,0.64,5.36,5.35,3.79,3.03,2.90
520.omnetpp_r.1,1.80,1.80,1.55,1.38,1.24,10.95,10.95,7.50,5.44,3.92
521.wrf_r.1,0.89,0.89,0.89,0.88,0.88,0.49,0.49,0.35,0.26,0.21
523.xalancbmk_r.1,0.82,0.82,0.72,0.67,0.65,2.18,2.18,0.91,0.32,0.16
525.x264_r.2,0.35,0.35,0.35,0.34,0.34,0.14,0.14,0.12,0.11,0.10
525.x264_r.3,0.32,0.32,0.32,0.32,0.32,0.05,0.05,0.04,0.03,0.03
525.x264_r.4,0.32,0.32,0.32,0.32,0.32,0.04,0.04,0.04,0.03,0.03
526.blender_r.1,0.63,0.63,0.60,0.59,0.59,0.67,0.67,0.31,0.19,0.15
527.cam4_r.1,0.64,0.64,0.60,0.59,0.59,1.18,1.17,0.31,0.25,0.24
531.deepsjeng_r.1,0.61,0.61,0.59,0.59,0.59,0.40,0.40,0.30,0.29,0.29
538.imagick_r.1,0.31,0.31,0.31,0.31,0.31,0.02,0.02,0.01,0.01,0.01
541.leela_r.1,0.83,0.83,0.82,0.82,0.82,0.09,0.09,0.02,0.01,0.00
544.nab_r.1,0.69,0.69,0.69,0.69,0.69,0.02,0.02,0.02,0.02,0.02
548.exchange2_r.1,0.54,0.54,0.54,0.54,0.54,0.00,0.00,0.00,0.00,0.00
549.fotonik3d_r.1,0.72,0.71,0.70,0.69,0.69,4.05,4.04,3.93,3.84,3.78
554.roms_r.1,0.52,0.52,0.49,0.47,0.47,1.43,1.42,1.05,0.87,0.80
557.xz_r.1,1.33,1.33,1.17,1.06,0.99,4.08,4.07,2.55,1.68,1.27
557.xz_r.2,0.49,0.49,0.45,0.44,0.44,0.46,0.46,0.23,0.15,0.13
557.xz_r.3,0.78,0.78,0.70,0.66,0.64,1.37,1.37,0.78,0.52,0.42
