Benchmark,Instr,Lect,Escr,MPKI1,MPKI2,MPKI3,CPI
500.perlbench_r.1,1218,28%,19%,7.22,0.49,0.01,0.38
500.perlbench_r.2,699,31%,17%,17.07,0.04,0.02,0.39
500.perlbench_r.3,667,31%,18%,6.16,1.53,0.11,0.43
502.gcc_r.1,195,28%,13%,25.10,2.28,0.31,0.70
502.gcc_r.2,231,29%,14%,24.32,3.02,0.45,0.72
502.gcc_r.3,233,30%,11%,27.32,2.49,0.29,0.70
502.gcc_r.4,186,29%,14%,26.15,4.49,1.99,0.84
502.gcc_r.5,258,26%,21%,42.34,3.82,1.49,0.96
503.bwaves_r.1,1300,34%,6%,12.28,0.10,0.08,0.43
503.bwaves_r.2,1570,36%,6%,16.03,0.13,0.11,0.48
503.bwaves_r.3,1403,35%,6%,14.25,0.12,0.10,0.45
503.bwaves_r.4,1828,34%,6%,13.07,0.11,0.09,0.44
505.mcf_r.1,924,33%,13%,59.27,16.98,6.04,1.30
507.cactuBSSN_r.1,1113,50%,11%,118.76,5.47,1.82,0.80
508.namd_r.1,1777,30%,7%,17.31,0.04,0.01,0.39
510.parest_r.1,3390,38%,4%,33.36,1.25,0.04,0.50
511.povray_r.1,3307,37%,16%,26.31,0.00,0.00,0.43
519.lbm_r.1,1277,21%,11%,49.11,0.08,0.04,0.64
520.omnetpp_r.1,1093,30%,17%,33.98,11.90,3.49,1.24
521.wrf_r.1,4204,28%,7%,11.10,0.31,0.09,0.88
523.xalancbmk_r.1,1274,30%,7%,45.03,2.35,0.12,0.66
525.x264_r.2,516,25%,8%,4.03,0.11,0.06,0.34
525.x264_r.3,1963,24%,6%,4.46,0.04,0.02,0.32
525.x264_r.4,1985,24%,6%,3.97,0.04,0.02,0.32
526.blender_r.1,1725,31%,5%,7.77,0.91,0.13,0.59
527.cam4_r.1,2685,24%,11%,18.79,0.94,0.08,0.59
531.deepsjeng_r.1,1869,25%,12%,3.61,0.42,0.25,0.59
538.imagick_r.1,4589,23%,8%,6.10,0.02,0.00,0.31
541.leela_r.1,2111,26%,9%,4.51,0.10,0.00,0.82
544.nab_r.1,2085,33%,10%,9.35,0.02,0.01,0.69
548.exchange2_r.1,2908,51%,30%,0.09,0.00,0.00,0.54
549.fotonik3d_r.1,1947,44%,14%,34.13,4.30,3.78,0.69
554.roms_r.1,2709,34%,9%,27.32,0.92,0.47,0.47
557.xz_r.1,403,23%,8%,13.73,4.86,1.19,0.99
557.xz_r.2,1044,23%,3%,9.58,0.71,0.10,0.43
557.xz_r.3,567,23%,6%,8.05,1.74,0.36,0.65
AVG,1590,31%,11%,21.70,2.00,0.64,0.61
