,MPKI,,,,,,APKI,,,,,,CPI,,,,,
Benchmark,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All
500.perlbench_r.1,0.01,0.01,0.01,0.01,0.01,0.01,0.65,0.62,0.62,0.61,0.59,0.52,0.39,0.38,0.38,0.38,0.38,0.38
500.perlbench_r.2,0.09,0.06,0.08,0.08,0.04,0.03,0.14,0.09,0.13,0.12,0.07,0.05,0.39,0.40,0.39,0.39,0.39,0.39
500.perlbench_r.3,0.08,0.07,0.08,0.09,0.11,0.11,1.92,1.63,1.80,1.87,1.82,1.55,0.44,0.43,0.43,0.45,0.45,0.43
502.gcc_r.1,0.95,0.69,0.84,0.84,0.51,0.38,5.42,4.22,5.00,4.85,3.20,2.57,0.80,0.76,0.78,0.78,0.72,0.70
502.gcc_r.2,1.25,0.94,1.10,1.13,0.71,0.54,5.85,4.77,5.49,5.37,3.88,3.33,0.82,0.79,0.81,0.80,0.74,0.72
502.gcc_r.3,2.32,0.66,0.92,1.75,0.54,0.35,10.23,4.38,5.84,8.04,3.64,2.72,1.19,0.89,1.01,1.02,0.74,0.69
502.gcc_r.4,6.37,4.77,5.69,5.60,3.03,2.24,13.13,9.91,11.96,11.31,6.19,4.84,1.36,1.21,1.29,1.24,0.93,0.84
502.gcc_r.5,5.13,3.86,4.62,4.49,2.44,1.87,29.33,26.76,28.52,27.86,18.67,17.72,1.36,1.23,1.31,1.25,1.02,0.95
503.bwaves_r.1,8.04,2.04,6.78,6.71,0.27,0.12,8.68,2.12,7.11,7.15,0.31,0.14,0.69,0.56,0.66,0.64,0.44,0.43
503.bwaves_r.2,10.53,2.71,8.88,8.77,0.35,0.16,11.37,2.82,9.31,9.35,0.40,0.19,0.82,0.65,0.78,0.75,0.49,0.48
503.bwaves_r.3,9.09,2.39,7.72,7.57,0.29,0.15,9.86,2.48,8.11,8.11,0.33,0.17,0.74,0.61,0.71,0.68,0.46,0.45
503.bwaves_r.4,8.59,2.20,7.25,7.18,0.28,0.13,9.30,2.29,7.61,7.67,0.32,0.15,0.72,0.58,0.69,0.66,0.45,0.44
505.mcf_r.1,16.59,9.98,14.28,16.18,8.93,6.61,34.21,21.47,31.69,33.48,23.33,17.59,1.64,1.55,1.64,1.61,1.34,1.30
507.cactuBSSN_r.1,4.91,3.72,3.98,4.69,2.74,2.62,8.82,7.53,7.83,8.61,6.51,6.29,0.89,0.87,0.89,0.89,0.81,0.81
508.namd_r.1,0.37,0.11,0.26,0.21,0.02,0.01,0.53,0.19,0.37,0.34,0.08,0.05,0.46,0.40,0.43,0.42,0.39,0.39
510.parest_r.1,0.51,0.12,0.15,0.42,0.09,0.05,18.58,4.41,5.82,15.76,2.79,1.76,0.67,0.55,0.59,0.60,0.51,0.50
511.povray_r.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.43,0.42,0.42,0.43
519.lbm_r.1,16.92,11.17,15.63,11.27,2.97,2.90,30.66,24.78,29.25,18.49,4.56,4.45,1.38,1.20,1.35,1.26,0.65,0.64
520.omnetpp_r.1,3.25,3.26,3.55,3.36,3.59,3.92,13.72,13.68,13.52,13.73,13.68,13.45,1.18,1.19,1.21,1.19,1.23,1.24
521.wrf_r.1,1.55,0.70,0.93,1.21,0.26,0.21,5.64,1.78,3.26,3.92,0.64,0.53,1.06,0.94,1.00,1.01,0.89,0.88
523.xalancbmk_r.1,0.16,0.17,0.16,0.17,0.15,0.16,6.72,4.11,6.07,5.81,3.09,2.70,0.75,0.68,0.73,0.73,0.67,0.65
525.x264_r.2,0.40,0.31,0.34,0.32,0.20,0.10,0.69,0.49,0.55,0.54,0.35,0.16,0.37,0.36,0.36,0.37,0.35,0.34
525.x264_r.3,0.09,0.06,0.06,0.08,0.06,0.03,0.21,0.11,0.12,0.19,0.15,0.06,0.33,0.32,0.32,0.33,0.32,0.32
525.x264_r.4,0.12,0.07,0.07,0.10,0.07,0.03,0.21,0.11,0.13,0.18,0.14,0.05,0.33,0.32,0.32,0.33,0.33,0.32
526.blender_r.1,0.51,0.25,0.46,0.45,0.27,0.15,1.86,1.26,1.76,1.72,1.11,0.94,0.62,0.61,0.61,0.61,0.59,0.59
527.cam4_r.1,1.12,0.58,0.69,1.00,0.36,0.24,4.36,3.32,3.58,3.92,1.97,1.71,0.64,0.62,0.63,0.63,0.60,0.59
531.deepsjeng_r.1,0.34,0.33,0.32,0.33,0.30,0.29,0.51,0.50,0.49,0.50,0.47,0.46,0.59,0.59,0.59,0.59,0.59,0.59
538.imagick_r.1,0.02,0.01,0.01,0.01,0.01,0.01,0.12,0.07,0.09,0.10,0.07,0.04,0.31,0.31,0.31,0.32,0.31,0.31
541.leela_r.1,0.00,0.01,0.01,0.01,0.01,0.00,0.27,0.25,0.27,0.26,0.15,0.13,0.82,0.82,0.82,0.82,0.82,0.82
544.nab_r.1,0.37,0.04,0.33,0.21,0.03,0.02,0.46,0.08,0.41,0.27,0.05,0.03,0.78,0.69,0.77,0.74,0.70,0.69
548.exchange2_r.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.54,0.54,0.54,0.54,0.54
549.fotonik3d_r.1,23.64,7.17,12.58,17.26,5.83,3.78,27.76,8.56,15.39,19.79,6.19,4.31,1.96,1.26,1.68,1.75,0.77,0.69
554.roms_r.1,5.35,1.80,2.33,4.21,1.29,0.80,14.32,5.43,8.10,10.66,2.21,1.49,0.85,0.61,0.71,0.74,0.49,0.47
557.xz_r.1,1.34,1.27,1.33,1.31,1.28,1.27,5.39,5.07,5.38,5.31,5.22,5.04,1.00,1.00,1.00,0.99,0.99,0.99
557.xz_r.2,0.17,0.14,0.16,0.15,0.13,0.13,0.84,0.81,0.83,0.82,0.79,0.78,0.44,0.44,0.44,0.44,0.43,0.44
557.xz_r.3,0.50,0.45,0.47,0.47,0.44,0.42,2.00,1.92,1.98,1.96,1.90,1.86,0.65,0.65,0.65,0.65,0.64,0.64
