Benchmark,None,DCUI,DCUP,L2A,L2P,All
603.bwaves_s.1,28.44,28.46,28.45,28.47,28.51,28.52
603.bwaves_s.2,25.93,25.93,25.93,25.95,26.01,26.03
607.cactuBSSN_s.1,65.65,65.72,65.68,65.69,65.78,65.98
619.lbm_s.1,282.95,283.09,282.99,281.76,284.52,284.67
621.wrf_s.1,8.44,8.57,8.49,8.74,9.67,9.83
625.x264_s.1,3.21,2.95,2.94,2.95,3.03,3.55
625.x264_s.2,0.69,0.66,0.65,0.62,0.64,0.82
625.x264_s.3,0.93,0.90,0.89,0.88,0.90,1.04
627.cam4_s.1,36.46,36.48,36.47,36.85,38.98,39.27
628.pop2_s.1,25.95,26.43,26.21,26.37,29.14,29.53
638.imagick_s.1,0.17,0.14,0.15,0.17,0.18,0.19
644.nab_s.1,3.34,3.39,3.34,3.38,3.93,4.00
649.fotonik3d_s.1,195.00,210.60,196.86,198.33,204.29,215.54
654.roms_s.1,108.84,109.48,109.15,109.63,119.53,120.73
657.xz_s.1,11.26,12.10,12.32,11.34,11.61,13.21
657.xz_s.2,46.33,51.52,53.33,46.37,46.43,56.61
