,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
600.perlbench_s.1,0.43,0.43,0.40,0.38,0.38,0.40,0.40,0.13,0.02,0.01
600.perlbench_s.2,0.39,0.39,0.39,0.39,0.39,0.05,0.05,0.04,0.04,0.03
600.perlbench_s.3,0.63,0.63,0.53,0.47,0.44,1.22,1.21,0.68,0.27,0.12
602.gcc_s.1,0.91,0.90,0.83,0.77,0.73,1.26,1.26,0.74,0.50,0.38
602.gcc_s.2,0.83,0.83,0.73,0.70,0.69,1.53,1.53,0.62,0.34,0.25
602.gcc_s.3,0.84,0.83,0.73,0.70,0.68,1.65,1.65,0.74,0.43,0.32
605.mcf_s.1,1.75,1.75,1.47,1.42,1.41,21.33,21.32,9.50,8.49,8.18
620.omnetpp_s.1,1.58,1.56,1.38,1.24,1.15,10.49,10.41,7.50,5.46,3.93
623.xalancbmk_s.1,0.78,0.78,0.71,0.67,0.65,2.17,2.17,0.91,0.33,0.16
625.x264_s.1,0.34,0.34,0.34,0.34,0.34,0.14,0.14,0.12,0.11,0.08
625.x264_s.2,0.32,0.32,0.32,0.32,0.32,0.05,0.05,0.04,0.03,0.03
625.x264_s.3,0.32,0.32,0.32,0.32,0.32,0.04,0.04,0.04,0.03,0.03
631.deepsjeng_s.1,0.58,0.58,0.58,0.58,0.58,0.65,0.65,0.63,0.62,0.62
641.leela_s.1,0.82,0.82,0.82,0.82,0.82,0.09,0.09,0.02,0.00,0.00
648.exchange2_s.1,0.54,0.54,0.54,0.54,0.54,0.00,0.00,0.00,0.00,0.00
