Benchmark,Instr,Lect,Escr,MPKI1,MPKI2,MPKI3,CPI
600.perlbench_s.1,1218,0.28,0.19,7.26,0.50,0.01,0.38
600.perlbench_s.2,699,0.31,0.17,17.78,0.04,0.02,0.39
600.perlbench_s.3,667,0.31,0.18,6.69,1.53,0.11,0.44
602.gcc_s.1,1212,0.33,0.06,42.81,1.59,0.36,0.73
602.gcc_s.2,517,0.28,0.14,28.25,2.04,0.20,0.69
602.gcc_s.3,502,0.28,0.13,24.64,2.32,0.26,0.68
605.mcf_s.1,1653,0.34,0.10,74.58,30.47,7.37,1.41
620.omnetpp_s.1,1056,0.31,0.18,32.35,11.28,3.50,1.15
623.xalancbmk_s.1,1274,0.30,0.07,45.11,2.34,0.11,0.66
625.x264_s.1,516,0.25,0.08,3.98,0.11,0.05,0.34
625.x264_s.2,1963,0.24,0.06,4.34,0.04,0.02,0.32
625.x264_s.3,1985,0.24,0.06,3.87,0.04,0.02,0.32
631.deepsjeng_s.1,2179,0.25,0.12,3.50,0.27,0.25,0.58
641.leela_s.1,2111,0.26,0.09,4.47,0.10,0.00,0.82
648.exchange2_s.1,2908,0.51,0.30,0.10,0.00,0.00,0.54
AVG,1363,0.30,0.13,19.98,3.51,0.82,0.63
