,CPI,,,,,MPKI,,,,
Benchmark,1.75MB,3.5MB,7MB,14MB,19.25MB,1.75MB,3.5MB,7MB,14MB,19.25MB
400.perlbench.1,0.46,0.47,0.4,0.38,0.38,0.65,0.65,0.15,0.01,0.01
400.perlbench.2,0.36,0.36,0.36,0.36,0.36,0.12,0.12,0.11,0.1,0.1
400.perlbench.3,0.35,0.35,0.33,0.32,0.32,0.3,0.3,0.16,0.11,0.1
401.bzip2.1,0.86,0.85,0.7,0.69,0.69,1.62,1.62,0.22,0.13,0.13
401.bzip2.2,0.72,0.73,0.53,0.49,0.49,2.97,2.88,0.34,0.07,0.05
401.bzip2.3,0.88,0.91,0.55,0.51,0.51,4.5,4.9,0.28,0.03,0.03
401.bzip2.4,0.65,0.65,0.54,0.53,0.53,1.09,1.08,0.2,0.11,0.11
401.bzip2.5,0.77,0.78,0.58,0.57,0.57,1.56,1.64,0.17,0.08,0.08
401.bzip2.6,0.84,0.85,0.68,0.66,0.66,1.78,1.86,0.27,0.13,0.12
403.gcc.1,1.41,1.4,1.02,0.88,0.83,6.92,6.86,2.99,1.59,1.14
403.gcc.2,1.04,1.03,0.84,0.79,0.78,3.11,3.1,1.53,1.04,0.89
403.gcc.3,0.99,0.94,0.79,0.73,0.7,4.57,4.53,2.02,1.33,1.05
403.gcc.4,0.89,0.9,0.75,0.7,0.67,3.23,3.25,1.9,1.31,1.03
403.gcc.5,0.99,0.98,0.83,0.77,0.73,5.37,5.28,2.75,1.91,1.53
403.gcc.6,1.11,1.09,0.89,0.82,0.79,5.67,5.62,2.92,2.07,1.7
403.gcc.7,1.99,2.01,1.53,1.22,1.1,13.03,13.04,6.36,3.51,2.43
403.gcc.8,1.39,1.41,1.02,0.91,0.87,10.32,10.37,3.58,2.26,1.84
403.gcc.9,0.89,0.89,0.76,0.74,0.72,1.78,1.78,0.86,0.61,0.51
410.bwaves.1,0.96,0.96,0.96,0.95,0.95,14.62,14.63,14.38,13.97,13.64
416.gamess.1,0.36,0.36,0.36,0.36,0.36,0,0,0,0,0
416.gamess.2,0.33,0.33,0.33,0.33,0.33,0,0,0,0,0
416.gamess.3,0.31,0.31,0.3,0.3,0.3,0.01,0.01,0,0,0
429.mcf.1,5.08,5.11,3.07,2.81,2.75,58.95,59.23,33.91,28.25,27.69
433.milc.1,1.92,1.92,1.88,1.84,1.82,24.36,24.41,23.04,21.64,20.79
434.zeusmp.1,0.78,0.77,0.77,0.76,0.75,5.02,5.01,4.84,4.69,4.6
435.gromacs.1,0.52,0.53,0.48,0.47,0.47,0.42,0.41,0.09,0.01,0
436.cactusADM.1,0.91,0.91,0.73,0.72,0.72,4.48,4.49,2.94,2.84,2.84
437.leslie3d.1,1.16,1.17,1.09,1.03,0.98,16.96,17.04,14.09,11.57,9.88
444.namd.1,0.49,0.49,0.49,0.48,0.48,0.08,0.08,0.05,0.02,0.02
445.gobmk.1,0.8,0.8,0.78,0.77,0.77,0.58,0.58,0.39,0.23,0.14
445.gobmk.2,0.77,0.77,0.75,0.74,0.73,0.48,0.49,0.33,0.19,0.11
445.gobmk.3,0.75,0.75,0.73,0.72,0.71,2.14,2.14,1.64,1.01,0.56
445.gobmk.4,0.79,0.79,0.78,0.76,0.76,0.74,0.74,0.54,0.32,0.19
445.gobmk.5,0.74,0.74,0.73,0.72,0.71,0.42,0.42,0.29,0.18,0.11
447.dealII.1,0.72,0.72,0.68,0.66,0.65,3.76,3.47,2.86,2.57,2.41
450.soplex.1,2.11,2.09,1.58,1.21,1.05,24.25,23.99,11.64,4.23,1.67
450.soplex.2,2.54,2.54,2.45,2.35,2.29,27.6,27.63,24.69,22.37,21.35
453.povray.1,0.41,0.41,0.41,0.41,0.41,0,0,0,0,0
454.calculix.1,0.54,0.54,0.53,0.52,0.52,0.45,0.45,0.3,0.18,0.14
456.hmmer.1,0.51,0.51,0.39,0.37,0.37,1.08,1.07,0.12,0.02,0.01
456.hmmer.2,0.42,0.41,0.38,0.38,0.38,0.23,0.2,0,0,0
458.sjeng.1,0.57,0.57,0.56,0.56,0.56,0.41,0.41,0.37,0.32,0.29
459.GemsFDTD.1,1.43,1.42,1.4,1.39,1.39,17.5,17.51,16.21,15.98,15.9
462.libquantum.1,1.46,1.46,1.42,1.3,1.22,30.49,30.51,25.37,19.3,14.55
464.h264ref.1,0.41,0.41,0.35,0.34,0.34,0.63,0.6,0.05,0.01,0
464.h264ref.2,0.43,0.42,0.4,0.4,0.4,0.23,0.22,0.02,0,0
464.h264ref.3,0.41,0.41,0.39,0.39,0.39,0.21,0.21,0.04,0.04,0.03
465.tonto.1,0.54,0.54,0.48,0.46,0.46,1.36,1.35,0.35,0.08,0.03
470.lbm.1,1.62,1.6,1.46,1.42,1.41,30.2,30.18,20.32,17.04,16.69
471.omnetpp.1,2.3,2.28,1.91,1.52,1.28,18.36,18.29,11.67,6.43,3.63
473.astar.1,1.61,1.61,1.32,1.08,1.05,9.75,9.76,4.22,1.2,0.54
473.astar.2,1.04,1.04,0.92,0.91,0.91,1.71,1.68,0.17,0.01,0.01
481.wrf.1,0.91,0.9,0.86,0.82,0.79,6.03,6.01,5.14,4.45,4
482.sphinx3.1,1.47,1.47,0.77,0.68,0.67,6.85,7.18,0.72,0.03,0.01
483.xalancbmk.1,1.06,1.07,0.74,0.64,0.62,6.07,6.19,2.05,0.86,0.55
