,MPKI,,,,,,APKI,,,,,,CPI,,,,,
Benchmark,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All
400.perlbench.1,0.01,0.01,0.01,0.01,0.01,0.01,0.86,0.80,0.76,0.78,0.73,0.62,0.38,0.38,0.38,0.38,0.37,0.37
400.perlbench.2,0.10,0.06,0.08,0.07,0.02,0.02,0.13,0.09,0.11,0.10,0.04,0.04,0.36,0.35,0.35,0.35,0.34,0.35
400.perlbench.3,0.10,0.07,0.08,0.08,0.05,0.04,0.48,0.42,0.44,0.43,0.30,0.27,0.32,0.32,0.32,0.32,0.31,0.31
401.bzip2.1,0.13,0.11,0.13,0.12,0.08,0.07,3.53,2.81,3.25,3.21,2.46,2.28,0.69,0.67,0.68,0.68,0.67,0.66
401.bzip2.2,0.05,0.04,0.04,0.04,0.03,0.03,5.90,4.93,5.43,5.65,5.22,4.79,0.49,0.47,0.48,0.49,0.47,0.46
401.bzip2.3,0.03,0.02,0.02,0.02,0.01,0.01,10.19,8.13,9.15,9.62,8.80,8.03,0.51,0.47,0.50,0.51,0.48,0.46
401.bzip2.4,0.11,0.09,0.11,0.11,0.07,0.06,2.08,1.61,1.91,1.83,1.30,1.20,0.53,0.52,0.53,0.53,0.52,0.51
401.bzip2.5,0.08,0.07,0.08,0.08,0.05,0.04,3.56,2.63,3.15,3.18,2.60,2.38,0.57,0.55,0.56,0.56,0.55,0.54
401.bzip2.6,0.12,0.10,0.12,0.11,0.07,0.06,3.90,3.21,3.64,3.64,2.89,2.70,0.66,0.64,0.65,0.65,0.63,0.63
403.gcc.1,1.14,0.86,1.00,1.07,0.61,0.54,9.70,8.32,9.10,8.83,6.72,5.61,0.83,0.79,0.82,0.81,0.73,0.70
403.gcc.2,0.89,0.74,0.75,0.81,0.64,0.51,4.72,4.15,4.43,4.40,3.41,3.08,0.78,0.75,0.74,0.75,0.71,0.69
403.gcc.3,1.05,0.82,0.88,0.97,0.56,0.45,8.21,7.57,9.66,7.84,5.55,6.29,0.70,0.68,0.69,0.69,0.63,0.61
403.gcc.4,1.03,0.80,0.88,0.96,0.54,0.44,5.01,4.22,4.61,4.77,3.64,3.25,0.67,0.64,0.66,0.66,0.60,0.58
403.gcc.5,1.53,1.20,1.30,1.43,0.84,0.65,9.05,10.05,8.48,9.16,6.53,6.79,0.73,0.69,0.71,0.71,0.64,0.61
403.gcc.6,1.70,1.35,1.44,1.56,0.93,0.71,11.47,10.82,11.15,11.67,8.16,8.59,0.79,0.76,0.77,0.77,0.68,0.64
403.gcc.7,2.43,1.97,2.20,2.54,1.53,1.19,20.47,16.32,16.17,19.41,10.66,9.27,1.10,1.01,1.04,1.07,0.78,0.70
403.gcc.8,1.84,1.34,1.53,1.70,0.97,0.81,28.26,24.73,26.48,25.21,18.60,17.60,0.87,0.81,0.84,0.83,0.73,0.70
403.gcc.9,0.51,0.44,0.42,0.46,0.36,0.28,2.79,2.51,2.71,2.61,2.11,1.92,0.72,0.70,0.71,0.71,0.68,0.67
410.bwaves.1,13.64,5.00,11.77,11.35,0.32,0.17,14.75,5.11,12.30,12.09,0.39,0.19,0.95,0.77,0.90,0.87,0.45,0.44
