#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100134974 61050 38336 
200027385 61515 38461 
300028256 61956 38590 
400007863 62441 38763 
500005658 378947 166720 
600012603 895844 347380 
700007337 1387942 507848 
800012116 1840154 659470 
900012517 2335246 821012 
1000010564 2776386 967403 
1100010132 3219454 1104069 
1200024438 3373271 1149710 
1300036564 3375288 1149840 
1400028518 3377199 1150032 
1500039575 3401558 1157933 
1600040102 3402209 1158117 
1700039188 3402818 1158304 
1800037652 3403388 1158445 
1900008371 3625714 1247110 
2000018700 4116114 1423969 
2100013831 4564261 1574609 
2200017509 5062629 1738210 
2300009497 5517490 1888524 
2400011553 6000880 2047673 
2500009361 6445082 2188553 
2600011518 6700092 2260297 
2700038128 6710545 2265546 
2800040017 6712493 2265676 
2900038140 6736981 2273658 
3000038982 6737450 2273793 
3100038921 6737973 2273939 
3200039210 6738507 2274079 
3300008199 6859470 2323097 
3400010474 7288897 2488168 
3500015743 7788163 2652739 
3600009936 8264828 2809384 
3700012853 8733720 2966161 
3800015471 9228037 3126327 
3900014347 9659138 3268186 
4000009124 10021318 3371931 
4100034558 10056742 3385609 
4200040055 10058810 3385796 
4300030160 10060966 3386949 
4400039121 10084072 3394087 
4500039377 10084549 3394221 
4600040118 10085001 3394323 
4700010332 10100720 3401802 
4800008394 10510020 3561174 
4900015064 11025794 3736032 
5000015932 11481532 3889046 
5100013402 11987922 4053924 
5200013555 12442862 4204279 
5300016039 12939392 4364373 
5400014068 13336263 4487109 
5500038545 13454580 4517742 
5600037458 13456806 4517882 
5700012706 13458334 4517987 
5800040146 13482792 4525935 
5900039769 13483292 4526077 
6000039416 13483725 4526209 
6100039035 13484239 4526356 
6200008497 13757113 4634812 
6300013378 14237702 4806124 
6400012850 14736009 4967880 
6500008886 15206693 5120719 
6600013075 15680858 5276850 
6700018727 16171873 5433565 
6800012342 16580836 5564007 
6900028643 16790104 5621207 
7000038188 16794632 5622645 
7100024673 16796311 5622747 
7200038187 16821017 5630646 
7300039486 16821613 5630810 
7400039396 16822169 5630949 
7500039750 16822689 5631069 
7600008872 16998271 5701380 
7700014600 17458004 5872033 
7800008015 17953187 6033322 
7900013152 18405829 6185153 
8000015961 18902442 6346403 
8100016504 19346434 6493864 
8200014662 19819459 6644139 
8300017420 20115169 6728853 
8400037314 20134551 6736864 
8500037948 20136481 6737033 
8600017734 20140946 6740614 
8700039911 20161640 6745489 
8800039971 20162116 6745602 
8900040158 20162602 6745715 
9000007041 20228045 6772786 
9100009202 20670196 6942229 
9200013809 21120306 7094825 
9300014979 21618638 7257565 
9400009475 22083221 7410034 
9500011404 22561730 7568599 
9600008783 23044341 7724086 
9700014983 23413631 7836297 
9800040027 23487292 7858773 
9900038608 23489432 7858853 
10000012154 23490930 7859018 
10100039482 23515181 7866925 
10200039527 23515665 7867061 
10300038701 23516068 7867168 
10400007566 23516658 7867356 
10500008724 23834899 7995258 
10600014550 24356960 8177253 
10700009251 24858890 8341247 
10800012873 25316436 8495174 
10900013927 25819119 8658684 
11000015505 26267112 8806131 
