#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100066756 67082805 14705 6373 
200003567 137964745 20199 7936 
300012850 201028948 23259 8257 
400014942 263733345 28958 8979 
500022340 321156837 31607 9674 
600015256 378084215 33160 10135 
700018197 435362904 35467 10766 
800015721 492424221 37928 11375 
900015160 548427043 40471 11759 
1000006208 604668485 43301 12430 
1100021774 660644743 45179 12862 
1200015163 715139244 45931 13097 
1300021299 770512141 47990 13621 
1400008414 825212849 49283 13951 
1500023121 879100905 50210 14171 
1600025771 934443091 52738 14664 
1700016312 988612418 53145 14775 
1800022840 1044219062 56331 15437 
1900023391 1098651875 56730 15533 
2000024860 1153510466 58620 15918 
2100025704 1207505540 59132 16004 
2200014500 1260919449 59610 16089 
2300021052 1315595159 61474 16392 
2400014806 1369190662 61996 16489 
2500026688 1423695605 63743 16769 
2600020974 1477054673 64262 16894 
2700019580 1531653593 65801 17165 
2800021714 1584690820 66633 17314 
2900007473 1637933590 67133 17423 
3000023810 1691801923 68596 17661 
3100021196 1744780093 69034 17755 
3200025448 1797456837 69519 17850 
3300024496 1851788758 71011 18119 
3400025552 1904815919 71447 18199 
3500016211 1958890775 71867 18305 
3600024673 2016316111 73231 18625 
3700016831 2069500738 73648 18725 
3800024354 2122536155 74083 18831 
3900023222 2176722487 75166 19148 
4000019779 2229683511 75544 19266 
4100022642 2282644538 76001 19394 
4200017870 2336556178 77162 19651 
4300023716 2389458171 77577 19751 
4400023697 2442398245 78022 19872 
4500022547 2496394579 79057 20100 
4600024068 2549285827 79500 20207 
4700012391 2601495739 79737 20227 
4800020440 2654241344 80164 20312 
4900022891 2708221073 81132 20533 
5000023172 2761027549 81602 20642 
5100020375 2813341027 82074 20745 
5200023363 2867490922 83058 20939 
5300000530 2919788243 83232 20958 
5400024551 2972071447 83654 21055 
5500026819 3024368683 84127 21173 
5600013468 3078166770 85063 21364 
5700029129 3130156219 85484 21463 
5800021504 3183017851 85932 21551 
5900026138 3234790551 86076 21574 
6000012416 3289725711 89627 22014 
6100021415 3342185676 90015 22251 
6200019653 3394724738 90417 22498 
6300023950 3447854816 90531 22523 
6400020523 3504609515 91781 23123 
6500021717 3557322355 92082 23220 
6600022968 3609492420 92508 23344 
6700016279 3661495353 92653 23368 
6800013906 3715498319 93486 23552 
6900022594 3767863971 93833 23649 
7000021867 3820051995 93980 23665 
7100024784 3872722213 94425 23758 
7200023545 3928402407 95485 23951 
7300023481 3981770016 95894 24038 
7400017100 4033198307 96021 24059 
7500010800 4085527980 96358 24155 
7600019695 4140896337 97301 24339 
7700020867 4193735599 97425 24350 
7800026706 4246133288 97761 24440 
7900025956 4298558087 98196 24567 
8000020548 4350369359 98355 24592 
8100022274 4405434745 99262 24772 
8200023967 4458851333 99583 24853 
8300014052 4510201661 99708 24874 
8400024203 4562403628 100057 24988 
8500003654 4617449389 101043 25183 
8600015366 4669838553 101165 25195 
8700022092 4722691628 101497 25268 
8800014765 4773537894 101580 25281 
8900019601 4825976887 101908 25380 
9000021751 4882346031 102978 25596 
9100021999 4934411149 103116 25623 
9200025374 4986586857 103476 25692 
9300017532 5039754457 103970 25795 
9400022653 5091426406 104038 25807 
9500018295 5146695798 105020 26000 
9600025672 5198887991 105224 26023 
9700023896 5250935104 105526 26102 
9800015028 5303801442 105845 26186 
9900023010 5355888146 105943 26199 
10000023043 5413832286 107223 26464 
10100019875 5465576661 107342 26475 
10200025991 5518244679 107762 26554 
10300014613 5569557846 107985 26570 
10400022815 5622526861 108380 26677 
10500022991 5677823056 109360 26859 
10600026075 5729100448 109541 26880 
10700023174 5780742750 109965 27012 
10800024212 5832545025 110059 27030 
10900023889 5884921581 110354 27121 
11000023065 5936464063 110457 27132 
11100025835 5995100355 111775 27383 
11200021771 6045842025 111966 27400 
11300012297 6097140632 112295 27484 
11400022735 6149354046 112680 27582 
11500024922 6200728753 112819 27600 
11600016501 6259798456 114029 27813 
11700020066 6315877310 114258 27830 
11800021729 6367584283 114698 27930 
11900022595 6418344452 114847 27944 
12000013902 6470383843 115241 28048 
12100014317 6522034142 115412 28069 
12200011658 6578766238 116708 28293 
12300023950 6630417723 116821 28319 
12400017246 6682293036 117196 28390 
12500023150 6733394321 117380 28407 
12600011325 6785422329 117727 28501 
12700028054 6836292123 117817 28518 
12800024394 6892414294 118862 28739 
12900021557 6943309968 119051 28758 
13000024495 6994967984 119353 28833 
13100013677 7045806032 119444 28847 
13200023029 7098269716 119746 28928 
13300016483 7149715490 119859 28956 
13400022791 7207160124 121125 29177 
13500023287 7258064920 121259 29191 
13600025884 7310130844 121674 29274 
13700012245 7361348018 121901 29286 
13800024588 7413871299 122242 29372 
13900023656 7465148226 122347 29389 
14000023061 7521940658 123372 29593 
14100024079 7572930813 123562 29608 
14200025036 7624889120 123931 29677 
14300027556 7675827373 124026 29688 
14400014433 7728390872 124405 29771 
14500013758 7780104484 124505 29781 
14600015358 7836388171 125468 29995 
14700025481 7888137949 125587 30009 
14800023451 7940409442 125888 30101 
14900026351 7991380122 126041 30111 
15000017933 8043436763 126378 30198 
15100022976 8093998043 126526 30219 
15200005142 8150479822 127537 30422 
15300019301 8201271417 127626 30449 
15400023800 8252860137 127862 30548 
15500024089 8303750912 128069 30565 
15600021420 8353796705 128252 30574 
15700074056 8405929863 128690 30682 
15800020382 8456753359 128917 30704 
15900018141 8512570500 129878 30906 
16000021392 8563079280 129976 30930 
16100019213 8614545687 130281 30999 
16200026547 8665440849 130463 31012 
16300024501 8716756649 130901 31109 
16400026500 8767991609 131140 31134 
16500017077 8826790442 132384 31383 
16600024645 8878343666 132496 31400 
16700000469 8929490120 132614 31423 
16800022487 8980833098 132983 31494 
16900024885 9031890538 133115 31510 
17000018070 9084052135 133400 31587 
17100021843 9134833191 133536 31604 
17200023020 9192201912 134677 31850 
17300024399 9243309597 134818 31869 
17400020041 9295288121 135126 31960 
17500017963 9346646774 135223 31976 
17600021529 9397404452 135299 31985 
17700023943 9449367206 135684 32120 
17800021549 9500452912 135813 32135 
17900019591 9557734028 136814 32319 
18000021438 9607654404 136956 32328 
18100008312 9659736636 137274 32386 
