#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100041918 15273 12084 
200039898 36463 31441 
300029798 57492 49631 
400032716 79761 69664 
500005668 1457474 1267005 
600006070 4111760 3517670 
700003153 6989324 5951660 
800005071 10366965 8795625 
900004353 14142788 11935098 
1000005185 18153557 15247252 
1100004504 22548396 18813404 
1200004333 27175804 22575748 
1300003612 31779034 26439001 
1400003807 36516293 30393074 
1500004928 41380669 34508676 
1600004861 46390360 38728485 
1700005430 51600632 43083206 
1800005624 57036396 47630423 
1900003693 62700036 52345907 
2000004199 68502976 57209572 
2100000825 74388554 62098356 
2200000471 80195644 66973420 
2300005007 86049771 71863587 
2400000912 91792337 76692254 
2500004748 97616426 81609011 
2600004584 103467824 86549431 
2700000657 109401856 91567983 
2800000883 115369923 96619700 
2900004254 121501530 101837799 
3000004293 127628919 107027507 
3100001295 133987633 112392953 
3200003179 140066504 117527935 
3300000821 145986544 122490406 
3400004818 152045533 127600472 
3500000942 157884448 132424825 
3600000586 163634618 137165676 
3700004413 169216267 141781956 
3800003319 175058149 146651492 
3900004104 181076335 151706316 
4000006311 187139533 156782869 
4100003369 193514318 162166441 
4200003486 199959573 167592767 
4300005544 206529434 173103123 
4400000891 213344724 178851863 
4500005279 220225480 184625564 
4600003255 227593031 190846404 
4700013406 231139350 193889163 
4800005332 231206944 193924367 
4900004206 231586838 194033478 
5000003906 232296895 194250693 
5100003620 233134434 194564273 
5200001732 233958754 194939335 
5300003085 234767508 195357951 
5400003012 235586444 195816564 
5500002347 236427838 196316423 
5600004244 237264941 196839190 
5700005759 238093408 197373930 
5800004839 238909116 197917942 
5900003748 239726470 198476712 
6000004777 240544297 199051470 
6100004751 241376569 199646201 
6200002794 242197035 200245165 
6300000005 243005803 200841256 
6400004666 243812341 201447873 
6500003979 244611471 202053609 
6600008255 245399136 202661867 
6700004206 246184393 203275556 
6800007412 249735868 206744829 
6900005893 253142289 210090009 
7000006129 257226281 214090474 
7100007477 260858189 217668586 
7200005299 264347594 221105646 
7300004319 268009245 224711531 
7400014897 271632814 228244519 
7500015192 272526484 229110971 
7600009800 273288089 229846041 
7700014506 274052041 230580998 
7800004792 275513824 231993206 
7900025182 276418243 232876967 
8000015906 277271983 233698827 
8100007284 278890533 235263672 
8200006268 279964861 236305504 
8300004036 281697833 237984287 
8400015452 282921987 239187359 
8500017063 283987801 240228843 
8600018229 285445946 241639033 
8700012546 286018558 242183528 
8800023923 286574391 242716666 
8900007704 287123572 243240725 
9000015544 287655163 243749614 
9100020771 288215415 244290387 
9200024170 289504527 245538341 
9300015629 290161791 246171608 
9400006222 290712170 246699591 
9500022861 291380966 247339958 
9600023965 292022797 247958439 
9700021543 293783316 249657017 
9800002496 294821958 250665908 
9900020067 296656343 252442559 
10000024318 297587667 253343869 
10100017758 298454609 254175317 
10200006924 300073923 255736934 
10300017464 301407569 257037841 
10400004518 302855610 258448552 
10500010363 304756727 260294357 
10600007588 306203309 261697697 
10700005015 308381687 263813123 
10800021311 310547643 265915951 
10900020638 312131406 267453908 
11000006297 314618219 269873343 
11100018169 317595400 272754314 
11200006984 319435681 274542649 
11300006941 322179515 277220638 
11400005956 325410877 280356594 
11500006057 328292881 283165607 
11600006816 331428620 286226744 
11700006447 334823468 289548938 
11800006032 337913581 292561181 
11900004461 340990026 295563817 
12000005379 344124923 298622164 
12100006665 347595118 302004130 
12200002700 351283580 305618632 
12300004164 354820047 309074339 
12400006322 358223798 312380736 
12500017143 361446116 315511852 
12600006055 364928207 318904524 
12700005549 368825897 322690635 
12800005874 372167498 325962422 
12900004278 375528325 329260856 
13000007151 378481208 332141035 
13100022241 382337964 335885109 
13200005699 384862174 338328233 
13300016865 386469449 339894721 
13400005842 389446990 342797839 
13500005170 393336025 346577587 
13600001944 394990803 348188590 
13700002663 398131614 351243412 
13800027658 401741064 354735796 
13900013245 404965288 357871282 
14000003793 408683481 361484028 
14100005367 412106898 364835126 
14200014638 415434245 368086663 
14300025143 419183085 371722672 
14400003595 422369019 374824724 
14500005806 426092440 378421682 
14600005273 429062817 381302580 
14700004137 432367904 384522995 
14800003960 436120890 388153663 
14900022280 439648326 391579529 
15000010810 443348014 395172360 
15100006176 446651800 398372176 
15200007948 449930220 401567758 
15300004713 453594420 405121007 
15400003698 456926647 408368314 
15500022417 460534591 411849166 
15600042119 463941338 415147708 
15700003497 467520367 418634282 
15800005406 471250654 422255153 
15900007771 474612775 425528423 
16000001164 478558632 429341194 
16100010345 481494339 432185183 
16200007223 484402164 434998332 
16300006422 487607924 438114453 
16400004223 491280302 441673392 
16500024652 494555513 444854046 
16600002653 498338775 448530938 
16700004854 501994368 452064535 
16800005225 505314295 455292369 
16900005831 508524030 458393816 
17000001614 512305066 462057981 
17100021764 515372674 465014545 
17200019481 518698008 468240014 
17300004076 522372627 471789355 
17400005623 525575471 474888317 
17500004628 528906827 478098135 
17600004049 532069616 481153538 
17700006251 534544122 483539909 
17800005948 538328190 487184019 
17900016308 541457403 490211001 
18000005102 544051777 492718921 
18100005492 547371576 495922856 
18200015127 551369118 499787454 
18300005440 555244903 503541468 
18400012235 558943357 507101747 
18500023638 562233324 510298744 
18600006645 565451216 513417628 
18700001825 568352790 516212692 
18800024279 572279788 519999856 
18900004160 575533944 523153793 
19000004029 579361289 526836228 
19100004414 582656118 530017079 
19200004187 585972332 533220679 
19300002804 589982818 537087509 
19400005316 593360518 540347333 
19500016297 597184413 544042629 
19600004015 600840647 547588423 
19700004946 604071739 550720522 
19800004967 607870602 554394259 
19900016059 611133201 557545552 
20000020475 614396288 560690532 
20100003393 618216511 564382519 
20200015604 621669984 567729808 
20300004707 624937043 570889931 
20400004070 628600894 574434367 
20500005639 632252040 577960665 
20600005574 635244736 580837202 
20700005759 638437388 583907944 
20800003932 641682636 587048029 
20900006930 645537962 590769519 
21000022699 648819290 593939051 
21100002683 651985959 596988296 
21200004318 655503456 600387899 
21300005907 659611320 604345323 
21400006147 662857212 607473787 
21500005007 666130480 610632287 
21600002594 669719391 614098691 
21700002186 673583134 617815861 
21800004691 677062619 621183743 
21900006866 680435151 624434357 
22000004826 684080051 627946936 
22100001671 687316270 631057997 
22200006719 691274138 634875160 
22300004848 694390209 637863166 
22400004089 697487612 640830508 
22500004906 700922787 644130345 
22600005325 704338163 647427471 
22700005428 708009994 650965372 
22800003425 711202305 654028710 
22900003865 715481918 658153737 
23000006064 719299133 661814168 
23100002240 722783664 665129132 
23200005386 725855375 668081851 
23300005053 728961999 671012275 
23400007735 732286422 674213882 
23500006566 735305708 677105766 
23600004237 738778949 680421182 
23700006004 742289367 683782449 
23800003309 745679800 686998522 
23900008222 749053147 690201269 
24000022728 752100856 693113332 
24100001941 754966694 695847285 
24200005595 757866724 698590281 
24300001388 760830022 701392557 
24400006964 762623732 702986308 
24500007209 766159106 706372733 
24600001870 769352079 709421794 
24700005315 772720747 712625026 
24800002945 775957349 715672510 
24900004821 779371379 718881103 
25000020419 782890009 722251513 
25100002349 785823161 725041691 
25200004430 788652147 727690863 
25300005001 792176478 731013908 
25400005195 795396216 734062790 
25500017922 797794947 736333079 
25600005226 800989645 739359860 
25700001839 804008010 742172598 
25800002521 806897527 744884780 
25900002165 810062531 747889259 
26000004627 813132379 750797952 
26100002013 816258903 753686478 
26200001585 819559779 756818418 
26300002190 822242303 759350077 
26400024874 825176835 762083440 
26500005584 828310729 765034423 
26600001994 831661395 768232199 
26700006838 833756803 770159232 
26800001619 836720195 772917720 
26900002564 839384260 775442722 
27000005970 841626559 777548393 
27100003059 844304125 780040322 
27200004330 846784539 782408237 
27300002704 849987426 785470417 
27400002297 852328747 787688496 
27500001854 855831670 791042160 
27600002336 858683912 793787615 
27700006678 860684482 795644974 
27800001684 863884090 798700548 
27900001775 867505153 802206586 
28000003368 870723762 805295534 
28100007094 873420443 807911454 
28200002083 876736033 811124377 
28300016530 879624698 813893450 
28400002573 882746800 816920138 
28500004470 885891270 819964104 
28600001909 888435637 822419116 
28700003625 891389492 825279628 
28800001942 895143506 828916022 
28900005000 898201116 831876755 
29000001735 901009496 834576059 
29100001751 904256029 837725147 
29200005429 906118043 839486262 
29300004945 909127130 842390604 
29400002520 911942109 845087805 
29500020034 915124602 848162418 
29600003398 917982793 850929653 
29700002289 920178254 853061163 
29800024626 923036031 855811473 
29900001907 926295681 858979826 
30000003995 928287609 860872976 
30100002701 931434022 863927757 
30200002439 934492157 866886171 
30300004899 937578562 869865068 
30400003840 940710503 872899773 
30500001167 944062717 876163006 
30600019388 947242763 879240334 
30700005553 950248812 882159335 
30800003146 953040437 884854791 
30900026150 955781943 887507938 
31000003418 957960852 889617554 
31100004311 961124317 892677694 
31200002264 964106069 895583465 
31300005043 966245879 897654819 
31400002206 969268062 900597902 
31500003432 972634138 903884270 
31600004613 975548811 906733683 
31700004269 979027615 910124195 
31800001830 981509766 912552111 
31900018757 985470200 916409568 
32000021729 988738850 919609865 
32100004592 992136375 922934447 
32200009938 995190922 925925449 
32300004216 998663128 929305241 
32400005542 1002455106 933014719 
