#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100042243 78120555 695434 656425 
200014294 155555861 699909 657274 
300008150 232553829 704045 658271 
400014236 309310281 707449 658832 
500009019 388308243 711948 660189 
600015420 466854254 715785 661310 
700012125 544447734 721398 663206 
800016378 618975383 724748 664409 
900011101 690353282 726397 665256 
1000009498 764960624 932181 868814 
1100010831 835907169 936050 871385 
1200016489 914757919 942783 874896 
1300015227 991406797 947995 876565 
1400025833 1068123026 951766 877482 
1500012169 1140521869 956250 879200 
1600013142 1217887744 961032 880628 
1700013576 1292579274 965210 881991 
1800012010 1371203221 968685 882915 
1900010735 1448115370 973972 884647 
2000011536 1527505279 978885 886510 
2100008959 1606668772 983657 888174 
2200012377 1683456001 990554 890584 
2300009191 1759791897 995506 892495 
2400011772 1835779168 1211952 1106262 
2500009289 1903796627 1214231 1107755 
2600012243 1971282441 1215856 1108419 
2700013110 2045813889 1428008 1317861 
2800019496 2117739389 1646566 1533659 
2900011201 2183055122 1647880 1534414 
3000025860 2256229818 1862833 1746747 
3100082897 2328584588 2067190 1947879 
3200019940 2401315486 2072068 1951227 
3300011723 2478839632 2074966 1952007 
3400006715 2555298903 2292826 2166639 
3500013781 2632417167 2296116 2167712 
3600012288 2709048951 2300952 2169177 
3700009911 2780012322 2523848 2388713 
3800009230 2850761527 2740660 2602302 
3900006953 2928230822 2745405 2605099 
4000010927 3004576026 2749926 2606577 
4100006479 3081808520 2958665 2811327 
4200010932 3150869556 3173457 3022998 
4300003957 3225168946 3178189 3025536 
4400010546 3291860802 3386469 3230928 
4500010659 3362860731 3813201 3652019 
4600034931 3430230483 4019719 3855463 
4700013154 3501976774 4238698 4070336 
4800014513 3569996039 4453448 4281615 
4900009197 3637333126 4667118 4491366 
5000022389 3706781754 5078680 4897611 
5100012042 3770623707 5300513 5116241 
5200013692 3838664600 5734731 5544702 
5300020553 3903673932 5945293 5751820 
5400013845 3971259026 6378265 6179703 
5500010753 4033367028 6586834 6385150 
5600017361 4099529463 6794520 6589071 
5700010141 4164764925 7108300 6898557 
5800015845 4229906485 7440483 7226542 
5900037794 4292515833 7647555 7430272 
6000011826 4356432913 8065081 7842216 
6100005406 4419390912 8498329 8270417 
6200010463 4482495087 8919170 8685693 
6300022858 4546094730 9128269 8891315 
6400022821 4608974580 9546570 9304052 
6500009352 4668055361 9759752 9514185 
6600017599 4733751309 10195566 9944457 
6700013810 4793953084 10416036 10161871 
6800029486 4856949437 10844404 10585664 
6900016645 4919646338 11053776 10791104 
7000031065 4981581487 11465461 11197440 
7100014693 5047658015 11894518 11620869 
7200005947 5109562849 12100655 11823486 
7300016242 5173638441 12516828 12234190 
7400007500 5237297905 12938625 12650253 
7500030688 5301181733 13354587 13060915 
7600041217 5362804661 13572706 13275724 
7700012366 5425796062 13986078 13683441 
7800027408 5488497465 14418922 14110896 
7900018079 5550756739 14847091 14533655 
8000010366 5612681997 15277638 14958661 
8100025967 5674776794 15729436 15404334 
8200021869 5740244577 16327740 15995079 
8300010231 5802904446 16758765 16420306 
8400026322 5869536712 17394087 17047598 
8500025439 5931054228 17834924 17482029 
8600014232 6013364528 18245182 17888781 
8700105066 6093076216 18246249 17889684 
8800011800 6172951013 18246980 17890319 
8900014729 6250998079 18249511 17892413 
9000015097 6332761735 18253451 17895165 
9100014287 6412776574 18260171 17899479 
9200011538 6491176783 18262874 17900995 
9300005774 6570870316 18263965 17901842 
9400019370 6645223441 18265810 17903413 
9500012555 6722476711 18267528 17904279 
9600011750 6801905805 18474236 18108084 
9700014235 6880752661 18475370 18108991 
9800011999 6953355766 18476503 18109722 
9900013844 7033125813 18481112 18113281 
10000018394 7112782262 18484540 18115872 
10100017427 7191480273 18689543 18318376 
10200012409 7266875339 18691738 18319942 
10300010348 7343779194 18692658 18320375 
10400012656 7422743273 18900152 18525022 
10500012342 7499670730 18902262 18526643 
10600012554 7574229129 19115082 18736161 
10700011391 7646901769 19117181 18737494 
10800011242 7721179881 19118007 18737833 
10900010981 7797764190 19321547 18938075 
11000011808 7868548825 19539225 19152478 
11100012272 7940239415 19540765 19153362 
11200011118 8014560585 19757653 19367304 
11300011867 8089535540 19760040 19368603 
11400018020 8162434669 19977130 19582310 
11500011497 8233053663 19978945 19583390 
11600012774 8306000892 20192004 19793535 
11700014940 8377555228 20403772 20001801 
11800009462 8447388068 20405617 20002830 
11900013650 8520367933 20610350 20204656 
12000014730 8593552971 20814903 20405663 
12100024802 8663067413 20817379 20407096 
12200006465 8735207324 21034661 20621685 
12300009310 8808000339 21247713 20831409 
12400011100 8875201547 21249444 20832329 
12500023473 8951865504 21453905 21033667 
12600018509 9026455657 21460525 21038345 
12700005223 9097111187 21670854 21245788 
12800010068 9167779965 21672227 21246638 
12900011736 9239030774 21887607 21458800 
13000021824 9311862726 22099664 21667938 
13100008546 9379033444 22101105 21668789 
13200025077 9449478305 22311223 21875612 
13300001811 9520520910 22531922 22092914 
13400007210 9592095813 22690968 22249741 
13500014068 9661230286 22940287 22495342 
13600009840 9726246906 22941853 22496233 
13700009445 9796016191 23155038 22706604 
13800012419 9862008027 23363085 22911162 
13900012158 9930375176 23567210 23112589 
14000013280 9995899137 23787299 23329431 
14100023791 10062873357 24006327 23545620 
14202112024 10128937283 24221930 23757820 
14300015887 10194121484 24430641 23963924 
14400031130 10258495297 24636575 24166328 
14500056998 10323948327 24852102 24378871 
14600021478 10387772142 25064850 24587931 
14700012270 10453426946 25271628 24791828 
14800026817 10517119496 25483255 25000121 
14900016209 10583150001 25917432 25428764 
15000014475 10648277112 26131293 25639421 
15100023948 10710637474 26360434 25864640 
15200018728 10776806448 26770602 26269933 
15300022768 10842847421 27192851 26686451 
15400020604 10908620096 27625494 27113628 
15500038236 10972059319 27832909 27317372 
15600020434 11037617639 28252493 27730983 
15700009667 11102823509 28675753 28148929 
15800009840 11167704626 29105172 28572439 
15900023890 11232818217 29515386 28976969 
16000027063 11297490584 29946426 29402282 
16100010328 11363115049 30452389 29901379 
16200012772 11437013546 30987982 30431157 
16300009918 11516144813 30989125 30431994 
16400007050 11594324759 30991839 30433784 
16500012647 11665031815 30995285 30436613 
16600011201 11735343283 31109915 30549507 
16700010572 11809246731 31210507 30648822 
16800011986 11882329678 31214732 30652386 
16900013985 11959708465 31222549 30657392 
