#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100016648 11937 8872 
200014632 28949 20407 
300010764 40043 25927 
400013439 48972 30045 
500009947 60377 36382 
600028109 71834 42534 
700017715 87500 50641 
800017235 100070 57576 
900010939 113600 67817 
1000010521 124467 76082 
1100007193 139494 86321 
1200009111 152979 92603 
1300013338 160157 96061 
1400014156 166722 99422 
1500013022 173422 100976 
1600014779 182984 105731 
1700016631 191567 109175 
1800015248 201850 114987 
1900012172 213534 121484 
2000012993 227481 129390 
2100011265 240307 136800 
2200012507 250322 141026 
2300009741 262082 146948 
2400010513 275982 157141 
2500013222 288492 165804 
2600010510 298875 172616 
2700012026 311051 181220 
2800021040 325518 190854 
2900011625 333937 195927 
3000028803 341877 201056 
3100011054 351620 207313 
3200011277 363112 213609 
3300010554 371142 217649 
3400012553 382876 224883 
3500013590 391158 228474 
3600011485 401464 232566 
3700027231 409378 236703 
3800018858 417982 241947 
3900013162 430132 249625 
4000015830 443304 255337 
4100011152 457271 263364 
4200202601 463058 266973 
4300025585 478423 275998 
4400014131 483281 278872 
4500017067 491441 283310 
4600029531 496752 286442 
4700011158 507493 291841 
4800011667 514711 295782 
4900019047 523674 299741 
5000024134 531572 303805 
5100009017 535503 305574 
5200010525 542551 309184 
5300020752 548695 312311 
5400022908 554473 315228 
5500008039 557761 316595 
5600007921 563932 319675 
5700007265 569659 322410 
5800013552 573588 324233 
5900041448 578563 326726 
6000020095 584007 329372 
6100028598 587513 330812 
6200018040 590936 332197 
6300010390 596011 334874 
6400012021 599569 336394 
6500025546 602073 337478 
6600026631 607944 340257 
6700015498 612115 342462 
6800012613 615689 343848 
6900023621 621535 346579 
7000033061 624584 347887 
7100027485 630062 350572 
7200018194 635223 353094 
7300009064 639956 355354 
7400015052 645494 358053 
7500009737 649801 360029 
7600027083 654550 362163 
7700025703 659230 364410 
7800010007 664273 366763 
7900009562 668807 368779 
8000029002 673532 370938 
8100009706 676708 372270 
8200009574 680670 373940 
8300017827 685518 376246 
8400026227 689303 377809 
8500025379 692497 379148 
8600018419 712361 396728 
8700014358 737672 416465 
8800011923 758953 433686 
8900014675 781453 451125 
9000012149 815557 474093 
9100013122 836480 484187 
9200010631 861978 502668 
9300010652 886966 524202 
9400010061 908264 541943 
9500014511 925972 556460 
9600017870 942516 569799 
9700014789 958977 582753 
9800012152 978720 598116 
9900011818 1010008 620218 
10000016807 1041060 642951 
10100011267 1060486 657511 
10200011391 1077619 670397 
10300011925 1088990 679067 
10400016599 1105197 691411 
10500011029 1124487 706132 
10600013613 1136409 713322 
10700015542 1146774 720994 
10800011826 1156608 728396 
10900023017 1172767 740193 
11000007558 1182059 746482 
11100015211 1189598 752036 
11200012717 1200661 760325 
11300016013 1220131 774676 
11400009914 1236344 785665 
11500019049 1243558 790915 
11600010180 1253262 798155 
11700015579 1264999 806168 
11800013817 1273578 812412 
11900012556 1281692 818094 
12000014390 1296087 828405 
12100021556 1306427 835738 
12200016341 1314791 841741 
12300008775 1326509 850399 
12400013822 1331116 853464 
12500011120 1344450 863619 
12600011497 1362783 874393 
12700015426 1372264 880637 
12800023007 1378761 885282 
12900011598 1389755 892485 
13000018650 1403500 901784 
13100018699 1407982 904820 
13200008657 1417222 910241 
13300015021 1427403 916005 
13400007945 1432934 919588 
13500021635 1440454 923844 
13600016356 1443698 925764 
13700009259 1451561 931249 
13800024975 1457968 934777 
13900015859 1462125 937171 
14000010283 1467370 940390 
14100020470 1470999 942337 
14200014175 1476666 945658 
14300014902 1480494 947743 
14400009526 1486160 950667 
14500028929 1489715 952405 
14600013472 1493206 954042 
14700024864 1498721 957176 
14800006480 1501972 958675 
14900028239 1505868 960397 
15000011498 1511330 963319 
15100010249 1514383 964640 
15200009260 1519982 967354 
15300019199 1523486 968869 
15400015126 1527043 970395 
15500005706 1532106 972936 
15600018722 1537314 975436 
15700012178 1540712 976920 
15800018353 1543964 978347 
15900025091 1547259 979759 
16000010641 1550645 981299 
16100006423 1553942 982727 
16200009260 1562136 989006 
16300012996 1583890 1007037 
16400011109 1605901 1022361 
16500015019 1619848 1032882 
16600007572 1635282 1045048 
16700010310 1649035 1055529 
16800015396 1669181 1070605 
16900014007 1690635 1083802 
17000011030 1700387 1091073 
17100012656 1712077 1100248 
17200010000 1727809 1111656 
17300013228 1739542 1119627 
17400005278 1751774 1128368 
17500009153 1762746 1135878 
17600012907 1775199 1144752 
17700026923 1787896 1152557 
17800014693 1798434 1159992 
17900014103 1807538 1165731 
18000024015 1820941 1174956 
18100021286 1833339 1182236 
18200007259 1846881 1191931 
18300009133 1869133 1204951 
18400014011 1876093 1209897 
18500011986 1886388 1215823 
18600014646 1892341 1219497 
18700024697 1901082 1224420 
18800039272 1908980 1229238 
18900025311 1913617 1231597 
19000023852 1919036 1234175 
19100013167 1924092 1236607 
19200016956 1927638 1238084 
19300010956 1931345 1239547 
19400023018 1935374 1241220 
19500022077 1938960 1242642 
19600007234 1942880 1244246 
19700012025 1947240 1246439 
19800028186 1951628 1248447 
19900011537 1955029 1249894 
20000030576 1958994 1251653 
20100013097 1962847 1253334 
20200056833 1966211 1254785 
20300010163 1984173 1269691 
20400009265 2007781 1288651 
20500008632 2029842 1304855 
20600020327 2056649 1320441 
20700012234 2077988 1330915 
20800011153 2103136 1343927 
20900012729 2128424 1357549 
21000012098 2148164 1366185 
21100010251 2170943 1377528 
21200017118 2191913 1387594 
21300012856 2213891 1397850 
21400010355 2240537 1412037 
21500015193 2270994 1430377 
21600010487 2291701 1446848 
21700014274 2322541 1470651 
21800010972 2347855 1483216 
21900014875 2365986 1491673 
22000011990 2387848 1508345 
22100010513 2396214 1515862 
22200017637 2412544 1529835 
22300011855 2432372 1546254 
22400016740 2449296 1558920 
22500012624 2473009 1577402 
22600013572 2499747 1591380 
22700019018 2516948 1597431 
22800011841 2535119 1604194 
22900011795 2557862 1615299 
23000011074 2575592 1623243 
23100011387 2595491 1632545 
23200013640 2616624 1642412 
23300010459 2625867 1644735 
23400016624 2635604 1647363 
23500013653 2647095 1650556 
23600012792 2655425 1652608 
23700008755 2668769 1657645 
23800012941 2681800 1664150 
23900012061 2700115 1672901 
24000009873 2720264 1682695 
24100010997 2745674 1700434 
24200009049 2760610 1712072 
24300011526 2767824 1717523 
24400011606 2777931 1725459 
24500014502 2791645 1735983 
24600009609 2811521 1750857 
24700013299 2833110 1763188 
24800011420 2857150 1776388 
24900012708 2877682 1785621 
25000014529 2894144 1797984 
25100009883 2910926 1809987 
25200012905 2917604 1815628 
25300009631 2929966 1825218 
25400005501 2944682 1836427 
25500009925 2965669 1852255 
25600010641 2989423 1867060 
25700012639 3009696 1878914 
25800013652 3025447 1890322 
25900012186 3032114 1895932 
26000022199 3044687 1905588 
26100010424 3058839 1916181 
26200016125 3075496 1928015 
26300011778 3102898 1943125 
26400011858 3125423 1959440 
26500011641 3141019 1971378 
26600014211 3161043 1983842 
26700011368 3180625 1994864 
26800010378 3188487 2001536 
26900011669 3201828 2011921 
27000012869 3216188 2023212 
27100017060 3233207 2035907 
27200013027 3259787 2053469 
27300009626 3282772 2065160 
27400012755 3303559 2077290 
27500011488 3319071 2088466 
27600028074 3335782 2101269 
27700020947 3348874 2111256 
27800012858 3367487 2125040 
27900022511 3389949 2138631 
28000013760 3403608 2148167 
28100011640 3416202 2157917 
28200021933 3428308 2166900 
28300013102 3445477 2179538 
28400009499 3467086 2192077 
28500030728 3488974 2202251 
28600009507 3508087 2215202 
28700011892 3518534 2222615 
28800010025 3528939 2230365 
28900016210 3540994 2239165 
29000012893 3559511 2250411 
29100012139 3574762 2258984 
29200011726 3586444 2267068 
29300011630 3595423 2273416 
29400012809 3614230 2285583 
29500009489 3632360 2293822 
29600010125 3645980 2300928 
29700010703 3653941 2306585 
29800012854 3663321 2313376 
29900029112 3681504 2325968 
30000016333 3692080 2331054 
30100011713 3700716 2337547 
30200013967 3711505 2344662 
30300009568 3722192 2349448 
30400010195 3727811 2353387 
30500005700 3740342 2361746 
30600009494 3746116 2365038 
30700020171 3753893 2370285 
30800009072 3770820 2381168 
30900007918 3785551 2389095 
31000028604 3791490 2393255 
31100013241 3804635 2401660 
31200009359 3811872 2405592 
31300010876 3818101 2409827 
31400019164 3826272 2414521 
31500011460 3830859 2417565 
31600009828 3842176 2425068 
31700008037 3850563 2430978 
31800010919 3858254 2436235 
31900010361 3872658 2444238 
32000016745 3876358 2446444 
32100011455 3883066 2450588 
32200035006 3886755 2452626 
32300026681 3898266 2458694 
32400015199 3902029 2460958 
32500010388 3911413 2466572 
32600020792 3918600 2471774 
32700010329 3925958 2475851 
32800007904 3931329 2479396 
32900013485 3944230 2486689 
33000010414 3947947 2488931 
33100007086 3959003 2494970 
33200010344 3962903 2497096 
33300031093 3975676 2504807 
33400012124 3979317 2506743 
33500012487 3989524 2512378 
33600016660 3994699 2515759 
33700013625 4001407 2519611 
33800009023 4008744 2524471 
33900009191 4013527 2527292 
34000016123 4020140 2530884 
34100025226 4024538 2533690 
34200023023 4032902 2538356 
34300018679 4036055 2540000 
34400010097 4038945 2541348 
34500016849 4042607 2542834 
34600017676 4048432 2546348 
34700012118 4051965 2548036 
34800030697 4061562 2554115 
34900016247 4065872 2555859 
35000021523 4073317 2560101 
35100018215 4078629 2562734 
35200023288 4081300 2563944 
35300030559 4086454 2566597 
35400022430 4092146 2569836 
35500012087 4095004 2571200 
35600017321 4099924 2573640 
35700018427 4101551 2574435 
35800009064 4104712 2575716 
35900008428 4106797 2576740 
36000020685 4111502 2579160 
36100020783 4114407 2580337 
36200009960 4115969 2581061 
36300010942 4133744 2596221 
36400015911 4149330 2608527 
36500013508 4169148 2625452 
36600016602 4189554 2641994 
36700010937 4220634 2661312 
36800023391 4246127 2673763 
36900012713 4269833 2685470 
37000014175 4290162 2693141 
37100016238 4309726 2699950 
37200015500 4330243 2707079 
37300012101 4358948 2725814 
37400010622 4388414 2745200 
37500010794 4406690 2755075 
37600009979 4431789 2770279 
37700015222 4449579 2780615 
37800016557 4466292 2788514 
37900014242 4489163 2800307 
38000013102 4507160 2809046 
38100011025 4527867 2824030 
38200016314 4543661 2838179 
38300012234 4555300 2847971 
38400017321 4576400 2864455 
38500010880 4591666 2877272 
38600012362 4602336 2886003 
38700013235 4622378 2899307 
38800092488 4642160 2907548 
38900010646 4660430 2914136 
39000012783 4678391 2920495 
39100010754 4699433 2935536 
39200013368 4712995 2946342 
39300014045 4722608 2954090 
39400009582 4737597 2966130 
39500010935 4750900 2976808 
39600020522 4753126 2978719 
39700027589 4753433 2978987 
39800019563 4753794 2979289 
39900019622 4754166 2979604 
40000030088 4754608 2979980 
40100015397 4754882 2980220 
40200009654 4760084 2983939 
40300014341 4791065 3005659 
40400009240 4814085 3016662 
40500006312 4835148 3026459 
40600014016 4860740 3042779 
40700008694 4881029 3054294 
40800014245 4891603 3062726 
40900012325 4892780 3063805 
41000016351 4893077 3064064 
41100015897 4893449 3064403 
41200027890 4893851 3064772 
41300017621 4894247 3065130 
41400020251 4894482 3065342 
41500010024 4902838 3071046 
41600014939 4915020 3080031 
41700019056 4921589 3085408 
41800017649 4922039 3085810 
41900019624 4922361 3086093 
42000011155 4922711 3086393 
