#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100134660 44711635 2498 463 
200028067 86471693 2755 590 
300028191 128612240 9319 2661 
400018209 170112146 9822 2823 
500030797 212524295 15985 5628 
600028394 263608449 20349 7023 
700028057 305218037 20789 7106 
800031326 347330392 27147 9825 
900003866 385367458 27254 9864 
1000027808 427255479 27775 9989 
1100027263 468968290 28176 10071 
1200039979 512193465 42624 15204 
1300025546 553317451 49717 20520 
1400026739 595145758 50218 20639 
1500028033 639815137 66467 29907 
1600028276 681560369 66963 30027 
1700003825 725231443 79239 37176 
1800029608 764958361 94271 41975 
1900029057 800777732 101980 44042 
2000019186 845429071 109288 47070 
2100027903 887120566 109672 47161 
2200029337 929098143 116968 50853 
2300028414 968411336 122831 54754 
2400027823 1010232430 123194 54845 
2500030105 1052007272 132526 61017 
2600011638 1102102572 133575 61548 
2700010655 1180878563 133678 61566 
2800014590 1260033612 133777 61586 
2900019247 1338043693 145892 70461 
3000016779 1378953795 146483 70559 
3100021103 1421449652 155652 77376 
3200030818 1459309022 156728 78190 
3300030440 1497146476 156769 78205 
3400030695 1534802561 156775 78207 
3500026192 1598433131 159433 78757 
3600016618 1641794223 162409 80321 
3700019252 1683185199 162974 80471 
3800026766 1727553168 184267 90644 
3900040663 1762614251 184295 90662 
4000027601 1800373557 193213 97713 
4100028790 1842119616 193544 97796 
4200018973 1884089394 201487 103885 
4300028625 1927643204 212802 111359 
4400027843 1969566532 213138 111421 
4500029587 2015894493 236288 122641 
4600029455 2052403930 243433 124981 
4700027640 2088322347 248475 126447 
4800037983 2123890062 252735 127677 
4900029354 2159739520 258254 129174 
5000031123 2195770064 265110 131041 
5100028471 2244396114 270422 134154 
5200028719 2286288278 270814 134276 
5300030292 2327280029 276708 136995 
5400027849 2365287160 283103 141749 
5500027620 2407184067 283481 141974 
5600025484 2450147940 290644 146600 
5700026260 2488376835 292451 147883 
5800012521 2554976551 293354 148120 
5900010707 2633307265 293421 148140 
6000010809 2713279356 293542 148181 
6100011689 2793166955 293639 148216 
