#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100049849 8813 3859 
200019677 13141 5976 
300021259 27928 14858 
400013797 41683 19353 
500018484 69856 38914 
600021370 104446 66251 
700011553 139531 86836 
800003375 312596 138229 
900021870 489789 190407 
1000020037 511284 201183 
1100019785 526886 210413 
1200019804 585315 261874 
1300016043 621907 285178 
1400016669 680247 312728 
1500056967 761550 343850 
1600004725 1075285 449994 
1700006664 1609033 605765 
1800003351 2235380 793664 
1900008938 2923291 1009120 
2000005234 3815184 1290753 
2100020142 5117944 1734117 
2200018788 5134702 1749105 
2300013803 5172904 1774267 
2400019886 5208128 1793493 
2500022172 5228165 1812536 
2600019764 5255532 1836956 
2700017390 5274691 1854679 
2800020600 5390526 1964862 
2900016500 5431043 2001419 
3000017418 5482466 2043773 
3100018295 5532430 2087302 
3200013037 5606527 2146390 
3300014863 5680526 2208435 
3400009294 5789951 2285455 
3500012761 5972209 2403140 
3600006852 6535537 2696552 
3700006683 8203030 3527567 
3800005575 11473682 4950167 
3900020214 12417156 5410040 
4000019996 12426382 5417588 
4100019777 12434752 5425585 
4200016681 12504673 5476610 
4300021504 12558652 5515177 
4400019320 12569269 5525360 
4500020242 12576931 5532413 
4600020531 12585057 5540249 
4700021002 12729041 5682878 
4800017775 12739345 5692654 
4900014404 12754442 5707111 
5000021588 12772980 5725053 
5100013083 12791896 5743269 
5200012583 12812568 5763154 
5300018759 12831638 5781029 
5400019812 12863113 5811847 
5500006216 12881088 5829137 
5600021420 12908758 5855810 
5700008339 12932692 5878805 
5800019531 12963954 5909195 
5900019396 12988766 5933081 
6000020576 13022107 5964857 
6100014534 13056108 5996864 
6200019840 13106693 6043389 
6300018729 13166178 6099578 
6400017433 13241622 6168990 
6500018074 13330208 6241363 
6600019903 13461745 6350932 
6700005434 13648518 6487841 
6800010256 14057663 6733531 
6900017932 14680758 7141595 
7000007904 15424498 7573441 
7100017221 16253885 8037572 
7200009033 17236749 8575748 
7300007465 18263753 9103212 
7400004220 19408693 9713565 
7500003265 20605187 10326728 
7600005452 21891608 10974497 
7700009325 23177276 11606654 
7800005835 24494405 12264642 
7900005847 26182777 13115040 
8000005932 28186252 14181358 
8100004819 30881228 15646067 
8200002718 34473014 17755751 
8300003109 38807509 20361173 
8400007545 41337210 21974187 
8500020391 41549623 22155714 
8600021436 41561518 22167275 
8700040613 41575622 22181031 
8800017221 41715549 22294404 
8900020243 41863107 22411498 
9000019810 42133308 22679141 
9100019272 42156881 22701877 
9200021069 42169204 22713925 
9300020677 42188272 22732515 
9400018953 42209205 22752816 
9500021940 42224179 22767288 
9600019877 42260582 22801584 
9700020215 42285435 22826096 
9800019833 42337852 22876113 
9900020081 42370051 22906435 
10000017881 42439856 22961726 
10100007863 42488981 22997339 
10200019630 42589326 23073456 
10300019516 42656520 23121978 
10400003122 42788098 23223963 
10500004839 42894639 23304503 
10600006619 43115607 23451216 
10700008794 43256182 23562533 
10800012128 43531789 23756420 
10900019745 43653439 23838575 
11000017381 43958743 24079724 
11100020864 44189734 24238373 
11200011950 44445434 24427517 
11300003556 44751397 24651403 
11400005083 44928042 24787634 
11500006007 45328044 25100327 
11600008249 45617108 25311300 
11700015677 45868575 25502534 
11800010581 46243802 25789611 
11900020941 46513726 25987164 
12000006892 46698248 26143395 
12100006427 47118827 26475862 
12200006641 47582229 26833320 
12300004193 47898524 27082551 
12400008434 48344490 27434746 
12500005957 48822484 27802139 
12600007174 49289194 28158828 
12700015026 49682509 28470645 
12800006965 50001464 28704946 
12900005673 50301786 28939996 
13000010142 50737229 29269401 
13100006261 51042842 29493345 
13200018444 51351918 29726891 
13300015695 51799572 30061725 
13400006650 52194166 30359076 
13500007662 52466041 30555914 
13600004620 52967978 30955591 
13700006446 53544893 31417082 
13800017683 54096780 31840620 
13900007316 54611687 32235039 
14000005232 55089459 32621415 
14100003218 55644663 33054515 
14200005596 56218282 33513149 
14300007577 56782794 33942427 
14400005577 57265880 34327172 
14500008156 57795658 34762921 
14600008384 58394197 35228443 
14700005564 58968885 35675312 
14800006619 59514422 36098381 
14900011271 60033502 36516985 
15000009080 60658064 37020951 
15100007206 61285516 37514493 
15200008980 61911083 37994874 
15300005810 62455752 38421300 
15400020317 63045700 38900696 
15500003308 63666411 39401801 
15600003231 64298599 39908844 
15700006419 64895865 40369095 
15800004277 65405346 40764954 
15900003278 66020515 41265116 
16000005523 66675648 41801584 
16100003093 67316979 42322290 
16200003368 67932381 42801670 
16300003978 68525937 43255099 
16400006934 69144537 43768777 
16500017542 69803335 44314065 
16600006484 70460171 44853099 
16700003869 71095466 45356682 
16800006191 71715082 45849414 
16900005717 72313120 46319780 
17000007066 72927383 46804971 
17100006671 73507410 47248445 
17200004046 74063804 47668054 
17300005851 74507859 48014146 
17400006363 75039622 48442873 
17500006387 75687587 48956420 
17600006924 76279103 49414880 
17700006033 76835943 49838259 
17800008600 77350605 50226767 
17900005434 77899718 50668306 
18000007832 78552854 51192324 
18100006647 79184866 51690339 
18200006288 79778702 52153972 
18300005748 80325229 52574990 
18400003306 80883712 53026099 
18500012961 81594473 53600606 
18600003324 82289484 54160059 
18700005433 82976797 54700861 
18800003224 83793345 55347326 
18900005264 84861521 56194844 
19000005731 86468910 57457771 
19100005662 88931018 59189006 
19200004546 92174484 61385048 
19300004741 96153781 64137588 
19400003328 100845460 67667187 
19500003344 105769638 71408715 
19600004084 110816868 75314417 
19700003917 115916810 79160349 
19800008457 118530387 81274808 
19900007942 119176818 81851156 
20000018490 119348442 82005451 
20100020334 119351829 82008601 
20200035395 119352929 82009596 
20300007123 119440990 82092583 
20400016705 119626005 82252229 
20500009060 119747659 82363622 
20600018330 119856105 82454476 
20700020736 119860721 82458975 
20800010381 119868040 82466067 
20900021218 119877341 82475147 
21000018766 119879317 82477020 
21100021112 119881081 82478678 
21200021106 119883963 82481411 
21300022192 120393054 82987433 
21400021292 120396790 82990959 
21500021444 120404298 82998187 
21600020202 120407092 83000832 
21700021285 120415085 83008668 
21800019419 120419875 83013303 
21900021108 120431791 83025025 
22000020679 120437094 83030081 
22100019031 120451058 83043797 
22200020260 120456255 83048859 
22300020278 120460145 83052636 
22400020126 120465187 83057507 
22500019653 120469409 83061512 
22600019839 120473358 83065317 
22700021701 120477171 83068955 
22800017246 120480555 83072196 
22900020091 120484634 83076086 
23000021294 120489283 83080508 
23100021054 120497813 83088539 
23200019624 120504793 83095193 
23300021556 120519555 83109268 
23400006013 120530151 83119383 
23500019524 120542895 83131960 
23600019442 120552972 83141672 
