#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100063248 2164 612 
200012070 2164 612 
300024598 2164 612 
400026057 2164 612 
500025296 2164 612 
600025695 2164 612 
700024724 2241 636 
800025477 2241 636 
900025452 2241 636 
1000025315 2241 636 
1100025948 2241 636 
1200025893 2242 637 
1300025784 2243 637 
1400037659 6993 2786 
1500004330 8166468 4273285 
1600004284 10975692 5743710 
1700029788 18534819 9685619 
1800004343 22552422 11781772 
1900024703 27801226 14519054 
2000017158 28178380 14784023 
2100028496 28195271 14799742 
2200018096 28211325 14814737 
2300000056 28214245 14817225 
2400017224 28215255 14817963 
2500024905 28225728 14827558 
2600021135 28249232 14849100 
2700027758 28272247 14869970 
2800029416 28295938 14891255 
2900009913 28645400 15238085 
3000008757 29508527 16095895 
3100022563 29527510 16114234 
3200024281 29537727 16123107 
3300021741 29863652 16442632 
3400022709 29914554 16491239 
3500020591 29965075 16539584 
3600010293 30259578 16820544 
3700008996 31442316 17969091 
3800025379 31546931 18069924 
3900024762 31556569 18078510 
4000009361 32527665 19004226 
4100025225 33596383 20012886 
4200027046 33619529 20033786 
4300024886 33642556 20055028 
4400026686 33665726 20075589 
4500008666 33809156 20217090 
4600009090 34676502 21078814 
4700024290 34901704 21302680 
4800024409 34912418 21312493 
4900020351 35225114 21619201 
5000023221 35276233 21668005 
5100018860 35327324 21717043 
5200008806 35409162 21794854 
5300007416 36585201 22933457 
5400025376 36919597 23255992 
5500023823 36929635 23265333 
5600009096 37446893 23766702 
5700009539 38876969 25123158 
5800027780 38987004 25214826 
5900027848 39009848 25235616 
6000027817 39033150 25256615 
6100030456 39056281 25277674 
6200010028 39840476 26056284 
6300025031 40272085 26485886 
6400023422 40284194 26497296 
6500003881 40399721 26609133 
6600022729 40627282 26832762 
6700021221 40676079 26879464 
6800018314 40724020 26924945 
6900009392 41708590 27878877 
7000024234 42271353 28421850 
7100024745 42287030 28436919 
7200022832 42297010 28445230 
7300009771 43802908 29879165 
7400029763 44341908 30384802 
7500031013 44364762 30405841 
7600026202 44388065 30427107 
7700024876 44411607 30448367 
7800007597 44864387 30898210 
7900022862 45630037 31659033 
8000026596 45642307 31670717 
8100025842 45652422 31679436 
8200022338 45981830 32002478 
8300021251 46029333 32047823 
8400018003 46077421 32093608 
8500008061 46476136 32474182 
8600025141 47636945 33601336 
8700025249 47652778 33616756 
8800023103 47663236 33625783 
8900009064 48742122 34647222 
9000025369 49704729 35561818 
9100024232 49727615 35582732 
9200025799 49750686 35603911 
9300253397 49773994 35624823 
9400008661 50023235 35871711 
9500009377 50888108 36731309 
9600023300 51007401 36849535 
9700024859 51017989 36858929 
9800019970 51336027 37170615 
9900017144 51383734 37216091 
10000022981 51432305 37262698 
10100009487 51622190 37443589 
10200008744 52799381 38584893 
10300025001 53017680 38795378 
10400027815 53027367 38804128 
10500007177 53652748 39398130 
10600028626 55064781 40737780 
10700025719 55087646 40758760 
10800026054 55110445 40779607 
10900025050 55133822 40800530 
11000010123 55176579 40841504 
11100009402 56046469 41706290 
11200024125 56369919 42028232 
11300025149 56383867 42041205 
11400019138 56692946 42344516 
11500023132 56741637 42390965 
11600022441 56790563 42437791 
11700022480 56837821 42482371 
11800009534 57941106 43549071 
11900021104 58382736 43974674 
12000021269 58400059 43991241 
12100009302 58575116 44160601 
12200004399 60119303 45628523 
12300026384 60464184 45949902 
12400027008 60487037 45970674 
12500023415 60510270 45991878 
12600022711 60533527 46013028 
12700009448 61224552 46698922 
12800023522 61751890 47223865 
12900025838 61765122 47236503 
13000023845 61774864 47244810 
13100020086 62110993 47573918 
13200023654 62159546 47620440 
13300020468 62208072 47666728 
13400010252 62722209 48158126 
13500024810 63759936 49168461 
13600024558 63775629 49183674 
13700022800 63785583 49192026 
13800004444 65166830 50504240 
13900024731 65828949 51130642 
14000028458 65852334 51152160 
14100029095 65875165 51172808 
14200027741 65898659 51194001 
14300008985 66259352 51551891 
14400022988 67119395 52406602 
14500022470 67131958 52418570 
14600024219 67142217 52427460 
14700019023 67466659 52746176 
14800017747 67515008 52792186 
14900018239 67562902 52838089 
15000009711 67866880 53128457 
15100008089 69049205 54275402 
15200025309 69140292 54363234 
15300020107 69149758 54371652 
15400009399 70132750 55309828 
15500026985 71190867 56307599 
15600023706 71214220 56328787 
15700020767 71237029 56349920 
15800026430 71260122 56370417 
15900009278 71414543 56522733 
16000008889 72281875 57384162 
16100024823 72496212 57597228 
16200024845 72507661 57607557 
16300023164 72821929 57915762 
16400019642 72870643 57962181 
16500021362 72918581 58008114 
16600009237 73009105 58094202 
16700009353 74185552 59233810 
16800025483 74507820 59544698 
16900025272 74517763 59553901 
17000001774 75045599 60065764 
17100002139 76484029 61425887 
17200026984 76573365 61504106 
17300028936 76596216 61524929 
17400027208 76619182 61545743 
17500030577 76642876 61567511 
17600009764 77438522 62357669 
17700026077 77858367 62775694 
17800021946 77870563 62787259 
17900018950 78039494 62950387 
18000019047 78220676 63129279 
18100078473 78269348 63175864 
18200019553 78316403 63220466 
18300008309 79316929 64189136 
18400024873 79865159 64717299 
18500015861 79882950 64734431 
18600016003 79894746 64744547 
18700012174 81413803 66190224 
18800024126 81948157 66692091 
18900027480 81971111 66713163 
19000026340 81994406 66734474 
19100027865 82017906 66755616 
19200009491 82484355 67219045 
19300025394 83236679 67966473 
19400024233 83250201 67979389 
19500024314 83261849 67989373 
19600017939 83593345 68314695 
19700023564 83640820 68360103 
19800019526 83688800 68405814 
19900009666 84103108 68801163 
20000021401 85247896 69913361 
20100026706 85263857 69928933 
20200018726 85273859 69937600 
20300006919 86372472 70973865 
20400023672 87318410 71877759 
20500024350 87341411 71898722 
20600032250 87364604 71919992 
20700026888 87387674 71940725 
20800009255 87650538 72201133 
20900008549 88515938 73061207 
21000022264 88623588 73167818 
21100025257 88634277 73177318 
21200023223 88954414 73491074 
21300018576 89002529 73536913 
21400017690 89050562 73582947 
21500008475 89252695 73775388 
21600008489 90431048 74918460 
21700022463 90633327 75113475 
21800286406 90643062 75122299 
21900007799 91278424 75726124 
22000025535 92680868 77056771 
22100025309 92704365 77078269 
22200022608 92727295 77099269 
22300029613 92750790 77120261 
22400010818 92807260 77174853 
