#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100086480 1825 315 
200035895 1893 358 
300039299 1987 430 
400035568 2069 492 
500035878 2345 742 
600034295 2641 1010 
700037221 4241 2507 
800035352 6476 4488 
900037332 24246 17723 
1000037450 48313 37491 
1100038036 195181 168485 
1200037677 393350 354982 
1300036877 787187 732873 
1400007464 1476048 1407495 
1500004959 1706298 1637126 
1600008674 2947555 2862687 
1700036115 3156920 3070507 
1800006252 5058428 4929039 
1900008387 5733352 5590566 
2000006767 6274972 6129431 
2100019429 6633443 6485660 
2200009249 7221564 7072219 
2300017971 7706227 7554532 
2400010522 8440408 8286030 
2500018134 9103747 8946161 
2600009514 9609932 9450373 
2700019938 10319268 10156954 
2800010628 10822757 10658555 
2900016712 11733768 11566111 
3000016756 11835831 11667743 
3100017209 12306334 12136207 
3200016658 12853712 12681661 
3300011013 13103928 12931116 
3400019785 13470727 13296402 
3500019750 13783834 13608316 
3600016579 14340951 14163405 
3700014315 14467403 14289454 
3800063493 15208275 15027748 
3900016207 15498123 15316470 
4000017443 15885284 15702122 
4100019019 16183768 15999360 
4200009377 16542346 16356958 
4300019354 16777665 16591162 
4400018070 17224706 17036702 
4500014484 17359472 17170860 
4600024279 17506637 17317388 
4700032797 17518176 17328826 
4800035351 17518286 17328917 
4900018417 17716257 17526144 
5000024022 18719860 18526919 
5100023871 19551892 19356420 
5200019445 20199515 20001254 
5300009609 20985614 20784811 
5400009908 21712682 21509397 
5500019234 22830277 22623749 
5600019883 23441162 23232529 
5700009781 24136113 23924738 
5800017383 24690865 24477186 
5900021391 25290480 25074233 
6000017843 25874047 25655148 
6100009971 26510752 26289187 
6200019099 27098306 26874076 
6300017793 27898904 27671841 
6400018364 28409750 28180769 
6500014766 28526354 28296873 
6600018794 29030379 28798905 
6700016275 29448324 29215346 
6800017979 29902076 29667283 
6900015863 29961054 29725758 
7000019658 30507126 30269667 
7100016337 30916926 30677942 
7200019472 31377067 31136333 
7300015390 31750467 31508227 
7400022011 32044438 31800804 
7500018522 32408066 32162921 
7600016614 32716496 32470001 
7700022492 33012328 32764551 
7800022407 33234798 32986019 
7900013900 33337356 33088085 
8000020961 33472769 33222799 
8100034834 33509248 33258984 
8200032745 33509389 33259082 
8300033928 33509442 33259116 
8400009801 34487947 34234589 
8500022501 35264162 35008296 
8600016395 36065184 35805737 
8700018399 36642422 36380069 
8800025226 37406908 37141768 
8900009472 38406300 38137928 
9000017811 39154120 38882516 
9100018845 39764263 39489604 
9200020138 40362850 40085363 
9300016785 40975981 40695463 
9400017650 41572839 41289474 
9500018195 42176387 41890123 
9600017488 42785563 42496325 
9700017945 43568581 43275921 
9800009932 43956933 43662311 
9900015906 44156615 43859631 
10000021672 44700478 44400815 
10100019347 45075437 44773696 
10200015750 45376649 45073284 
10300019498 45652256 45347210 
10400016758 46191593 45883777 
10500014720 46522497 46212793 
10600018159 47040847 46728610 
10700023527 47348808 47034843 
10800017960 47734092 47417982 
10900019080 48245274 47926655 
11000017632 48550394 48229962 
11100018970 48632028 48310623 
11200018599 48757228 48434803 
11300018700 49026682 48702755 
11400017142 49197771 48872774 
11500022857 49286385 48960340 
11600035501 49289244 48963044 
11700032956 49289334 48963108 
11800018888 49545369 49218208 
11900020169 50498534 50168175 
12000166411 51336517 51002516 
