#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100018688 2175 388 
200027891 30439 28510 
300020663 230859 226517 
400017937 263441 258972 
500018851 266082 261387 
600018079 267971 263103 
700017210 269512 264506 
800016897 271671 266525 
900016847 273985 268619 
1000015924 275923 270368 
1100017606 277896 272203 
1200018593 279534 273713 
1300017905 282528 276511 
1400016270 284558 278355 
1500019208 286171 279812 
1600018503 287595 281092 
1700017870 290223 283525 
1800017258 292753 285851 
1900017047 294519 287474 
2000019169 296237 289052 
2100016617 298705 291340 
2200003585 300991 293416 
2300017917 302653 294941 
2400003016 304250 296407 
2500006519 306625 298599 
2600015856 309216 300968 
2700017165 310815 302428 
2800016266 312743 304214 
2900016184 315059 306341 
3000018904 317766 308832 
3100017382 319481 310407 
3200019505 321191 311984 
3300015666 323359 313988 
3400017074 326184 316564 
3500015143 327822 318071 
3600016410 329678 319769 
3700018081 331945 321886 
3800015776 334551 324268 
3900017230 336233 325793 
4000017823 337921 327337 
4100013420 339892 329157 
4200017349 342591 331624 
4300018238 344294 333172 
4400017049 345963 334702 
4500018425 348272 336860 
4600017964 350955 339317 
4700016953 352725 340926 
4800016221 354509 342577 
4900018046 356851 344763 
5000017735 359343 347038 
5100019307 361348 348856 
5200016039 363111 350481 
5300016443 365203 352435 
5400018235 367691 354710 
5500017215 369508 356338 
5600018443 371137 357829 
5700019281 373146 359684 
5800018826 375495 361813 
5900016821 377893 364027 
6000017412 379574 365567 
6100014446 381527 367375 
6200016629 384231 369878 
6300015961 386276 371732 
6400183171 387878 373191 
6500018066 389338 374502 
6600007246 391959 376926 
6700015973 394148 378903 
6800017590 396231 380841 
6900018958 397829 382285 
7000011689 400492 384757 
7100016625 402756 386810 
7200016690 404201 388121 
7300017249 405852 389634 
7400015686 408213 391823 
7500019445 410840 394226 
7600014624 412462 395691 
7700017031 414080 397162 
7800017121 416392 399297 
7900016873 418892 401572 
8000017636 420576 403105 
8100017448 422086 404471 
8200018524 424259 406487 
8300018402 427296 409284 
8400017236 428838 410693 
8500017528 430510 412220 
8600018463 432739 414297 
8700015905 435351 416667 
8800017838 437095 418259 
8900018075 438488 419508 
9000019129 440672 421544 
9100010599 443377 424018 
9200015632 445458 425956 
9300017728 447190 427536 
9400018088 449904 430059 
9500017309 453002 432849 
9600018094 455223 434886 
9700002941 457138 436638 
9800017350 459195 438549 
9900018467 461956 441074 
10000003028 463712 442648 
10100017849 465728 444523 
10200014475 467999 446658 
10300018569 470395 448849 
10400015850 472356 450619 
10500002703 474337 452466 
10600017093 476273 454254 
10700011748 478636 456412 
10800019156 480601 458191 
10900016374 482373 459836 
11000002863 484097 461434 
11100006204 487033 464167 
11200017256 488916 465862 
11300016041 490530 467331 
11400018559 492403 469048 
11500005146 495083 471528 
11600017703 497371 473601 
11700018403 499080 475156 
11800019562 501088 476991 
11900016152 503771 479471 
12000140799 506565 482012 
12100018995 508527 483779 
12200017163 510070 485182 
12300019039 512477 487394 
12400016690 515074 489767 
12500016703 516631 491176 
12600019454 518416 492823 
12700018378 520764 495006 
12800017420 523285 497300 
12900017387 524929 498808 
13000016446 526431 500166 
13100017484 528627 502194 
13200017604 531250 504581 
13300016536 533066 506246 
13400017759 534635 507666 
13500012590 537054 509934 
13600017030 539714 512357 
13700119143 541264 513772 
13800017777 542727 515092 
13900016604 544771 516990 
14000017029 547466 519452 
14100017138 549196 521030 
14200017418 550814 522510 
14300017647 553095 524634 
14400015441 555782 527082 
14500017654 557582 528722 
14600016974 559531 530537 
14700017199 561488 532343 
14800016122 564190 534816 
14900015034 565920 536374 
15000017016 567554 537866 
15100016579 569806 539978 
15200015896 572231 542189 
15300016677 574180 543965 
15400016601 575710 545360 
15500016428 577826 547323 
15600017369 580235 549533 
15700017468 582145 551249 
15800017935 583873 552841 
15900003136 586489 555288 
16000018106 589619 558166 
16100018843 591992 560325 
16200017663 593873 562025 
16300016351 595537 563538 
16400017415 598291 566091 
16500018643 600704 568300 
16600018178 602401 569854 
16700016609 604031 571329 
16800018778 606700 573797 
16900017089 608940 575829 
17000017934 610494 577242 
17100018805 612186 578795 
17200015843 614473 580892 
17300017085 617320 583513 
17400018724 619021 585083 
17500018072 620635 586561 
17600015850 623042 588797 
17700015407 625535 591074 
17800018478 627454 592848 
17900017508 628845 594100 
18000009387 631145 596214 
18100018288 633940 598776 
18200018870 635613 600317 
18300017169 637232 601793 
18400016867 639680 604081 
18500017355 642365 606543 
18600018499 644445 608475 
18700017750 645915 609799 
18800017718 647917 611651 
18900018222 650611 614110 
19000017436 652206 615555 
19100018403 654044 617256 
19200014446 656185 619255 
19300013998 658961 621799 
19400019095 660644 623319 
19500016789 662309 624837 
19600017210 664207 626593 
19700012835 666908 629062 
19800015137 668637 630622 
19900016814 670243 632096 
20000017836 672431 634123 
20100014739 675030 636512 
20200015429 677265 638542 
20300017967 679314 640407 
20400018944 681615 642545 
20500017209 683989 644713 
20600017580 686268 646802 
20700016538 688017 648406 
20800015915 690189 650426 
20900016444 692458 652499 
