#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100073965 7040 1810 
200017369 9233 1983 
300000615 10901 2285 
400009837 12234 2435 
500016495 13791 2633 
600027137 16291 2929 
700009801 20844 3718 
800002273 28683 4772 
900027335 41732 6319 
1000008287 66796 8084 
1100026603 111317 11214 
1200007823 187640 17117 
1300028207 308841 27169 
1400027286 484310 42644 
1500021846 739539 67374 
1600005788 1082045 103586 
1700004967 1523405 154245 
1800024847 2077300 223044 
1900001631 2760226 317203 
2000000639 3572388 437933 
2100029658 4511415 589619 
2200027676 5674216 792159 
2300005224 6943091 1028419 
2400005049 8386685 1317785 
2500033451 9928022 1648679 
2600005112 11630235 2033968 
2700005038 13467252 2475108 
2800032355 15421952 2967983 
2900003915 17409470 3500436 
3000003994 19553415 4099763 
3100004457 21789867 4756329 
3200004882 24108521 5464848 
3300004003 26511019 6228791 
3400007422 28979568 7045772 
3500001552 31526783 7915679 
3600037874 34108115 8835760 
3700017971 36765901 9806060 
3800036305 39501247 10836606 
3900040965 42254848 11899644 
4000033080 45080879 13027936 
4100003299 47977108 14211668 
4200004102 50848042 15406401 
4300022359 53856572 16689875 
4400004169 56855571 17993060 
4500004085 59853416 19327284 
4600003870 63034752 20767450 
4700003699 66116149 22185830 
4800027825 69321975 23684389 
4900003735 76735806 26943523 
5000003605 85982358 30958119 
5100004418 95253167 34985020 
5200003903 104535175 39006090 
5300003609 113829329 43022854 
5400004193 123138413 47035792 
5500010160 132472178 51050889 
5600003741 141836645 55089766 
5700003243 151255457 59140099 
5800004739 160748269 63228361 
5900003632 170307153 67349728 
6000003630 179914659 71495119 
6100003040 189565313 75662794 
6200003686 199283960 79866496 
6300003743 209082891 84109652 
6400003955 218918879 88373661 
6500003015 228842045 92689245 
6600003671 238852158 97048717 
6700034261 246942248 100562011 
6800009347 247045002 100620613 
6900032922 247606107 100887975 
7000003771 250650605 102260286 
7100032904 253697879 103632981 
7200036599 256571909 104927399 
7300034328 258445061 105779886 
7400003743 260350322 106643398 
7500003344 262292463 107527993 
7600003685 264213468 108402964 
7700003844 266145882 109279400 
7800003345 268079609 110158587 
7900003234 270012392 111036424 
8000003604 271943896 111911544 
8100003521 273873927 112787428 
8200003655 275802706 113665623 
8300033296 277723704 114537479 
8400031779 279584533 115381916 
8500040873 281444136 116226316 
8600037576 283303121 117068003 
8700003347 285185542 117920282 
8800004420 287078382 118780143 
8900004167 288994679 119648102 
9000004022 290912491 120518044 
9100003296 292829234 121384857 
9200003753 294745386 122250422 
9300004008 296660308 123115149 
9400003844 298574613 123981685 
9500004724 300487968 124847373 
9600018667 302422110 125720660 
9700037933 304270536 126556427 
9800036003 306118824 127392289 
9900029319 307967041 128226525 
10000003987 309814937 129060855 
10100003707 311722949 129921234 
10200003677 313631966 130782139 
10300003470 315539222 131658160 
10400004166 317448019 132520133 
10500003018 319354963 133379081 
10600039705 321266556 134240664 
10700040428 323180272 135104159 
10800003545 325068817 135953127 
10900003834 326969475 136807668 
11000010416 328872033 137659565 
11100039516 330721200 138489408 
11200031739 332746448 139405228 
11300037552 334959340 140401236 
11400004290 336886121 141272177 
11500034877 339099835 142271629 
11600001185 341008655 143128462 
11700003806 343168374 144103819 
11800039658 345109298 144975864 
11900034250 347298962 145968652 
12000021369 349346597 146890816 
12100003913 351404832 147822986 
12200040619 353576125 148801983 
12300028794 355535101 149692849 
12400038542 357725917 150681431 
12500003753 359640811 151544560 
12600003953 361828480 152534980 
12700003921 363754711 153405187 
12800032434 365953502 154399816 
12900033897 367971053 155312321 
13000004383 370065799 156261592 
13100036293 372213344 157229766 
13200003705 374210452 158136359 
13300003532 376406775 159128836 
13400033067 378354918 160008534 
13500004005 380552815 161004357 
13600041539 382507962 161892095 
13700003860 384707294 162891747 
13800039144 386665753 163777876 
13900003234 388867103 164777173 
14000032550 390923842 165708759 
14100003628 393075116 166683625 
14200031342 395097906 167598693 
14300012297 396966819 168446824 
14400004135 399074133 169405406 
14500039368 401060075 170308309 
14600032010 403064948 171218713 
14700003696 405071326 172131741 
14800003776 407076812 173045759 
14900015630 409341695 174072772 
15000382091 411279622 174952635 
15100028023 413159077 175808113 
15200033752 415270915 176769998 
15300003494 417384704 177730982 
15400032554 419456258 178674266 
15500029441 421475353 179589838 
15600003667 423485964 180501621 
15700004099 426579268 181872979 
15800003233 435247246 185506893 
15900003482 443852501 189108606 
16000003244 452433460 192719249 
16100003189 460961661 196335351 
16200003066 469428371 199917615 
16300004320 477839919 203474519 
16400004238 486176086 206969279 
16500003776 494440527 210417951 
16600003813 502644757 213831999 
16700004147 510778639 217179015 
16800003327 518849520 220500341 
16900003434 526856654 223783052 
17000003600 534793672 227030803 
17100003860 542674679 230260094 
17200003600 550495980 233437130 
17300003209 558274196 236594984 
17400007248 566013683 239739063 
17500004709 573718913 242856833 
17600003168 581406584 245965314 
17700004972 589065049 249050553 
17800004011 596727125 252124431 
17900004133 604376073 255179356 
18000006176 612054070 258247828 
18100003588 619753201 261299673 
18200003451 627439950 264333885 
18300003111 635153019 267364213 
18400003475 642883107 270395488 
18500004033 650626515 273432503 
18600004434 658392419 276478459 
18700004399 666184794 279536066 
18800031415 674020276 282616881 
18900003288 681892130 285723852 
19000003435 689813906 288867079 
19100012795 697794512 292038662 
19200004152 705825582 295252862 
19300004894 713941382 298510472 
19400003117 722123736 301820407 
19500004150 730377237 305179511 
19600004207 738701909 308583336 
19700003504 747099719 312034035 
19800004721 755573083 315549712 
19900003856 764112922 319109759 
20000003691 772738311 322724588 
20100004037 781445271 326375474 
20200004013 790204924 330095945 
20300003040 799042561 333843512 
20400003529 807919604 337653414 
20500003396 816845363 341484489 
20600004052 825830440 345345027 
20700004297 834836861 349232112 
20800004473 843864479 353117167 
20900003486 852913687 357005995 
21000006663 861037913 360592021 
21100004945 862974080 362218167 
21200005499 864895039 363863295 
21300005769 866882724 365546034 
21400003530 868866445 367210209 
21500002905 870870373 368882354 
21600002797 872924521 370582326 
21700003719 875048416 372342601 
21800005935 877056948 374012363 
21900004223 879045424 375657599 
22000005034 881020148 377316831 
22100004091 882948467 378909602 
22200004511 884833552 380421172 
22300004662 886706486 381926591 
22400003657 888468674 383346758 
22500012312 890255086 384749721 
22600004570 891680865 385872579 
22700003985 893215450 387083065 
22800004919 894734877 388243354 
22900004411 896364378 389562461 
23000004920 897905606 390788691 
23100003983 899705791 392296684 
23200003781 901406004 393681679 
23300004158 903220630 395189478 
23400005391 905027875 396684234 
23500005180 906887942 398241283 
23600006777 908739149 399778073 
23700004606 910536017 401286887 
23800008427 912473967 402884125 
23900007089 914330912 404438570 
24000005259 916210552 405979944 
24100006684 918014467 407484059 
24200006000 919933165 409086799 
24300003802 921414970 410263343 
24400002707 922916496 411414286 
24500000657 924694583 412907042 
24600005302 926523148 414427173 
24700004229 928315218 415922269 
24800006035 929995198 417300865 
24900006001 931599343 418567718 
25000003682 933408971 420098136 
25100000829 935128243 421527209 
25200007563 936984510 423060535 
25300004318 938858446 424565427 
25400006927 940705108 426077186 
25500005125 942565682 427622245 
25600001036 944294659 429047529 
25700003869 946100435 430560836 
25800005929 947750488 431893016 
25900004561 949581551 433413849 
26000002537 951379754 434895354 
26100000904 953205172 436414200 
26200004713 955019440 437919177 
26300003879 956713201 439317616 
26400003365 958440154 440766936 
26500003996 960274805 442314493 
26600005541 962101020 443839382 
26700004744 963771430 445197717 
26800005144 965535799 446653772 
26900005356 967402526 448201435 
27000003974 969308301 449773098 
27100004203 971067318 451218185 
27200006086 972871351 452745447 
27300004274 974634986 454219014 
27400003051 976496016 455765263 
27500003044 978254150 457238307 
27600004496 980025276 458725547 
27700005482 981612768 459977330 
27800004287 983444489 461492746 
27900004042 985151058 462869270 
28000005107 986971802 464391643 
28100001448 988783130 465895973 
28200005453 990528981 467338577 
28300004127 992391899 468891584 
28400006011 994398170 470543728 
28500006262 996342388 472149808 
28600003431 998211802 473727469 
28700006316 1000103444 475296722 
28800004023 1001958507 476846544 
28900006285 1003777470 478374076 
29000005945 1005686432 479976739 
29100005416 1007508307 481515503 
29200004801 1009355791 483017329 
29300001683 1011109406 484469582 
29400001426 1012933758 485978712 
29500004632 1014750783 487504692 
29600004274 1016638500 489113721 
29700004815 1018353194 490533447 
29800004867 1020214873 492083428 
29900002835 1022032594 493598242 
30000005820 1023946558 495188285 
30100002931 1025810916 496721573 
30200006389 1027586200 498189400 
30300018080 1029456091 499723547 
30400004127 1031240464 501201417 
30500004405 1032994386 502634500 
30600003803 1034645111 503941169 
30700004038 1036460340 505454943 
30800005139 1038378077 507049166 
30900005865 1040289390 508639978 
31000006003 1042212293 510237454 
31100004667 1044099344 511826293 
31200002771 1046018846 513409508 
31300006740 1047700850 514754131 
31400003809 1049464781 516203861 
31500004302 1051269910 517672577 
31600003614 1053097646 519192355 
31700006154 1054959431 520769084 
31800001275 1056842177 522355975 
31900004461 1058717298 523915633 
32000005385 1060610971 525476056 
32100005832 1062510228 527080140 
32200000932 1064373818 528647381 
32300001592 1066178738 530138753 
32400005605 1067972822 531574648 
32500004337 1069899192 533182987 
32600004462 1071851974 534803647 
32700005987 1073906745 536491032 
32800007233 1075784507 538044823 
32900004372 1077719628 539641904 
33000004848 1079649030 541235414 
33100007550 1081586386 542831998 
33200003878 1083420842 544325820 
33300006610 1085295882 545868330 
33400004581 1087187481 547444107 
33500004741 1089065800 549004576 
33600001209 1090989063 550600391 
33700002040 1092501956 551747831 
33800003984 1094226369 553149747 
33900008848 1095970474 554582766 
34000001037 1097712850 556030417 
34100006428 1099435357 557431507 
34200003540 1101259140 558964435 
34300000847 1103234800 560604054 
34400003509 1105183531 562218166 
34500006192 1106756650 563437360 
34600005463 1108601944 564975907 
34700004835 1110371979 566452794 
34800003416 1112253963 568027717 
34900004278 1114175719 569637330 
35000004212 1116050800 571209868 
35100003960 1118032938 572864083 
35200001232 1119894243 574374163 
35300005243 1121717941 575880788 
35400003242 1123548377 577421108 
35500003962 1125399552 578985898 
35600006767 1127234294 580525965 
35700005710 1129000494 581969382 
35800003842 1130885274 583527573 
35900004580 1132715058 585055157 
36000003910 1134634859 586655234 
36100005958 1136480854 588206153 
36200006562 1138319710 589736555 
36300004262 1140163210 591275903 
36400003888 1142002902 592811947 
36500004988 1143708742 594193521 
36600005064 1145529499 595739830 
36700004459 1147398290 597290036 
36800004525 1149237069 598820578 
36900005145 1151095479 600367951 
37000006072 1152977798 601938356 
37100003446 1154921961 603560801 
37200003927 1156884951 605181614 
37300005295 1158954558 606890854 
37400005034 1160834731 608471599 
37500004220 1162636393 609961137 
37600004983 1164432310 611459403 
37700005952 1166106133 612801710 
37800005347 1167941466 614327293 
37900003937 1169842200 615911813 
38000003857 1171654668 617418249 
38100004015 1173575454 619021982 
