#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100005037 8415 5519 
200024644 17391 12745 
300021288 21533 16100 
400025384 26898 20851 
500020398 30643 23983 
600019805 33868 26621 
700025696 37520 29562 
800024705 41225 32769 
900024629 42966 34320 
1000019529 45072 36146 
1100024467 46673 37562 
1200024531 48210 38965 
1300025486 51205 41604 
1400026078 53831 43916 
1500026634 54659 44616 
1600026387 55317 45159 
1700024126 55793 45572 
1800038233 56702 46383 
1900035506 60212 49522 
2000006461 62332 51293 
2100004539 64358 52967 
2200037508 67115 55159 
2300038851 71572 59174 
2400036274 74347 61611 
2500037086 76166 63212 
2600036803 77761 64604 
2700036487 80371 66876 
2800033894 81888 68214 
2900038823 82919 69127 
3000034638 86325 72148 
3100039537 88580 74207 
3200036906 89876 75346 
3300038355 91589 76857 
3400037514 93111 78172 
3500038676 94134 79037 
3600007643 94910 79711 
3700035166 95723 80385 
3800038413 96309 80899 
3900035630 96795 81317 
4000037517 97339 81793 
4100033772 97843 82239 
4200038236 99059 83319 
4300004462 101958 85858 
4400036459 108685 91904 
4500009260 267748 250662 
4600007498 458581 440716 
4700006989 640732 622307 
4800005345 1548071 1523771 
4900006380 2846134 2788728 
5000006827 3142594 3083951 
5100006242 3406879 3344966 
5200003640 3794636 3727567 
5300008046 4686679 4595136 
5400008649 4730279 4637662 
5500007837 4796028 4702486 
5600011329 4865450 4770931 
5700015154 4934014 4838597 
5800010126 4997680 4900415 
5900008116 5037806 4940060 
6000008416 5077641 4979463 
6100009129 5116662 5018003 
6200002498 5317234 5212915 
6300009107 6478280 6323009 
6400008878 6902169 6742272 
6500006147 7274800 7107206 
6600007003 7534841 7362590 
6700006128 8028619 7845517 
6800008159 9450847 9202923 
6900008285 9484999 9235411 
7000009049 9519432 9268569 
7100008047 9553522 9301293 
7200008469 9587902 9334396 
7300012213 10414529 10052322 
7400008756 10571475 10192538 
7500007180 10606073 10225640 
7600004970 10640232 10258661 
7700008135 10674006 10291413 
7800007346 10723322 10336582 
7900010145 11026643 10624145 
8000009594 11443110 11024854 
8100009542 11834489 11409201 
8200006521 12268741 11832789 
8300005783 12531400 12090721 
8400006836 13103609 12647893 
8500010779 14613007 14101854 
8600009810 14662452 14141795 
8700002140 14729584 14203870 
8800007951 14782746 14251054 
8900007346 14817372 14283462 
9000007727 14929914 14381706 
9100007293 15279319 14704829 
9200006633 15698848 14942023 
9300007988 16199863 15158172 
9400007120 16658153 15357209 
9500005463 17058938 15516952 
9600007792 17600334 15769858 
9700006900 18010918 15975961 
9800007306 18437129 16200502 
9900007606 18761813 16346240 
10000005724 19322958 16618772 
10100008627 19757513 16853326 
10200006999 20340707 17117431 
10300007488 20854344 17368938 
10400009516 21470137 17646372 
10500004683 21819903 17809535 
10600007162 22255876 18021517 
10700005057 22742669 18234243 
10800011400 23181248 18463330 
10900007427 23625544 18688745 
11000006683 24428411 19023118 
11100006942 24795466 19222976 
11200006961 25227927 19449783 
11300006605 25656753 19631139 
11400008392 25939953 19803446 
11500007632 26342783 19966105 
11600005265 26709090 20172082 
11700005735 27069460 20339259 
11800006385 27524844 20536010 
11900006060 27850964 20719049 
12000008521 28200655 20909870 
12100007901 28615376 21083871 
12200007898 29115436 21334445 
12300006131 29441506 21522141 
12400007478 29711803 21658343 
12500008206 30064584 21852164 
12600007657 30383111 21995182 
12700006695 30748762 22152316 
12800006928 30973489 22277594 
12900008307 31321901 22444299 
13000007937 31933293 22707841 
13100009115 32419044 22946592 
13200006910 32754188 23134893 
13300010716 33129424 23302730 
13400006654 33456625 23458296 
13500006987 33809182 23608764 
13600006233 34242834 23761848 
13700005556 34706241 23976178 
13800009100 35238602 24202205 
13900007878 35764598 24449244 
14000004874 36142318 24622370 
14100008057 36480077 24809261 
14200006403 37000652 25016574 
14300005571 37443555 25215890 
14400009256 37877104 25422034 
14500008811 38248341 25585307 
14600007135 38739847 25821246 
14700005463 39305620 26066671 
14800006396 39694237 26229163 
14900006942 40072245 26402364 
15000006440 40460947 26595394 
15100008506 40978777 26878778 
15200007950 41266533 27052656 
15300008106 41575933 27197019 
15400005177 41972996 27370104 
15500007924 42226919 27500463 
15600007209 42576511 27667851 
15700082360 42953267 27886684 
15800007866 43336203 28068162 
15900007725 43566241 28221418 
16000007481 43914945 28370286 
16100009801 44221302 28520022 
16200007805 44610235 28758785 
16300008192 45209215 28979869 
16400008553 45685765 29201087 
16500008271 46145626 29404934 
16600008522 46521690 29575447 
16700007572 47110032 29810959 
16800007750 47698425 30076405 
16900006078 48259019 30322701 
17000006995 48839033 30594276 
17100006706 49218033 30768838 
17200006901 49626626 30924821 
17300007556 49860809 31046914 
17400006504 50429291 31321088 
17500008029 50854638 31513402 
17600005914 51184699 31665136 
17700008173 51564652 31857608 
17800007969 51999168 32043965 
17900005960 52301910 32185152 
18000007687 52682295 32360663 
18100007419 53050383 32528485 
18200006390 53457617 32704865 
18300009554 53833585 32878282 
18400005392 54345983 33107283 
18500006574 54811936 33324519 
18600007133 55094677 33472843 
18700007004 55504603 33733661 
18800005795 55876908 33912886 
18900009685 56168572 34091390 
19000006127 56586552 34303293 
19100007934 56982665 34499158 
19200084294 57361802 34729015 
19300006564 57894605 34958662 
19400007562 58435334 35225881 
19500007786 58867366 35423883 
19600007556 59237058 35603122 
19700007271 59631020 35794536 
19800007075 59944031 35990250 
19900007073 60396036 36203767 
20000006266 60794597 36393917 
20100008028 61180840 36591218 
20200008270 61756200 36868549 
20300006299 62316591 37122927 
20400006770 62780301 37311297 
20500008311 63179300 37499111 
20600006634 63550896 37651148 
20700007178 63859466 37827032 
20800007943 64337713 38020389 
20900010436 64568102 38151682 
21000006690 64960256 38343113 
21100005465 65417723 38561064 
21200007353 65811660 38730697 
21300006933 66147002 38880756 
21400007855 66441075 39075779 
21500006626 66902919 39263034 
21600009296 67244317 39442371 
21700007387 67818100 39715213 
21800010090 68079685 39854575 
21900005564 68537324 40053915 
22000009237 68845919 40208000 
22100008829 69248957 40412490 
22200007279 69613598 40572758 
22300008294 70006281 40746614 
22400007814 70329726 40901480 
22500009986 70773304 41096503 
22600007972 71205480 41267559 
22700007179 71596117 41434031 
22800007737 71879295 41593091 
22900006605 72349434 41785267 
23000006941 72775619 41972621 
23100008552 73110489 42164876 
23200007338 73510718 42344311 
23300005515 73830375 42528407 
23400006486 74141174 42711959 
23500006925 74489107 42869374 
23600006773 74988704 43095045 
23700006551 75377500 43263156 
23800006807 75821133 43479991 
23900006445 76206270 43678620 
24000006968 76579366 43868082 
24100007889 76885070 44056206 
24200006371 77270903 44211659 
24300005955 77753328 44464577 
24400008048 78155082 44649504 
24500009994 78575789 44866149 
24600007445 78959974 45049127 
24700008104 79299937 45225752 
24800007748 79804143 45432103 
24900007604 80248621 45639146 
25000006902 80629952 45820376 
25100008122 80937291 45953757 
25200007098 81305804 46137987 
25300007465 81553903 46291411 
25400009436 81856997 46436448 
25500008296 82140797 46609178 
25600007087 82386009 46745438 
25700004840 82732528 46942878 
25800007006 83178806 47140101 
25900006692 83453085 47279678 
26000008744 83797536 47456555 
26100007107 84250522 47645697 
26200007017 84664464 47844012 
26300008469 84980804 48013017 
26400008277 85352931 48250666 
26500007940 85723048 48403143 
26600007265 86302687 48681959 
26700010666 86635137 48816679 
26800008560 87006068 48978620 
26900008261 87414899 49171299 
27000005814 87727285 49313927 
27100008583 88231813 49515757 
27200007942 88735758 49748430 
27300009749 89185907 49971522 
27400005869 89628871 50173545 
27500008005 90045251 50382557 
27600006696 90552068 50606045 
27700006774 91083384 50823219 
27800007237 91381930 50980329 
27900007844 91849766 51190791 
28000008019 92243421 51418291 
28100008419 92705018 51647117 
28200007368 93201747 51895034 
28300005859 93469963 52044265 
28400007435 93841677 52241390 
28500006424 94159221 52398255 
28600006901 94748160 52651170 
