#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100015500 80595213 33710 10638 
200009904 128705226 48250 13702 
300009032 167307207 57705 13812 
400020826 203588812 65269 13845 
500012860 255294279 80239 16462 
600011600 308610162 88340 23623 
700012207 361765953 96921 31860 
800012321 414593553 105536 40260 
900013858 467539623 112301 41308 
1000013755 520546912 118644 41624 
1100013252 573420162 126648 41854 
1200012357 626574522 135453 42112 
1300011235 679613405 143793 42434 
1400013466 732763911 152615 42716 
1500022601 787263207 160909 42983 
1600007696 842015014 169105 43234 
1700016514 896699044 177492 43527 
1800008025 951298581 186039 43767 
1900023714 1006189099 194275 44045 
2000008233 1061041598 202822 44316 
2100013364 1116073468 211399 44547 
2200019735 1170731156 219802 44773 
2300021485 1225484290 227842 45031 
2400016712 1280362993 236293 45287 
2500016991 1335201350 244774 45578 
2600011203 1389935081 253055 45820 
2700017764 1444692093 261153 46077 
2800008464 1499484183 269180 46352 
2900016667 1554243601 277503 46628 
3000016183 1608996750 285945 46879 
3100019034 1663758435 294237 47151 
3200013671 1718458211 302318 47415 
3300019991 1773267399 310502 47654 
3400019561 1827984338 318767 47938 
3500019495 1882811207 327351 48199 
3600016870 1937493905 335578 48448 
3700014881 1992370584 344019 48696 
3800021310 2047273113 352300 48963 
3900016459 2102044436 360753 49214 
4000018326 2156847003 369412 49499 
4100008966 2211654768 377823 49763 
4200036088 2255174797 383904 51238 
4300036679 2287152195 384663 51393 
4400025128 2318979673 385458 51475 
4500028387 2350785520 386428 51601 
4600039324 2382777294 387152 51787 
4700036339 2414114554 387807 51891 
4800037467 2445480004 388492 51980 
4900038671 2476845599 389153 52066 
5000035594 2508533280 389911 52194 
5100038222 2539891448 390681 52325 
5200037618 2571239861 391335 52428 
5300023620 2602589704 392025 52529 
5400015195 2634770529 392790 52690 
5500020332 2694446028 398258 54873 
5600016897 2760383782 398284 54873 
5700019501 2826976008 401511 57193 
5800016150 2892954033 401547 57193 
5900018091 2959206614 404745 59469 
6000016649 3024700189 404768 59469 
6100015168 3090765921 408034 61834 
6200020167 3158322088 411191 64076 
6300015678 3222598252 411281 64083 
6400016975 3288460638 414471 66355 
6500013593 3353748640 414508 66355 
6600058466 3420103871 417740 68657 
6700014946 3485303721 417768 68657 
6800018058 3551438301 421015 71017 
6900017004 3616648620 421044 71018 
7000016759 3682792886 424363 73415 
7100017037 3748056054 424387 73415 
7200016642 3814007050 427598 75653 
7300015902 3879470887 427619 75653 
7400016219 3945682773 430837 77929 
7500018432 4011509946 430872 77929 
7600017161 4077994093 434140 80301 
7700018744 4144030632 434162 80301 
7800014604 4210301280 437461 82678 
7900005643 4276396834 437691 82853 
8000017545 4342236717 440780 85090 
8100019331 4409166995 443986 87420 
8200017655 4474222259 444084 87429 
8300013223 4540221942 447304 89730 
8400015093 4605160432 447330 89730 
8500019465 4671342920 450574 92066 
8600019455 4736367242 450610 92066 
8700015709 4802414262 453912 94356 
8800015936 4867793498 453940 94356 
8900018975 4934457825 457221 96693 
9000017860 5000702665 457241 96693 
9100016751 5067423359 460449 99047 
9200015968 5133266542 460479 99047 
9300016085 5199899542 463835 101516 
9400017493 5266021806 463855 101516 
9500015286 5332222163 467239 103950 
9600010040 5397948575 467267 103951 
9700012905 5464136933 470537 106321 
9800020991 5531116644 473737 108645 
9900017059 5595953795 473802 108649 
10000015566 5662282436 477153 111129 
10100012015 5729355439 477194 111131 
10200017264 5806568330 480749 113869 
10300018404 5874457202 480776 113870 
10400015898 5941046121 484210 116388 
10500016324 6006843342 484226 116388 
10600014090 6073017270 487415 118718 
10700016625 6138275493 487439 118718 
10800014431 6204586028 490762 120999 
10900015065 6270073075 490782 120999 
11000014313 6336366199 494111 123425 
11100132212 6401641139 494136 123425 
11200020361 6467516775 497420 125767 
11300015442 6532845455 497438 125767 
11400015758 6599086135 500640 128052 
11500017580 6666892639 503852 130381 
11600018906 6732087295 503912 130387 
11700015806 6799293042 507205 132790 
11800013585 6864311144 507225 132790 
11900016206 6930696294 510500 135060 
12000013464 6996041204 510519 135060 
12100016926 7062509519 513812 137438 
12200018134 7127975460 513833 137438 
12300019385 7194388889 517300 140035 
12400019067 7259846994 517322 140035 
12500014428 7326146122 520657 142489 
12600018655 7391787063 520680 142489 
12700018724 7457703550 524021 144918 
12800013846 7523160159 524041 144918 
