#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100020386 43887 22974 
200013631 112601 63905 
300014323 114848 64974 
400016968 117658 66549 
500017930 120584 68131 
600015517 126580 71975 
700015893 128994 73406 
800015056 131600 74826 
900013856 134099 76098 
1000012890 136705 77575 
1100017272 150387 86049 
1200015968 167494 93386 
1300014858 170429 94818 
1400022916 173231 96284 
1500023176 175928 97735 
1600023319 182884 102508 
1700023555 186314 104624 
1800021306 189000 106117 
1900020330 191626 107541 
2000024213 194197 108963 
2100022521 201736 114291 
2200024081 204801 116104 
2300019410 207564 117712 
2400022198 210763 119620 
2500022473 218120 125051 
2600021647 221399 127100 
2700019264 224129 128713 
2800023240 226576 130080 
2900022146 230482 132681 
3000020625 236984 137380 
3100006146 240867 139960 
3200022145 243044 141148 
3300022703 245622 142662 
3400009469 329114 214708 
3500009735 368016 241613 
3600011101 410059 272013 
3700011903 933794 720772 
3800009980 1220809 972317 
3900024005 1348457 1091815 
4000011316 1382589 1117496 
4100022017 1425324 1148283 
4200004691 1766581 1432830 
4300003698 2138185 1751995 
4400009953 2511009 2096487 
4500024241 2587242 2169857 
4600143817 2625114 2198737 
4700009690 2670486 2232419 
4800020213 3233064 2714859 
4900021817 3562529 3010674 
5000023498 3633563 3078925 
5100019594 3672406 3107088 
5200019362 3716701 3139491 
5300016400 4154573 3497675 
5400003378 4582032 3897247 
5500019396 4822484 4116852 
5600022418 4890520 4182261 
5700018837 4943599 4221898 
5800002917 5086043 4351292 
5900009904 5605704 4791992 
6000022282 5884390 5037856 
6100019626 5960010 5084413 
6200022208 6032554 5139682 
6300015192 6076897 5170876 
6400018764 6123426 5204947 
6500007182 6461520 5494709 
6600027167 6862866 5837419 
6700011549 7242380 6186693 
6800021226 7321318 6262603 
6900011986 7367100 6297728 
7000010527 7415079 6332995 
7100015544 8014477 6844847 
7200019499 8345987 7143522 
7300025052 8506339 7270274 
7400026155 8659258 7371815 
7500012349 8843253 7527119 
7600009876 9116798 7757084 
7700008124 9524273 8120443 
7800006825 10004957 8552679 
7900020231 10217507 8739788 
8000011727 10371982 8877649 
8100020308 10765826 9237052 
8200019408 11327823 9755648 
8300003019 12034446 10424295 
8400012153 12846632 11145220 
8500017368 13177033 11445894 
8600012157 13487128 11720848 
8700002272 13918071 12103203 
8800008838 14444519 12577603 
8900025472 14697375 12785299 
9000003077 14973447 13038698 
9100001765 15351759 13382285 
9200023884 16190456 14158893 
9300007691 16935914 14809331 
9400018940 17251042 15090847 
9500021190 17457643 15265489 
9600007639 18012804 15761157 
9700007892 18493441 16196330 
9800013800 18864404 16514517 
9900030714 19007841 16644734 
10000013363 19451944 17051737 
10100020000 20382183 17908466 
10200008825 21015917 18468600 
10300011759 21426864 18824999 
10400013156 21639861 19017197 
10500010941 22187515 19508061 
10600007004 22767829 20024295 
10700010095 23294057 20484812 
10800025248 23414534 20592808 
10900009217 23620277 20780934 
11000016197 24023195 21151872 
11100001701 24658600 21735519 
11200008665 25449066 22481431 
11300009363 26149549 23095393 
11400011549 26496494 23413970 
11500008051 26887090 23763625 
11600009784 27510385 24300694 
11700011538 28018546 24750038 
11800022274 28163268 24881873 
11900019174 28566346 25247213 
12000004495 28987106 25627956 
12100002905 29769810 26361327 
12200008837 30460569 26958937 
12300011600 30841796 27304953 
12400009422 31239508 27657302 
12500012245 31775867 28134370 
12600009551 32253557 28554163 
12700021017 32780762 29015854 
12800012684 32908292 29127618 
12900019062 33334138 29516312 
13000038283 33642634 29797597 
13100019983 34610442 30711480 
