#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100074791 34994051 67935 6593 
200021963 67024127 102452 9390 
300015838 112726283 172260 52404 
400004043 208581410 173091 53063 
500002876 303494904 173936 53749 
600003732 397711268 174761 54366 
700014214 497142237 175593 54931 
800003449 601573000 176435 55449 
900003462 706234460 177244 55922 
1000026766 823810070 178006 56343 
1100003966 943442792 178747 56772 
1200004452 1066820773 179445 57172 
1300004650 1191322903 180146 57553 
1400005137 1316400345 180814 57940 
1500008069 1441399406 181438 58288 
1600003517 1566217227 182085 58631 
1700004635 1690690821 182680 58954 
1800007366 1815457500 183270 59266 
1900004573 1940538593 183848 59576 
2000009050 2066678119 184445 59877 
2100010044 2193474926 185066 60182 
2200007833 2320508340 185601 60470 
2300009471 2448118047 186110 60753 
2400007984 2575629956 186660 61047 
2500009508 2702818052 187175 61302 
2600005078 2830585804 187710 61570 
2700004949 2958432885 188229 61815 
2800003760 3086596555 188788 62071 
2900010709 3214751677 189379 62326 
3000007673 3342915224 189972 62577 
3100003309 3470921463 190591 62828 
3200007155 3598724666 191132 63064 
3300008898 3726151005 191660 63285 
3400004060 3853327413 192174 63506 
3500005860 3980319721 192726 63733 
3600009395 4107247672 193227 63951 
3700008611 4234558501 193780 64182 
3800004854 4361407676 194342 64414 
3900004083 4487864156 194979 64628 
4000009845 4614462436 195639 64847 
4100009581 4741017520 196255 65051 
4200009582 4867781632 196962 65276 
4300009136 4994199717 197700 65512 
4400009260 5120682874 198384 65707 
4500009373 5247302954 199130 65916 
4600010766 5374004514 199808 66132 
4700010957 5500611766 200510 66272 
4800008988 5626702602 201203 66473 
4900009135 5752958558 201929 66692 
5000010566 5879035721 202634 66901 
5100002982 6008085600 203356 67119 
5200008175 6134710673 204035 67325 
5300010817 6261142468 204724 67515 
5400008498 6387350786 205460 67743 
5500008051 6513570500 206073 67970 
5600011367 6639544128 206700 68167 
5700004505 6765444686 207360 68353 
5800008613 6891145562 208021 68555 
5900003876 7016250246 208707 68785 
6000010650 7141501781 209497 69000 
6100008118 7266529680 210353 69221 
6200007711 7391616680 211292 69462 
6300009548 7516309124 212281 69678 
6400008124 7640498936 213310 69880 
6500013707 7764275407 214299 70089 
6600007908 7887667794 215351 70300 
6700019642 8010631205 216350 70491 
6800008085 8133358398 217296 70692 
