#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100073844 40794 14189 
200035463 71644 30544 
300025718 618778 429720 
400022931 3249696 2179070 
500004026 5727806 3827881 
600009057 7958949 5312663 
700004873 10104412 6740640 
800009576 12118035 8074697 
900009043 13943092 9282225 
1000003478 15613830 10383479 
1100003932 17170197 11408013 
1200010902 18653975 12381671 
1300004985 20050839 13295415 
1400003704 21356018 14144635 
1500003623 22576074 14933176 
1600009071 23720690 15670341 
1700013899 24804517 16363813 
1800008032 25835758 17019934 
1900008779 26821686 17644863 
2000004810 27770132 18241998 
2100006706 28687152 18816652 
2200012636 29574768 19368215 
2300009320 30437682 19901975 
2400013499 31271746 20416145 
2500008270 32086605 20915681 
2600004153 32880297 21399222 
2700004195 33656417 21870631 
2800003642 34416704 22330532 
2900011605 35159679 22779203 
3000008620 35890466 23217444 
3100004756 36605971 23646278 
3200007943 37310080 24065711 
3300009458 38004622 24477362 
3400016801 38683549 24877919 
3500009747 39356588 25272654 
3600011916 40022148 25662188 
3700010148 40679122 26047564 
3800007681 41332230 26429520 
3900008888 41975271 26804800 
4000004232 42613681 27177460 
4100004062 43241986 27542964 
4200009553 43868482 27907296 
4300004030 44483360 28265066 
4400004207 45097187 28619793 
4500007982 45704312 28970994 
4600010583 46307937 29319391 
4700007137 46908599 29666003 
4800004218 47499674 30006144 
4900008490 48086121 30343350 
5000008383 48670539 30678159 
5100010473 49247252 31007688 
5200010219 49817418 31333216 
5300008234 50386124 31658644 
5400008752 50950036 31981458 
5500004849 51509057 32299994 
5600010705 52062000 32614690 
5700015666 52610009 32925064 
5800011386 53149765 33230615 
5900003857 53680325 33529262 
6000009420 54208538 33827062 
6100007584 54729155 34119134 
6200011369 55245123 34407472 
6300041024 55754830 34692604 
6400007928 56257292 34972991 
6500008186 56754819 35249037 
6600006894 57248206 35521830 
6700008462 57733823 35789585 
6800008684 58221168 36055699 
6900009958 58698946 36317284 
7000010171 59172111 36574151 
7100011556 59643068 36829437 
7200010792 60108797 37081855 
7300004993 60565913 37328413 
7400008575 61021419 37572419 
7500009026 61474637 37815510 
7600009445 61921405 38053310 
7700009719 62364084 38288427 
7800011663 62811618 38528243 
7900007879 63248164 38761817 
8000006838 63678431 38989039 
8100009127 64106404 39214213 
8200010923 64530520 39436162 
8300010325 64951553 39656684 
8400010969 65368577 39874520 
8500010409 65781386 40089754 
8600012021 66189573 40303719 
8700004513 66595729 40513740 
8800008720 66999506 40723154 
8900008980 67403220 40931261 
9000005469 67801461 41137151 
9100010462 68204648 41345393 
9200010972 68605532 41553939 
9300010090 69005166 41761439 
9400010499 69409067 41971961 
9500004634 69811778 42182633 
9600008978 70215993 42394814 
9700009766 70621961 42607910 
9800097541 71032999 42823848 
9900007865 71442972 43038967 
10000009577 71851605 43253738 
10100009893 72264522 43471923 
10200009716 72676875 43688921 
10300009153 73088830 43907299 
10400009281 73504059 44127303 
10500007623 73918996 44346983 
10600012165 74333962 44566396 
10700009416 74747533 44785791 
