#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100041230 13686 3912 
200015084 18847 6456 
300000066 20857 8275 
400017231 22732 9982 
500015387 24628 11734 
600016066 26569 13549 
700000029 28457 15301 
800017750 30364 17034 
900016103 32272 18789 
1000015263 34200 20551 
1100017475 35878 22051 
1200017358 37582 23548 
1300036401 43690 28890 
1400026860 49802 34214 
1500028443 55471 39015 
1600039285 61124 43866 
1700042581 66713 48606 
1800044594 72421 53420 
1900015543 78081 58233 
2000000023 83807 62785 
2100000103 89918 68049 
2200013999 96349 73661 
2300000071 103040 79521 
2400012573 434152 354940 
2500012578 1221507 970560 
2600012970 2009358 1598495 
2700013377 2797096 2217791 
2800013930 3561835 2820091 
2900011958 3642974 2892680 
3000011514 3698536 2937787 
3100012134 3983539 3185170 
3200037584 4315672 3455970 
3300037598 4633047 3716595 
3400014081 4944002 3970810 
3500013313 5256599 4229040 
3600016026 5570930 4488786 
3700037404 5898738 4761237 
3800037429 6212188 5018880 
3900014947 6528333 5278574 
4000044180 6858896 5550395 
4100043343 7213709 5839464 
4200012711 7562738 6125790 
4300010102 8005433 6524411 
4400013399 8351469 6847180 
4500011636 8697183 7156251 
4600014804 9043018 7464604 
4700016213 9390970 7773477 
4800009403 9736501 8084297 
4900015477 10081934 8392144 
5000017356 10427895 8708403 
5100012211 10773757 9021781 
5200014593 11119045 9332244 
5300015504 11464704 9647051 
5400010106 11812282 9961118 
5500016257 12157964 10273276 
5600012631 12503468 10579818 
5700008329 12849515 10894545 
5800000102 13195193 11201811 
5900045335 13320804 11309283 
6000005184 13322286 11310620 
6100004455 13380646 11366157 
6200009145 13626318 11601811 
6300014446 13883341 11838085 
6400010257 14140094 12082438 
6500011223 14397070 12327922 
6600016385 14654041 12572164 
6700014512 14911494 12815584 
6800016585 15168078 13056951 
6900013398 15425226 13298036 
7000015096 15682271 13541240 
7100013818 15938872 13784563 
7200013758 16194988 14026832 
7300016113 16452064 14268317 
7400016220 16708861 14511678 
7500013254 16965666 14752524 
7600016552 17222037 14997068 
7700014344 17478455 15235005 
7800007327 17735272 15474197 
7900010068 17991696 15716849 
8000014295 18248100 15960891 
8100011745 18818199 16513887 
8200010847 19953805 17604240 
8300010848 21089118 18688348 
8400007853 22225202 19774688 
8500007364 23359719 20863630 
8600011427 24495965 21949332 
8700010683 25629817 23036642 
8800010782 26765232 24129360 
8900009276 27899316 25219949 
9000010001 29036190 26307636 
9100011028 30170583 27393030 
9200018501 31224061 28399685 
9300013863 31301059 28475403 
9400012021 31381618 28546257 
9500011904 31433655 28588403 
9600013194 32121406 29165614 
9700012302 32910477 29810489 
9800013784 33699646 30454539 
9900010979 34488749 31100090 
10000015198 35278316 31755128 
10100004758 35779977 32209252 
10200009976 36035754 32450390 
10300008555 36292373 32689860 
10400009128 36548066 32934129 
10500013870 36805374 33180406 
10600016246 37062197 33423998 
10700010186 37318951 33667103 
10800015960 37575563 33910287 
10900013668 37832237 34150401 
11000016274 38088836 34391213 
11100015465 38345626 34635391 
11200015550 38602033 34877407 
11300010053 38859082 35121667 
11400014628 39115851 35362489 
11500010960 39374141 35607303 
11600011496 39631011 35849722 
11700008661 39887329 36086817 
11800015833 40143920 36327850 
11900013951 40399971 36572651 
12000013277 40656329 36817589 
12100010410 41497587 37633967 
