#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100024948 12357 4208 
200012608 15474 5089 
300012057 18748 5745 
400012265 24528 6637 
500009515 31953 7716 
600011165 34609 8500 
700009997 37419 9407 
800009618 41544 10494 
900010531 47901 11943 
1000011690 55587 13715 
1100009473 64192 15567 
1200011303 74216 17865 
1300002375 85621 20578 
1400015173 98195 23448 
1500014731 111299 27085 
1600021250 124863 30288 
1700021933 139391 34170 
1800020662 350470 235455 
1900023060 371303 254093 
2000020417 391245 272357 
2100015714 411326 290796 
2200018814 431250 309150 
2300019381 451759 328168 
2400017769 472080 346979 
2500010786 492254 365735 
2600017999 512261 384238 
2700017479 539947 410644 
2800022679 596595 466774 
2900006971 1362262 1127251 
3000004285 2248770 1851085 
3100010399 2935351 2386655 
3200009935 3785562 3046736 
3300004536 4813141 3877776 
3400016924 5453273 4378336 
3500004555 6221110 4982158 
3600005903 7129199 5690950 
3700003414 7987720 6367140 
3800015955 8822625 7022980 
3900011505 9688362 7704062 
4000026749 10524510 8362351 
4100003017 11385459 9040028 
4200002305 12296116 9759135 
4300002996 13181941 10460010 
4400005652 14116569 11198572 
4500004501 15018622 11913019 
4600003996 15903724 12615678 
4700003813 16832284 13351252 
4800004725 17756027 14082343 
4900014741 18718189 14841285 
5000008256 19743633 15643805 
5100004682 20834808 16498240 
5200010448 21965067 17382119 
5300004703 23151778 18308717 
5400001258 24375025 19261385 
5500004142 25681227 20278653 
5600001084 26959485 21277919 
5700005080 28292317 22316892 
5800007419 29659638 23378865 
5900000653 30966845 24395389 
6000005440 32300576 25432969 
6100000515 33645821 26475851 
6200008118 34983288 27518916 
6300003593 36329503 28569417 
6400004118 37679762 29622123 
6500004919 39051508 30689331 
6600003672 40414679 31750438 
6700002254 41787469 32819458 
6800003107 43145702 33880085 
6900008671 44511620 34945620 
7000011809 45886649 36020314 
7100002393 47244211 37080302 
7200006767 48618937 38156734 
7300004923 50009233 39242814 
7400006725 51389055 40317995 
7500003457 52806856 41422594 
7600003430 54178812 42496125 
7700000860 55551616 43569136 
7800005848 56924824 44644915 
7900010858 58296962 45716143 
8000003689 59678374 46799729 
8100005005 61038793 47866378 
8200005381 62368824 48909433 
8300003648 63712676 49963912 
8400003414 65048448 51009952 
8500000869 66427363 52081608 
8600014317 67783594 53139163 
8700003394 69134414 54196012 
8800004248 70459568 55233488 
8900001103 71778963 56267276 
9000003490 73118254 57314535 
9100007819 74448643 58352897 
9200009820 75767687 59382291 
9300000753 77086949 60410314 
9400004713 78405623 61440121 
9500004242 79719938 62467051 
9600007029 81038207 63493739 
9700003832 82373542 64533363 
9800002286 83711662 65573862 
9900001022 85055005 66618412 
10000000957 86369826 67645349 
10100003773 87700346 68681128 
10200004664 89036618 69718466 
10300000925 90370221 70754499 
10400000916 91685495 71781606 
10500003995 93006101 72810899 
10600089767 94326316 73842774 
10700000968 95670889 74883987 
10800004215 96993908 75908081 
10900002889 98328350 76944645 
11000000763 99640631 77967236 
11100004682 100974381 78999772 
11200005260 102303107 80034720 
11300014430 103634831 81066372 
11400011586 104963631 82094864 
11500004897 106293045 83129774 
11600003913 107637118 84168641 
11700003728 108966803 85195701 
11800005221 110291617 86226279 
11900004509 111649349 87273798 
12000004120 113012594 88324256 
12100000616 114355407 89362482 
12200005109 115718668 90407761 
12300012053 117048245 91439439 
12400006858 118382438 92472004 
12500005058 119763273 93536170 
12600005791 121167031 94618826 
12700011534 122554094 95687879 
12800005350 123932309 96744803 
12900004456 125307468 97810387 
13000000801 126676322 98867853 
13100002193 128038347 99919188 
13200007417 129379684 100958026 
13300006793 130742733 102013179 
13400001005 132164378 103106341 
13500005202 133587793 104200869 
13600006196 135024713 105311979 
13700003341 136457997 106421378 
13800004326 137886021 107523258 
13900004041 139310936 108628651 
14000008543 140724375 109719506 
14100004618 142101847 110784021 
14200013724 143536078 111888376 
14300005812 144963109 112995014 
14400000830 146392039 114106000 
14500000728 147815314 115205649 
14600007932 149210583 116276690 
14700004811 150587430 117337416 
14800004344 152002849 118423609 
14900003471 153398667 119497395 
15000006427 154784349 120562508 
15100004129 156137994 121610883 
15200008272 157507844 122667457 
15300004802 158866145 123717578 
15400005925 160203347 124752060 
15500008031 161601321 125825920 
15600006433 163014109 126917030 
15700005937 164422587 128006311 
15800003331 165803329 129071799 
15900008805 167200938 130142772 
16000006095 168608714 131226339 
16100000919 170019710 132315359 
16200000941 171441106 133415361 
16300005422 172852574 134504865 
16400012343 174273600 135605640 
16500005203 175664135 136677980 
16600004698 177043988 137741403 
16700004050 178409151 138795162 
16800010725 179826605 139888394 
16900005698 181227520 140972088 
17000000871 182621669 142048976 
17100002719 184008997 143120887 
17200005123 185401181 144194232 
17300003369 186757059 145240527 
17400011694 188121696 146297502 
17500004067 189486150 147344677 
17600005624 190816742 148374890 
17700010512 192184551 149425687 
17800002985 193550889 150475503 
17900005123 194902409 151519183 
18000003941 196265960 152567660 
18100004663 197603475 153603559 
18200003975 198954760 154644015 
18300008190 200296114 155681311 
18400004688 201655986 156728817 
18500006457 203015122 157776472 
18600008668 204401915 158845048 
18700004181 205775150 159903497 
18800000760 207162789 160970747 
18900006293 208563146 162053886 
19000006028 209960523 163132569 
19100005383 211343960 164193893 
19200011680 212723804 165254827 
19300009882 214062857 166288888 
19400004355 215433133 167342000 
19500006732 216821091 168415864 
19600003869 218196579 169474090 
19700004799 219568843 170532684 
19800006735 220946721 171592058 
19900004144 222315158 172648947 
20000004727 223661795 173688900 
20100004113 225021717 174736096 
20200003508 226378924 175785758 
20300005046 227713980 176822864 
20400003915 229058975 177863198 
20500004668 230427672 178915953 
20600004521 231798997 179977967 
20700004754 233183917 181046332 
20800003076 234549432 182102151 
20900003657 235894222 183140061 
21000003884 237261043 184191825 
21100006582 238639753 185251833 
21200004303 240018333 186325795 
21300013564 241389291 187392263 
21400006867 242755177 188456126 
21500004018 244131855 189522378 
21600000835 245483938 190571839 
21700004822 246811633 191599540 
21800006400 248114456 192613370 
21900004280 249420120 193631467 
22000004570 250737440 194654439 
22100004820 252065185 195680980 
22200004334 253390199 196709890 
22300007085 254761062 197767222 
22400005234 256126954 198822841 
22500011421 257449623 199844855 
22600000837 258825345 200907430 
22700003143 260183014 201965841 
22800003597 261527810 203006701 
22900004930 262869800 204045730 
23000006858 264212659 205081232 
23100000998 265531023 206099519 
23200000795 266874233 207136058 
23300004066 268194690 208155482 
23400007197 269526474 209187086 
23500007664 270877756 210227423 
23600004674 272192652 211243900 
23700005067 273528350 212272884 
23800000433 274852550 213307600 
23900004587 276182877 214337122 
24000007889 277490129 215353317 
24100004108 278812381 216371163 
24200004082 280143072 217399494 
24300004164 281468654 218425898 
24400005644 282826796 219479032 
24500006777 284175093 220524633 
24600010530 285497140 221550761 
24700004478 286824476 222582602 
24800006866 288165702 223619160 
24900005462 289492216 224651715 
25000012704 290820588 225687059 
25100006499 292121531 226702311 
25200007311 293437212 227725352 
25300004827 294759898 228754248 
25400014266 296092174 229794310 
25500003760 297396314 230815169 
25600000558 298698002 231831797 
25700001052 300026026 232866654 
25800006677 301303733 233864130 
25900008516 302582839 234865217 
26000009020 303874965 235874486 
26100007513 305171515 236887301 
26200009003 306464153 237896304 
26300004430 307743619 238896439 
26400015987 309032928 239905288 
26500005025 310325397 240912703 
26600007778 311613409 241918198 
26700003481 312888816 242917282 
26800004530 314184174 243926397 
26900004732 315477360 244932873 
27000005314 316827318 245980823 
27100004922 318185486 247041031 
27200010248 319525290 248087878 
27300008504 320831069 249104263 
27400009772 322157503 250136478 
27500003859 323461216 251151371 
27600007579 324762241 252167046 
27700004243 326060217 253180323 
27800005167 327380118 254204629 
27900005313 328712076 255236781 
28000007947 330033454 256264635 
28100003566 331350810 257287318 
28200004627 332656383 258302894 
28300004713 333965344 259319891 
28400000843 335262431 260330616 
28500006296 336555035 261337207 
28600003967 337821306 262328699 
28700007212 339089789 263322102 
28800007848 340380792 264325149 
28900003852 341680432 265337851 
29000011852 342985533 266351349 
29100005487 344287707 267364155 
29200004660 345616106 268392226 
29300006252 346944350 269419982 
29400004038 348267228 270444822 
29500013105 349615223 271494182 
29600004074 350953053 272535937 
29700000807 352287191 273571082 
29800005186 353623399 274606586 
29900005909 354964048 275654802 
30000012143 356308830 276711550 
30100005190 357647929 277760886 
30200004457 358979976 278797373 
30300011426 360335431 279851710 
30400007176 361660092 280885804 
30500004515 362942285 281895062 
30600012860 364220110 282896958 
30700011562 365497589 283901327 
30800005323 366783032 284908839 
30900007912 368069116 285917097 
31000004231 369365908 286931139 
31100009443 370704760 287970003 
