#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100100978 7204 2727 
200013491 30465 5736 
300014221 138256 21093 
400012598 347639 59095 
500000246 676765 129083 
600017800 1062397 219396 
700008407 1531062 335537 
800012157 2110167 483091 
900005197 2660256 614886 
1000004587 3366440 811431 
1100009361 4069128 982070 
1200006214 4867531 1219039 
1300004643 5743362 1461716 
1400004705 6679585 1730707 
1500017366 7685431 2031107 
1600004978 8771894 2382305 
1700005263 9785227 2704207 
1800007514 10937661 3084856 
1900005593 12170368 3510348 
2000005816 13425119 3954574 
2100005769 14685629 4427996 
2200017399 15958577 4913014 
2300029288 17339053 5464142 
2400006699 18806488 6038438 
2500005491 20206980 6615380 
2600014273 21646282 7226140 
2700006973 23160321 7881621 
2800006990 24753954 8595318 
2900005315 26280414 9294021 
3000005134 27910302 10053608 
3100004844 29543021 10832935 
3200005523 31211740 11621524 
3300004805 32799668 12412695 
3400016786 34553691 13269971 
3500004995 36263990 14137526 
3600004772 38011248 15007400 
3700004174 39848799 15950349 
3800004209 41583234 16886767 
3900005023 43332647 17850464 
4000004819 45077946 18794854 
4100006368 46838533 19744257 
4200005993 48653613 20756782 
4300048889 50505284 21781488 
4400003375 52238536 22773558 
4500004454 54137048 23835402 
4600004138 55903992 24842315 
4700003307 57782009 25917879 
4800004042 59673800 27025474 
4900011853 61619108 28170872 
5000020186 63547442 29342800 
5100019481 65447742 30465407 
5200004668 67417949 31619243 
5300004166 69370330 32782368 
5400002479 71392189 33986218 
5500012206 73333465 35158651 
5600004152 75415701 36410319 
5700023997 77355285 37600758 
5800004505 79395386 38852436 
5900004173 81518064 40162266 
6000004171 83618062 41474024 
6100003782 85653773 42737828 
6200004391 87748402 44075752 
6300003997 89733835 45362716 
6400003528 91748774 46660510 
6500003476 93725372 47951635 
6600004029 95869613 49308048 
6700049777 97903962 50605243 
6800004521 100102913 52034673 
6900005731 102257155 53432181 
7000003979 104455391 54869064 
7100003173 106718137 56321652 
7200004042 108892406 57762574 
7300001638 111166548 59252896 
7400024294 113487599 60792138 
7500004575 115748096 62284984 
7600013817 117953620 63782000 
7700004460 120251124 65305811 
7800004128 122602587 66779779 
7900003749 124810980 68284105 
8000023868 127038551 69777035 
8100021651 129258786 71245316 
8200011252 131499999 72787863 
8300020100 133881293 74400117 
8400003591 136131149 75927666 
8500003374 138318543 77438731 
8600004069 140559839 79007439 
8700022659 142824447 80578857 
8800003890 145214651 82225337 
8900004278 147545798 83883639 
9000003700 149865340 85523604 
9100003356 152143953 87142765 
9200004424 154386374 88728668 
9300003748 156865743 90471933 
9400018953 159292371 92204604 
9500004842 161622492 93886803 
9600005463 163958842 95561632 
9700003374 166360616 97279604 
9800003239 168859155 99057441 
9900003367 171141449 100697824 
10000003797 173465862 102412834 
10100027712 175931958 104169951 
10200005202 178267907 105866414 
10300003682 180595229 107569172 
10400003499 182919729 109274890 
10500021770 185285255 111002199 
10600005153 187758175 112793008 
10700003190 190136879 114552540 
10800026244 192486691 116286028 
10900007249 194963245 118111837 
11000004140 197341930 119895655 
11100005619 199929092 121813054 
11200015308 202483309 123695713 
11300004444 204984874 125559961 
11400004784 207567553 127486989 
11500004003 210034954 129347602 
11600003833 212518682 131214483 
11700004144 215049550 133111504 
11800004986 217517359 134985257 
11900005120 219942227 136831505 
12000018962 222640556 138878988 
12100003952 225149643 140795891 
12200005073 227699817 142729415 
12300003793 230184001 144623503 
12400003506 232677793 146534453 
12500005364 235125576 148423118 
12600012333 237617620 150351067 
12700003214 240153358 152315059 
12800021070 242694259 154304480 
12900003918 245181390 156234528 
13000003889 247860382 158290121 
13100003742 250439537 160296147 
13200004884 253001894 162293511 
13300003549 255566440 164299380 
13400003369 258247677 166380863 
13500010016 260678851 168307152 
13600004169 263212783 170332281 
13700003472 265926501 172466480 
13800003700 268568842 174564504 
13900020572 271180920 176629440 
14000003740 273762871 178661221 
14100003455 276463482 180812410 
14200003859 279125530 182921032 
14300003171 281850573 185109140 
14400008668 284421276 187200401 
14500003732 287120583 189385394 
14600004335 289843504 191573536 
14700003444 292425230 193669865 
