#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100091663 48170592 8511 414 
200018987 81211912 21668 1640 
300024431 114776603 32589 2763 
400018872 148756215 43519 3933 
500020219 181839818 54140 5061 
600024691 215143052 65833 6522 
700024727 248718248 76414 7694 
800035932 282653491 87486 9072 
900022678 315798235 97700 10354 
1000025493 349176431 109184 11925 
1100024087 380883390 109391 12050 
1200022079 412376704 109490 12107 
1300025572 442079670 109656 12188 
1400022686 472013953 109871 12347 
1500024321 502711132 110014 12443 
1600025493 533145884 110108 12476 
1700023052 562897518 110248 12563 
1800026032 592991633 110349 12627 
1900026106 623365032 110563 12797 
2000022804 653522114 110711 12887 
2100025571 684046865 110811 12929 
2200036628 714714342 110924 12995 
2300035156 745098222 111026 13052 
2400033589 774863921 111159 13134 
2500031965 805457949 111280 13195 
2600030218 836217149 111479 13335 
2700033418 867235723 111624 13433 
2800033677 897645666 111740 13485 
2900034425 927943945 111857 13561 
3000034861 958573973 111987 13645 
3100035468 989401941 112175 13780 
3200032111 1020428486 112353 13895 
3300034159 1051290734 112525 14020 
3400035317 1081827475 112674 14108 
3500034858 1112797706 112803 14197 
3600035392 1143867604 112929 14274 
3700035450 1175233779 113077 14384 
3800031220 1205926732 113250 14498 
3900035444 1236976833 113419 14625 
4000031967 1267461822 113546 14702 
4100034657 1298425151 113693 14808 
4200035493 1329632619 113805 14880 
4300034983 1360716786 114004 15033 
4400035880 1391497270 114183 15162 
4500032679 1422206856 114285 15227 
4600034323 1453150530 114398 15308 
4700033478 1484119711 114530 15380 
4800026250 1515569957 114674 15476 
4900034807 1546373026 114888 15622 
5000034533 1577394479 114995 15697 
5100034115 1607867596 115189 15838 
5200034743 1638835320 115301 15926 
5300035454 1669970512 115459 16021 
5400035317 1701172596 115609 16132 
5500035163 1731901647 115809 16269 
5600035703 1762729609 115943 16356 
5700034864 1793496894 116105 16467 
5800033900 1824465921 116242 16552 
5900032047 1855849012 116388 16670 
6000033987 1886707523 116598 16829 
