#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
100041743 59045378 9387 430 
200014615 107593253 48221 1836 
300028326 152167978 73996 2107 
400027389 185259349 74153 2109 
500026809 218350602 74389 2116 
600026272 251449483 74654 2118 
700025154 284811855 74918 2120 
800026914 318533663 75191 2126 
900016876 355322521 75629 2130 
1000018044 404544560 76185 2144 
1100019180 453633688 76561 2185 
1200138042 502675682 76798 2188 
1300020000 551552576 77125 2192 
1400021051 600511983 77391 2195 
1500019340 649550789 77629 2197 
1600015863 698577973 77844 2201 
1700014280 747607050 78090 2204 
1800014275 796570217 78353 2206 
1900018055 845620617 78640 2209 
2000027599 893247443 79126 2213 
2100025289 935340687 90014 2286 
2200001582 980766279 107330 2480 
2300017540 1049684364 139530 28508 
2400035296 1111065204 183592 71381 
2500008727 1179610605 265359 149823 
2600019443 1262213961 308111 182176 
2700010815 1347791853 345255 210992 
2800010372 1433416296 383068 238077 
2900018757 1489152892 463126 311779 
3000028494 1526779050 470397 313352 
3100020093 1571242349 493509 316064 
3200015405 1617386383 521180 319069 
3300024306 1663834500 551033 321925 
3400017496 1712405657 577943 325708 
3500019144 1770885339 634718 378564 
3600017588 1820313387 660483 402185 
3700018143 1858108920 674317 414692 
3800022153 1900730309 706282 442729 
3900013444 1945214991 744511 475709 
4000011651 1989452644 780911 506891 
4100016475 2033781083 817642 538059 
4200017123 2091121300 873822 578573 
4300017704 2144686894 885751 581439 
4400018810 2203647335 890573 582877 
4500000911 2258743962 900574 585334 
4600006369 2313101968 908635 588190 
4700018025 2371724117 915765 589404 
4800018508 2425836875 923818 591275 
4900019608 2482783396 929017 592944 
5000015450 2539372354 939007 595384 
5100020346 2595291327 947508 597523 
5200027327 2653607928 953539 599157 
5300008894 2709158717 961671 601393 
5400012913 2775121509 973005 607196 
5500009614 2865452525 1013428 636826 
5600023211 2952112003 1053928 666024 
5700011124 3032426154 1097238 698296 
5800020146 3106598642 1113702 709785 
5900015779 3168835477 1124230 717461 
6000017536 3226257404 1135972 725275 
6100024695 3287852448 1148773 734956 
6200028098 3351030831 1208440 764755 
6300012537 3412541627 1229321 764781 
6400016527 3477324784 1235100 764801 
6500030964 3548145426 1490343 1005612 
6600010873 3601543744 1497212 1009439 
6700018829 3661333241 1528667 1033941 
6800028821 3715577782 1528669 1033943 
6900021464 3769742917 1528672 1033945 
7000016770 3823880696 1528674 1033947 
7100017248 3878277562 1528677 1033950 
7200015743 3933628118 1528680 1033952 
7300018992 3990192268 1528683 1033954 
7400031555 4046558530 1528686 1033956 
7500018281 4101805359 1528692 1033960 
7600018231 4156255847 1528695 1033962 
7700017947 4210790025 1528697 1033964 
7800017674 4265493393 1528699 1033966 
7900019094 4319927211 1528701 1033968 
8000006037 4387683735 1528710 1033974 
8100012055 4472873543 1540351 1045600 
8200013612 4544717841 1543845 1049081 
8300014356 4616534137 1548540 1053774 
8400014630 4687588733 1553443 1058668 
8500012928 4765984781 1557429 1061993 
8600011134 4855129538 1557489 1062013 
8700010332 4952639297 1557523 1062030 
8800015312 5057677556 1557562 1062042 
8900012685 5142902980 1557575 1062047 
9000018160 5204090572 1562223 1066246 
9100012780 5282222089 1569856 1073665 
9200015871 5352023199 1578468 1081686 
9300016091 5420502447 1587285 1090457 
9400013323 5489031377 1596403 1099371 
9500018800 5556069082 1604148 1106449 
9600015893 5620664639 1609999 1112289 
9700017820 5685453504 1616233 1118461 
9800016672 5749879737 1622317 1124217 
9900015357 5809184364 1625987 1127849 
10000014907 5868164949 1629505 1131326 
10100015532 5927918850 1633322 1135106 
10200015636 5987350281 1637269 1139031 
10300014428 6046589716 1641340 1143068 
10400020266 6105909048 1645084 1146782 
10500018166 6165631568 1648907 1150573 
10600015988 6225018990 1652913 1154540 
10700016931 6284505734 1656672 1158270 
10800011117 6345472298 1661250 1162824 
10900019904 6403560181 1749579 1238902 
11000009283 6474030597 1779069 1240697 
11100010420 6548638139 1783095 1240727 
11200010004 6619622330 1783105 1240733 
11300023714 6685760702 1783114 1240736 
11400009838 6765242850 1797978 1240804 
11500008986 6849282158 1812074 1240855 
11600012569 6931990500 1831599 1240919 
11700015676 7006247292 2087917 1480529 
11800014588 7071821191 2087930 1480540 
11900019686 7146973991 2146472 1529868 
12000018472 7199165318 2146474 1529870 
12100018182 7251437045 2146476 1529872 
12200018808 7303709690 2146479 1529875 
12300021805 7355949180 2146481 1529877 
12400013557 7408374366 2146483 1529879 
12500019476 7461347604 2146489 1529883 
12600017224 7516142018 2146492 1529885 
12700021599 7569518773 2146495 1529888 
12800023544 7624268098 2146498 1529890 
12900022830 7677335810 2146501 1529892 
13000022398 7730120138 2146504 1529894 
13100021957 7783036013 2146506 1529896 
13200027238 7836180414 2146512 1529901 
13300021409 7888859605 2146515 1529903 
13400022584 7941538140 2146520 1529905 
13500007300 8063343386 2153611 1536993 
13600016597 8149366906 2160692 1544039 
13700016001 8227288750 2164184 1547518 
13800016986 8305626322 2168030 1551354 
13900016795 8381164289 2173255 1556575 
