#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
100070968 21168 15320 
200019416 33349 23132 
300021823 45075 33285 
400021882 45539 33600 
500022351 45943 33850 
600021633 46270 34039 
700022306 46835 34435 
800022225 47435 34856 
900012032 48211 35481 
1000017181 48712 35892 
1100011376 48842 36001 
1200017488 48915 36065 
1300010544 48957 36102 
1400014902 48993 36134 
1500016378 49070 36198 
1600017292 49221 36323 
1700014103 49303 36396 
1800016110 49417 36497 
1900011204 49597 36638 
2000021494 50378 37342 
2100018067 69729 55589 
2200023809 103702 87766 
2300016509 269855 228292 
2400016103 320590 262500 
2500008713 521522 379825 
2600013008 860378 548453 
2700009667 1175083 696398 
2800009975 1489176 847228 
2900022428 1551842 880441 
3000016418 1558493 885878 
3100002371 1585616 906607 
3200009689 1613648 923772 
3300009343 1647627 942451 
3400014956 1719087 993602 
3500011394 1761226 1030702 
3600016246 1800249 1056254 
3700024275 1807478 1063072 
3800015280 1834304 1082050 
3900014192 1863680 1095102 
4000010613 1893719 1107988 
4100016962 1921874 1120281 
4200016755 1938350 1133606 
4300009570 1942142 1135829 
4400015512 1945464 1137129 
4500007663 1948408 1138700 
4600014431 1951684 1140065 
4700012393 1954714 1141558 
4800014685 1958740 1143395 
4900023701 1961997 1144914 
5000012067 1965680 1146864 
5100015159 1967999 1147810 
5200013113 1969781 1148588 
5300011970 1972555 1149866 
5400005440 2060759 1200095 
5500005586 2385400 1353093 
5600008791 2668728 1480348 
5700006849 2963278 1641189 
5800012903 3126158 1712362 
5900012272 3140729 1717134 
6000013449 3157611 1723826 
6100017470 3194667 1739120 
6200001228 3273547 1795475 
6300011400 3290459 1811176 
6400008626 3314957 1833902 
6500025241 3354337 1869709 
6600008110 3479680 1946220 
6700014749 3551311 1997469 
6800015220 3557850 2002010 
6900016987 3564731 2006265 
7000016574 3571393 2010370 
7100016452 3577605 2014178 
7200016530 3584094 2018084 
7300017318 3590759 2021852 
7400016363 3596685 2025436 
7500017121 3603415 2029515 
7600028658 3610153 2033452 
7700015524 3616916 2037664 
7800016766 3625687 2043607 
7900017181 3632863 2048307 
8000008189 3790989 2170852 
8100012055 4409650 2766362 
8200012598 4485072 2822301 
8300013231 4577680 2897672 
8400008953 4662847 2966112 
8500008045 4999347 3288744 
8600013188 5016511 3301781 
8700007649 5026103 3309893 
8800009658 5035613 3317896 
8900011106 5325667 3605582 
9000010926 5594956 3867140 
9100013133 5939550 4206637 
9200012466 6048800 4312884 
9300010658 6153283 4416316 
9400011979 6257602 4519102 
9500016931 6355816 4613761 
9600015386 6436036 4692063 
9700013293 6517617 4771594 
9800014727 6598345 4849291 
9900012871 6650800 4900016 
10000014796 6700915 4948543 
10100015324 6752133 4997940 
10200017216 6802611 5046950 
10300012893 6854133 5096726 
10400014266 6904432 5145576 
10500015144 6954653 5194641 
10600015276 7005194 5243867 
10700016240 7055442 5292647 
10800009095 7111606 5347161 
10900015132 7477707 5697258 
11000007994 7642840 5846154 
11100009861 7826579 6004137 
11200008455 7998405 6152579 
11300018890 8141204 6274396 
11400009970 8259540 6385914 
11500011714 8383672 6506773 
11600011779 8499267 6620193 
11700014584 8657176 6764611 
11800011245 8873787 6942733 
11900017690 9092985 7138176 
12000017838 9104649 7148721 
12100013831 9116134 7158137 
12200016943 9127676 7167639 
12300018690 9138841 7176455 
12400016946 9150344 7185869 
12500018660 9161968 7195259 
12600014652 9173088 7204155 
12700016584 9184261 7213042 
12800018057 9195643 7222172 
12900022635 9206954 7231186 
13000017481 9218551 7240431 
13100017018 9230257 7249554 
13200017476 9241863 7258904 
13300017277 9253691 7268299 
13400016396 9265479 7277613 
13500010564 10210537 8184502 
13600014301 10469982 8424254 
13700012110 10611671 8550887 
13800079897 10754879 8682698 
13900015746 10883893 8799591 
14000012766 11003727 8908721 
14100010864 11368860 9264809 
14200008376 11381498 9274659 
14300008242 11393426 9283671 
14400011672 11397784 9286828 
14500008600 11736041 9622188 
14600023463 11965629 9844136 
14700014284 12323102 10196588 
14800012104 12450100 10320811 
14900013826 12575604 10445680 
15000014878 12701456 10570350 
15100013075 12826948 10692196 
15200016487 12919925 10784490 
15300013525 13013382 10876706 
15400015913 13106887 10968144 
15500017343 13186294 11045672 
15600013847 13249588 11107272 
15700014979 13313328 11169572 
15800015833 13377713 11232726 
15900017153 13441755 11295099 
16000013518 13506154 11357717 
16100015375 13569909 11419955 
16200011826 13633968 11482581 
16300016784 13697797 11544801 
16400012336 13760983 11606517 
16500016768 13823853 11668102 
16600023886 14136053 11974095 
16700017002 14467699 12261857 
16800018557 14515708 12287343 
16900018546 14564583 12315929 
17000019367 14613521 12342933 
17100010753 14665865 12372565 
17200019364 14719553 12402385 
17300015386 14773148 12432091 
17400000517 14831289 12464369 
17500020897 14868250 12491739 
17600010154 14922923 12530295 
17700014726 14939871 12544871 
17800012835 14997849 12576903 
17900017358 15007056 12582295 
18000014991 15012991 12585557 
18100013379 15019048 12589089 
18200017132 15024696 12592224 
18300014110 15030538 12595339 
18400026471 15036803 12598713 
18500014277 15397398 12926343 
18600014827 15455263 12963391 
18700012833 15608749 13096333 
18800008427 15614319 13100494 
18900017838 15867620 13344631 
19000010427 16094981 13561900 
19100013233 16206177 13669617 
19200010497 16294248 13754317 
19300012372 16360120 13817359 
19400013352 16410524 13865908 
19500013292 16458808 13912145 
19600014317 16507011 13957819 
19700012790 16601323 14046409 
19800014482 16838669 14268784 
19900010966 16944272 14346357 
20000018515 17072414 14446207 
20100010883 17137356 14492710 
20200015203 17254224 14588952 
20300017971 17389898 14686002 
20400017213 17400133 14694049 
20500017211 17410529 14701872 
20600015581 17422485 14711287 
20700020400 17433347 14719422 
20800016219 17443611 14727124 
20900016793 17454694 14735511 
21000016492 17466176 14743985 
21100010068 18012556 15244641 
21200010440 18126693 15337829 
21300013003 18246271 15438086 
21400010512 18459192 15631337 
21500011423 18462989 15634522 
21600004642 18744162 15905371 
21700011444 18974907 16128646 
21800012174 19105180 16255780 
21900012944 19206394 16354446 
22000015843 19288228 16433818 
22100012942 19351930 16495529 
22200011966 19413520 16554623 
22300014699 19474161 16613560 
22400013205 19532887 16669801 
22500014097 19717547 16846493 
22600004416 20039185 17133717 
22700008165 20645365 17725567 
22800007372 20804216 17873719 
22900041868 21100957 18150511 
23000008930 21247036 18257130 
23100003687 21489907 18461958 
23200005438 22310171 19174628 
23300003476 23119916 19736241 
23400006918 23578066 20129814 
23500008662 23883323 20359033 
23600003241 24177850 20560488 
23700005175 25423500 21714738 
23800011419 27627966 23745364 
23900012520 27754240 23811436 
24000007980 27867500 23860561 
24100005161 28682886 24605045 
24200004814 30871042 26686802 
24300016971 32355231 27904493 
24400015661 32415626 27937184 
24500010331 32536275 27994676 
24600006291 32580969 28027791 
24700006101 32919348 28226922 
24800011047 33058449 28297190 
24900010023 33122668 28332551 
25000010299 33834356 28852128 
25100011260 33904601 28885984 
25200004807 34045817 28950642 
25300012052 34338081 29122899 
25400014753 34510371 29209268 
25500013500 34579504 29245473 
25600004539 34950215 29593906 
25700006016 37047772 31495090 
25800006513 37395012 31692928 
25900013426 37552178 31768342 
26000012747 37604160 31798424 
26100011841 38037020 32067352 
26200010014 38098016 32098765 
26300013496 38256282 32176788 
26400012176 38314272 32208833 
